rank,word,similarity
1,forest,1.00000000
2,foresting,0.65586722
3,forestland,0.65286027
4,forested,0.62109224
5,forestry,0.61705132
6,forestation,0.61547976
7,afforest,0.60668902
8,wood,0.59827265
9,woodland,0.58870983
10,deforest,0.58365676
11,fern,0.58046395
12,jungle,0.57781292
13,forester,0.57500461
14,bosque,0.57129074
15,forestal,0.56872535
16,landscape,0.55389150
17,reforest,0.54908778
18,afforested,0.54541956
19,tree,0.54351698
20,afforesting,0.54180966
21,bosky,0.53794320
22,farm,0.53189207
23,deforested,0.53035062
24,fore,0.52590808
25,rove,0.52366903
26,reafforest,0.52337992
27,terrain,0.52164394
28,selva,0.52074787
29,woodlot,0.51947499
30,bushland,0.51725951
31,unforested,0.51718340
32,grove,0.51708506
33,greenery,0.51638912
34,boscage,0.51514064
35,reforested,0.51511752
36,woodsy,0.51506452
37,park,0.50953269
38,sylva,0.50892612
39,copse,0.50654619
40,silvae,0.50630548
41,vegetation,0.50564568
42,wildland,0.50483214
43,wilderness,0.50378867
44,yard,0.50362453
45,scape,0.50357068
46,treetop,0.49899348
47,deforesting,0.49785493
48,deforestation,0.49764680
49,veldt,0.49746090
50,wildwood,0.49696887
51,folk,0.49618476
52,reafforested,0.49483811
53,bosk,0.49347091
54,underbrush,0.49267848
55,agroforester,0.49207896
56,forkiest,0.49185369
57,woodsiest,0.49064915
58,bush,0.48718169
59,foss,0.48692823
60,bosquet,0.48357044
61,treed,0.48285786
62,wooded,0.48275313
63,sylvan,0.47989097
64,fernery,0.47957132
65,orchard,0.47912420
66,environment,0.47906862
67,reforesting,0.47849480
68,eland,0.47715092
69,junglelike,0.47548503
70,devilwood,0.47497443
71,foliage,0.47366931
72,wild,0.47179276
73,timber,0.47132781
74,afforestation,0.47108861
75,reafforesting,0.46881691
76,arbor,0.46878647
77,fog,0.46826464
78,silvan,0.46702057
79,meadow,0.46669298
80,overstory,0.46668690
81,woodsier,0.46647367
82,land,0.46611357
83,jungled,0.46588736
84,wildlife,0.46495424
85,green,0.46494231
86,arboreous,0.46385522
87,brook,0.46360738
88,nature,0.46344705
89,ferny,0.46257681
90,veld,0.46196781
91,wildness,0.46119050
92,understory,0.46117401
93,reforestation,0.46077397
94,garden,0.46062458
95,canopy,0.45980457
96,backwoodsy,0.45951778
97,arboretum,0.45910802
98,climate,0.45885437
99,fir,0.45845408
100,brushland,0.45839866
101,pine,0.45836145
102,junglier,0.45700643
103,nutwood,0.45678217
104,frog,0.45617624
105,woodsman,0.45534406
106,verdancy,0.45529099
107,redwood,0.45521713
108,fort,0.45496279
109,parklike,0.45484840
110,fiord,0.45436672
111,flora,0.45344077
112,shrubbery,0.45328236
113,jungly,0.45307268
114,thicket,0.45249857
115,arborous,0.45122449
116,woodiness,0.45010491
117,oak,0.44969757
118,agroforestry,0.44922174
119,ridge,0.44920433
120,shrub,0.44831501
121,reafforestation,0.44738501
122,coppice,0.44706025
123,silviculture,0.44642504
124,moss,0.44583715
125,swamp,0.44543555
126,marsh,0.44484602
127,woodlore,0.44413427
128,brushwood,0.44413054
129,foliaged,0.44376920
130,bourtree,0.44369467
131,spruce,0.44340742
132,brush,0.44315722
133,forge,0.44262740
134,grass,0.44246825
135,pinery,0.44219223
136,foreground,0.44204800
137,macchia,0.44169109
138,earth,0.44154275
139,shore,0.44045784
140,desert,0.43963863
141,mangrove,0.43838427
142,scrubland,0.43789608
143,embosk,0.43789448
144,biome,0.43784752
145,habitat,0.43772540
146,roof,0.43735246
147,deeryard,0.43733209
148,vegetated,0.43723878
149,firn,0.43714999
150,treelawn,0.43677350
151,farmland,0.43625994
152,ford,0.43603584
153,wind,0.43600560
154,fire,0.43596194
155,treen,0.43572961
156,snowscape,0.43514626
157,agrestal,0.43466425
158,folder,0.43447055
159,frond,0.43403441
160,meadowland,0.43343982
161,bushfire,0.43341774
162,treeless,0.43305406
163,verdant,0.43251572
164,ambient,0.43245028
165,limby,0.43230723
166,moor,0.43197423
167,forth,0.43188433
168,grassland,0.43176738
169,foggage,0.43159612
170,lander,0.43147387
171,fjeld,0.43120403
172,arboreta,0.43107288
173,woodsmen,0.43105799
174,crest,0.43054179
175,river,0.43042195
176,fuelwood,0.43031477
177,woodman,0.43007454
178,savanna,0.42977726
179,bottomland,0.42958886
180,firewood,0.42937709
181,fork,0.42838950
182,silva,0.42804783
183,landskip,0.42800875
184,shelterbelt,0.42790206
185,pinetum,0.42743169
186,foraged,0.42674350
187,plant,0.42673855
188,moorland,0.42619453
189,leaflet,0.42609397
190,folio,0.42599766
191,croft,0.42573236
192,maquis,0.42546169
193,fresh,0.42532954
194,fiction,0.42518365
195,rooftree,0.42496712
196,leaf,0.42495182
197,factory,0.42488365
198,dark,0.42480302
199,arbored,0.42461589
200,realm,0.42428732
201,frost,0.42391898
202,fauna,0.42346715
203,fabric,0.42330458
204,flower,0.42297386
205,fence,0.42285003
206,countryside,0.42264904
207,greenheart,0.42250467
208,boreal,0.42231743
209,mossy,0.42176915
210,woodcutter,0.42173218
211,fur,0.42140278
212,sylvae,0.42112560
213,fruit,0.42110775
214,haven,0.42067271
215,beech,0.41997743
216,safari,0.41980051
217,heathland,0.41961932
218,mountain,0.41942997
219,campo,0.41859269
220,lush,0.41778340
221,hunt,0.41743662
222,forage,0.41704824
223,clearing,0.41697806
224,wetland,0.41683098
225,taiga,0.41680519
226,greenness,0.41652282
227,firm,0.41648043
228,wolf,0.41563560
229,woodiest,0.41553712
230,leafiest,0.41551479
231,tundra,0.41523652
232,ravine,0.41488803
233,dryad,0.41441740
234,sylviculture,0.41432950
235,lichen,0.41421308
236,arbour,0.41387662
237,forestage,0.41375530
238,terra,0.41328623
239,fairyland,0.41325587
240,lushness,0.41296544
241,leafage,0.41212568
242,maze,0.41196917
243,woald,0.41186819
244,ground,0.41165125
245,sprucest,0.41164438
246,bracken,0.41140256
247,ecosystem,0.41121346
248,vegetational,0.41097708
249,pineta,0.41070303
250,wand,0.41062779
251,oasis,0.41052131
252,forb,0.41038469
253,evergreen,0.41034856
254,pasture,0.41026714
255,cedar,0.41002466
256,pastureland,0.40990660
257,boskage,0.40984779
258,background,0.40981187
259,animal,0.40973698
260,timbered,0.40964668
261,botanic,0.40960354
262,silviculturist,0.40959893
263,faun,0.40944136
264,gorse,0.40934489
265,glade,0.40933002
266,springwood,0.40925441
267,texture,0.40884298
268,bushlike,0.40876153
269,lore,0.40825024
270,biota,0.40777577
271,vinery,0.40765703
272,fjord,0.40740551
273,field,0.40716378
274,vineyard,0.40715135
275,driftwood,0.40688425
276,fossa,0.40659769
277,scenery,0.40654630
278,brushy,0.40629665
279,bluewood,0.40626887
280,sapling,0.40610534
281,branchy,0.40593132
282,milkwood,0.40568253
283,woodless,0.40568171
284,arena,0.40550222
285,fogbow,0.40548099
286,wooding,0.40523061
287,bushy,0.40506393
288,avian,0.40492908
289,silviculturally,0.40492266
290,stalk,0.40479450
291,silvicultural,0.40478879
292,waterfall,0.40462687
293,arf,0.40460210
294,deadfall,0.40452919
295,furzy,0.40452216
296,fall,0.40384619
297,formation,0.40378064
298,arborescent,0.40351723
299,shade,0.40340339
300,silvical,0.40319445
301,tern,0.40309486
302,biotope,0.40302346
303,arboriculture,0.40247556
304,estival,0.40235618
305,berg,0.40233953
306,wasteland,0.40191461
307,film,0.40181686
308,wildish,0.40179543
309,forecast,0.40178800
310,preserve,0.40099066
311,arborvitae,0.40098466
312,campestral,0.40087918
313,timberland,0.40069410
314,fantasy,0.40063375
315,shelf,0.40051454
316,front,0.40005892
317,greenest,0.40004975
318,marshland,0.39979715
319,stime,0.39951178
320,soil,0.39935101
321,snowland,0.39919772
