rank,word,similarity,note
1,wood,0.59827265,"OpenAI #1, Our rank #8"
2,jungle,0.57781292,"OpenAI #2, Our rank #12"
3,rainforest,0.00000000,"OpenAI #3, Not in our embeddings"
4,wilderness,0.50378867,"OpenAI #4, Our rank #43"
5,timberland,0.40069410,"OpenAI #5, Our rank #313"
6,grove,0.51708506,"OpenAI #6, Our rank #32"
7,woodland,0.58870983,"OpenAI #7, Our rank #9"
8,thicket,0.45249857,"OpenAI #8, Our rank #114"
9,bushland,0.51725951,"OpenAI #9, Our rank #30"
10,greenery,0.51638912,"OpenAI #10, Our rank #33"
11,copse,0.50654619,"OpenAI #11, Our rank #39"
12,plantation,0.38032086,"OpenAI #12, Our rank #485"
13,scrubland,0.43789608,"OpenAI #13, Our rank #142"
14,undergrowth,0.39801395,"OpenAI #14, Our rank #331"
15,orchard,0.47912420,"OpenAI #15, Our rank #65"
16,arboretum,0.45910802,"OpenAI #16, Our rank #97"
17,parkland,0.34493195,"OpenAI #17, Our rank #1,145"
18,vegetation,0.50564568,"OpenAI #18, Our rank #41"
19,foliage,0.47366931,"OpenAI #19, Our rank #71"
20,flora,0.45344077,"OpenAI #20, Our rank #111"
21,canopy,0.45980457,"OpenAI #21, Our rank #95"
22,brushwood,0.44413054,"OpenAI #22, Our rank #128"
23,shrubbery,0.45328236,"OpenAI #23, Our rank #112"
24,coppice,0.44706025,"OpenAI #24, Our rank #122"
25,stand,0.31171123,"OpenAI #25, Our rank #2,634"
26,spinney,0.29556994,"OpenAI #26, Our rank #4,104"
27,sylvan,0.47989097,"OpenAI #27, Our rank #63"
28,habitat,0.43772540,"OpenAI #28, Our rank #145"
29,ecosystem,0.41121346,"OpenAI #29, Our rank #247"
30,savanna,0.42977726,"OpenAI #30, Our rank #178"
31,taiga,0.41680519,"OpenAI #31, Our rank #225"
32,tundra,0.41523652,"OpenAI #32, Our rank #231"
33,mangrove,0.43838427,"OpenAI #33, Our rank #141"
34,biome,0.43784752,"OpenAI #34, Our rank #144"
35,fauna,0.42346715,"OpenAI #35, Our rank #202"
36,grassland,0.43176738,"OpenAI #36, Our rank #168"
37,wetland,0.41683098,"OpenAI #37, Our rank #224"
38,swamp,0.44543555,"OpenAI #38, Our rank #125"
39,marsh,0.44484602,"OpenAI #39, Our rank #126"
40,bog,0.28626555,"OpenAI #40, Our rank #5,298"
41,fen,0.35654076,"OpenAI #41, Our rank #861"
42,moor,0.43197423,"OpenAI #42, Our rank #166"
43,heath,0.33060986,"OpenAI #43, Our rank #1,610"
44,prairie,0.38041358,"OpenAI #44, Our rank #483"
45,steppe,0.31448743,"OpenAI #45, Our rank #2,466"
46,veld,0.46196781,"OpenAI #46, Our rank #90"
47,pampa,0.34194840,"OpenAI #47, Our rank #1,227"
48,chaparral,0.37122214,"OpenAI #48, Our rank #587"
49,outback,0.36297801,"OpenAI #49, Our rank #726"
50,bush,0.48718169,"OpenAI #50, Our rank #58"
51,scrub,0.33511409,"OpenAI #51, Our rank #1,425"
52,bramble,0.38508170,"OpenAI #52, Our rank #436"
53,fern,0.58046395,"OpenAI #53, Our rank #11"
54,underbrush,0.49267848,"OpenAI #54, Our rank #54"
55,amazon,0.28547505,"OpenAI #55, Our rank #5,405"
56,evergreen,0.41034856,"OpenAI #56, Our rank #253"
57,deciduous,0.30544482,"OpenAI #57, Our rank #3,131"
58,coniferous,0.36061305,"OpenAI #58, Our rank #770"
59,broadleaf,0.34282846,"OpenAI #59, Our rank #1,204"
60,hardwood,0.38067800,"OpenAI #60, Our rank #476"
61,softwood,0.36437234,"OpenAI #61, Our rank #695"
62,pine,0.45836145,"OpenAI #62, Our rank #101"
63,oak,0.44969757,"OpenAI #63, Our rank #117"
64,maple,0.34491798,"OpenAI #64, Our rank #1,146"
65,birch,0.39492347,"OpenAI #65, Our rank #354"
66,ash,0.38501437,"OpenAI #66, Our rank #437"
67,elm,0.32886821,"OpenAI #67, Our rank #1,687"
68,willow,0.38682871,"OpenAI #68, Our rank #419"
69,cedar,0.41002466,"OpenAI #69, Our rank #255"
70,fir,0.45845408,"OpenAI #70, Our rank #99"
71,spruce,0.44340742,"OpenAI #71, Our rank #131"
72,sequoia,0.39189833,"OpenAI #72, Our rank #374"
73,redwood,0.45521713,"OpenAI #73, Our rank #107"
74,teak,0.32941253,"OpenAI #74, Our rank #1,663"
75,mahogany,0.28070172,"OpenAI #75, Our rank #6,123"
76,poplar,0.35692789,"OpenAI #76, Our rank #852"
77,beech,0.41997743,"OpenAI #77, Our rank #215"
78,chestnut,0.31477463,"OpenAI #78, Our rank #2,446"
79,hickory,0.28344795,"OpenAI #79, Our rank #5,703"
80,sycamore,0.36841862,"OpenAI #80, Our rank #622"
81,walnut,0.31580733,"OpenAI #81, Our rank #2,370"
82,cypress,0.38990299,"OpenAI #82, Our rank #392"
83,yew,0.35431950,"OpenAI #83, Our rank #913"
84,larch,0.38421777,"OpenAI #84, Our rank #444"
85,alder,0.28319739,"OpenAI #85, Our rank #5,749"
86,hemlock,0.30190109,"OpenAI #86, Our rank #3,435"
87,aspen,0.39434331,"OpenAI #87, Our rank #361"
88,banyan,0.37149306,"OpenAI #88, Our rank #585"
89,baobab,0.32941459,"OpenAI #89, Our rank #1,662"
90,eucalyptus,0.38363018,"OpenAI #90, Our rank #448"
91,acacia,0.34942098,"OpenAI #91, Our rank #1,020"
92,bamboo,0.38754861,"OpenAI #92, Our rank #411"
93,palm,0.33382660,"OpenAI #93, Our rank #1,473"
94,moss,0.44583715,"OpenAI #94, Our rank #124"
95,lichen,0.41421308,"OpenAI #95, Our rank #235"
96,ivy,0.31920481,"OpenAI #96, Our rank #2,178"
97,vine,0.39061521,"OpenAI #97, Our rank #386"
98,shrub,0.44831501,"OpenAI #98, Our rank #120"
99,thistle,0.26257758,"OpenAI #99, Our rank #9,956"
100,nettle,0.30074796,"OpenAI #100, Our rank #3,565"
101,herb,0.36369600,"OpenAI #101, Our rank #714"
102,grass,0.44246825,"OpenAI #102, Our rank #134"
103,reed,0.33195416,"OpenAI #103, Our rank #1,555"
104,rush,0.29569630,"OpenAI #104, Our rank #4,090"
105,sedge,0.31114870,"OpenAI #105, Our rank #2,669"
106,cattail,0.26126894,"OpenAI #106, Our rank #10,314"
107,bulrush,0.29738562,"OpenAI #107, Our rank #3,886"
108,papyrus,0.25585764,"OpenAI #108, Our rank #11,886"
109,flower,0.42297386,"OpenAI #109, Our rank #204"
110,bloom,0.32255518,"OpenAI #110, Our rank #1,997"
111,blossom,0.30442403,"OpenAI #111, Our rank #3,212"
112,petal,0.24020587,"OpenAI #112, Our rank #17,569"
113,leaf,0.42495182,"OpenAI #113, Our rank #196"
114,branch,0.34635877,"OpenAI #114, Our rank #1,104"
115,twig,0.38627921,"OpenAI #115, Our rank #424"
116,trunk,0.33573866,"OpenAI #116, Our rank #1,405"
117,bark,0.38236530,"OpenAI #117, Our rank #462"
118,root,0.35161916,"OpenAI #118, Our rank #966"
119,seed,0.30861264,"OpenAI #119, Our rank #2,873"
120,cone,0.23309874,"OpenAI #120, Our rank #20,850"
121,nut,0.30693650,"OpenAI #121, Our rank #2,996"
122,fruit,0.42110775,"OpenAI #122, Our rank #213"
123,berry,0.33382300,"OpenAI #123, Our rank #1,475"
124,apple,0.30183787,"OpenAI #124, Our rank #3,439"
125,cherry,0.28261320,"OpenAI #125, Our rank #5,840"
126,peach,0.26104684,"OpenAI #126, Our rank #10,371"
127,pear,0.22602626,"OpenAI #127, Our rank #24,510"
128,plum,0.29414779,"OpenAI #128, Our rank #4,265"
129,orange,0.31961557,"OpenAI #129, Our rank #2,153"
130,lemon,0.21799742,"OpenAI #130, Our rank #29,221"
131,lime,0.32734565,"OpenAI #131, Our rank #1,745"
132,grapefruit,0.21788785,"OpenAI #132, Our rank #29,288"
133,tangerine,0.27762349,"OpenAI #133, Our rank #6,659"
134,pineapple,0.23572275,"OpenAI #134, Our rank #19,604"
135,mango,0.29582344,"OpenAI #135, Our rank #4,071"
136,banana,0.27354140,"OpenAI #136, Our rank #7,411"
137,papaya,0.24250893,"OpenAI #137, Our rank #16,645"
