rank,secret_word,word,clue,connection_strength
1,fork,fork,This is the *.,secret_word
2,fork,forker,,hard_cutoff
3,fork,forklike,,hard_cutoff
4,fork,forking,,hard_cutoff
5,fork,pitchfork,,hard_cutoff
6,fork,forked,,hard_cutoff
7,fork,forge,,hard_cutoff
8,fork,fourchee,,hard_cutoff
9,fork,forksful,,hard_cutoff
10,fork,unforked,,hard_cutoff
11,fork,pitchforking,,hard_cutoff
12,fork,pitchforked,,hard_cutoff
13,fork,furcate,,hard_cutoff
14,fork,folder,,hard_cutoff
15,fork,biforked,,hard_cutoff
16,fork,poon,,hard_cutoff
17,fork,knife,,hard_cutoff
18,fork,spoon,,hard_cutoff
19,fork,forkless,,hard_cutoff
20,fork,forth,,hard_cutoff
21,fork,rawer,,hard_cutoff
22,fork,filer,,hard_cutoff
23,fork,furcated,,hard_cutoff
24,fork,pick,,hard_cutoff
25,fork,sword,,hard_cutoff
26,fork,shovel,,hard_cutoff
27,fork,furcating,,hard_cutoff
28,fork,fold,,hard_cutoff
29,fork,ledge,,hard_cutoff
30,fork,tool,,hard_cutoff
31,fork,froe,,hard_cutoff
32,fork,branch,,hard_cutoff
33,fork,pluck,,hard_cutoff
34,fork,drawer,,hard_cutoff
35,fork,forkful,,hard_cutoff
36,fork,comb,,hard_cutoff
37,fork,folio,,hard_cutoff
38,fork,axe,,hard_cutoff
39,fork,fang,,hard_cutoff
40,fork,ponder,,hard_cutoff
41,fork,utensil,,hard_cutoff
42,fork,bucket,,hard_cutoff
43,fork,faker,,hard_cutoff
44,fork,fila,,hard_cutoff
45,fork,forkedly,,hard_cutoff
46,fork,raft,,hard_cutoff
47,fork,fore,,hard_cutoff
48,fork,pawn,,hard_cutoff
49,fork,plier,,hard_cutoff
50,fork,pard,,hard_cutoff
51,fork,divide,,hard_cutoff
52,fork,cutlery,,hard_cutoff
53,fork,rack,,hard_cutoff
54,fork,haven,,hard_cutoff
55,fork,stab,,hard_cutoff
56,fork,forky,,hard_cutoff
57,fork,shed,,hard_cutoff
58,fork,chopstick,,hard_cutoff
59,fork,finder,,hard_cutoff
60,fork,forkiest,,hard_cutoff
61,fork,lever,,hard_cutoff
62,fork,shortcut,,hard_cutoff
63,fork,pickaroon,,hard_cutoff
64,fork,pike,,hard_cutoff
65,fork,dock,,hard_cutoff
66,fork,folk,,hard_cutoff
67,fork,foss,,hard_cutoff
68,fork,slash,,hard_cutoff
