rank,secret_word,word,clue,connection_strength
1,friend,friend,This is the *.,secret_word
2,friend,buddy,,hard_cutoff
3,friend,friendly,,hard_cutoff
4,friend,friended,,hard_cutoff
5,friend,befriend,,hard_cutoff
6,friend,friendship,,hard_cutoff
7,friend,neighbor,,hard_cutoff
8,friend,befriended,,hard_cutoff
9,friend,friending,,hard_cutoff
10,friend,friendlily,,hard_cutoff
11,friend,amigo,,hard_cutoff
12,friend,amicus,,hard_cutoff
13,friend,fellow,,hard_cutoff
14,friend,amis,,hard_cutoff
15,friend,befriending,,hard_cutoff
16,friend,roomie,,hard_cutoff
17,friend,bro,,hard_cutoff
18,friend,foe,,hard_cutoff
19,friend,buddied,,hard_cutoff
20,friend,amiga,,hard_cutoff
21,friend,schoolmate,,hard_cutoff
22,friend,brother,,hard_cutoff
23,friend,homeboy,,hard_cutoff
24,friend,enemy,,hard_cutoff
25,friend,schoolfellow,,hard_cutoff
26,friend,follower,,hard_cutoff
27,friend,classmate,,hard_cutoff
28,friend,comrade,,hard_cutoff
29,friend,companion,,hard_cutoff
30,friend,liked,,hard_cutoff
31,friend,acquaintance,,hard_cutoff
32,friend,bedfellow,,hard_cutoff
33,friend,confidant,,hard_cutoff
34,friend,favorite,,hard_cutoff
35,friend,boyfriend,,hard_cutoff
36,friend,lover,,hard_cutoff
37,friend,chum,,hard_cutoff
38,friend,affiliate,,hard_cutoff
39,friend,frater,,hard_cutoff
40,friend,teammate,,hard_cutoff
41,friend,relationship,,hard_cutoff
42,friend,colleague,,hard_cutoff
43,friend,family,,hard_cutoff
44,friend,fiend,,hard_cutoff
45,friend,girlfriend,,hard_cutoff
46,friend,friendliest,,hard_cutoff
47,friend,favor,,hard_cutoff
48,friend,member,,hard_cutoff
49,friend,dost,,hard_cutoff
50,friend,friendlier,,hard_cutoff
51,friend,partner,,hard_cutoff
52,friend,confidante,,hard_cutoff
53,friend,kind,,hard_cutoff
54,friend,invite,,hard_cutoff
55,friend,sister,,hard_cutoff
56,friend,amici,,hard_cutoff
57,friend,crony,,hard_cutoff
58,friend,girl,,hard_cutoff
59,friend,kindred,,hard_cutoff
60,friend,fried,,hard_cutoff
61,friend,friendless,,hard_cutoff
62,friend,unfriended,,hard_cutoff
63,friend,roommate,,hard_cutoff
64,friend,chummy,,hard_cutoff
65,friend,shipmate,,hard_cutoff
66,friend,playfellow,,hard_cutoff
67,friend,self,,hard_cutoff
68,friend,confrere,,hard_cutoff
69,friend,kith,,hard_cutoff
70,friend,fellowship,,hard_cutoff
71,friend,fave,,hard_cutoff
72,friend,stranger,,hard_cutoff
73,friend,compadre,,hard_cutoff
74,friend,yokefellow,,hard_cutoff
75,friend,folk,,hard_cutoff
76,friend,familiar,,hard_cutoff
77,friend,coworker,,hard_cutoff
78,friend,party,,hard_cutoff
79,friend,frere,,hard_cutoff
80,friend,fellowman,,hard_cutoff
81,friend,fun,,hard_cutoff
82,friend,fellowly,,hard_cutoff
83,friend,relation,,hard_cutoff
84,friend,fraternizer,,hard_cutoff
85,friend,buddying,,hard_cutoff
86,friend,sibling,,hard_cutoff
87,friend,client,,hard_cutoff
88,friend,neighbour,,hard_cutoff
89,friend,friendliness,,hard_cutoff
90,friend,free,,hard_cutoff
91,friend,person,,hard_cutoff
92,friend,peon,,hard_cutoff
93,friend,boy,,hard_cutoff
94,friend,fellowed,,hard_cutoff
95,friend,customer,,hard_cutoff
96,friend,someone,,hard_cutoff
97,friend,kid,,hard_cutoff
98,friend,amity,,hard_cutoff
99,friend,frat,,hard_cutoff
100,friend,guy,,hard_cutoff
101,friend,pardner,,hard_cutoff
102,friend,bud,,hard_cutoff
103,friend,workmate,,hard_cutoff
104,friend,mate,,hard_cutoff
105,friend,fuck,,hard_cutoff
106,friend,fresh,,hard_cutoff
107,friend,fad,,hard_cutoff
108,friend,fido,,hard_cutoff
109,friend,dude,,hard_cutoff
110,friend,fella,,hard_cutoff
111,friend,acquaint,,hard_cutoff
112,friend,connection,,hard_cutoff
113,friend,hangout,,hard_cutoff
114,friend,player,,hard_cutoff
115,friend,cousin,,hard_cutoff
116,friend,firm,,hard_cutoff
117,friend,reader,,hard_cutoff
118,friend,father,,hard_cutoff
119,friend,fan,,hard_cutoff
120,friend,joined,,hard_cutoff
121,friend,helper,,hard_cutoff
122,friend,matey,,hard_cutoff
123,friend,inviter,,hard_cutoff
124,friend,fund,,hard_cutoff
125,friend,uncle,,hard_cutoff
126,friend,fed,,hard_cutoff
127,friend,associate,,hard_cutoff
128,friend,fraternize,,hard_cutoff
129,friend,dad,,hard_cutoff
130,friend,advisor,,hard_cutoff
131,friend,pally,,hard_cutoff
132,friend,pet,,hard_cutoff
133,friend,commend,,hard_cutoff
134,friend,housemate,,hard_cutoff
135,friend,compatriot,,hard_cutoff
136,friend,chumship,,hard_cutoff
137,friend,homey,,hard_cutoff
138,friend,mom,,hard_cutoff
139,friend,love,,hard_cutoff
140,friend,like,,hard_cutoff
141,friend,gang,,hard_cutoff
142,friend,wingman,,hard_cutoff
143,friend,elf,,hard_cutoff
144,friend,relative,,hard_cutoff
145,friend,brotherhood,,hard_cutoff
146,friend,friar,,hard_cutoff
147,friend,guild,,hard_cutoff
148,friend,camaraderie,,hard_cutoff
149,friend,flatmate,,hard_cutoff
150,friend,filmily,,hard_cutoff
151,friend,faith,,hard_cutoff
152,friend,adult,,hard_cutoff
153,friend,pal,,hard_cutoff
154,friend,comfort,,hard_cutoff
155,friend,admirer,,hard_cutoff
156,friend,compeer,,hard_cutoff
157,friend,farm,,hard_cutoff
158,friend,fiance,,hard_cutoff
159,friend,dog,,hard_cutoff
160,friend,neighborly,,hard_cutoff
161,friend,help,,hard_cutoff
162,friend,join,,hard_cutoff
163,friend,crewmate,,hard_cutoff
164,friend,familiarly,,hard_cutoff
165,friend,good,,hard_cutoff
166,friend,comradeship,,hard_cutoff
167,friend,dating,,hard_cutoff
168,friend,houseguest,,hard_cutoff
169,friend,bloke,,hard_cutoff
170,friend,bonus,,hard_cutoff
171,friend,club,,hard_cutoff
172,friend,fish,,hard_cutoff
173,friend,brethren,,hard_cutoff
