rank,secret_word,word,clue,connection_strength
1,frog,frog,This is the *.,secret_word
2,frog,bullfrog,,hard_cutoff
3,frog,froggy,,hard_cutoff
4,frog,froggier,,hard_cutoff
5,frog,froglike,,hard_cutoff
6,frog,frogged,,hard_cutoff
7,frog,froggiest,,hard_cutoff
8,frog,toad,,hard_cutoff
9,frog,frogging,,hard_cutoff
10,frog,frogeyed,,hard_cutoff
11,frog,fro,,hard_cutoff
12,frog,froghopper,,hard_cutoff
13,frog,polliwog,,hard_cutoff
14,frog,croaking,,hard_cutoff
15,frog,frogeye,,hard_cutoff
16,frog,tadpole,,hard_cutoff
17,frog,toadlike,,hard_cutoff
18,frog,pollywog,,hard_cutoff
19,frog,toadfish,,hard_cutoff
20,frog,croak,,hard_cutoff
21,frog,anuran,,hard_cutoff
22,frog,frogfish,,hard_cutoff
23,frog,fern,,hard_cutoff
24,frog,batrachian,,hard_cutoff
25,frog,croaked,,hard_cutoff
26,frog,amphibian,,hard_cutoff
27,frog,croc,,hard_cutoff
28,frog,toadless,,hard_cutoff
29,frog,leapfrog,,hard_cutoff
30,frog,hog,,hard_cutoff
31,frog,frosh,,hard_cutoff
32,frog,hoptoad,,hard_cutoff
33,frog,fish,,hard_cutoff
34,frog,pond,,hard_cutoff
35,frog,leaper,,hard_cutoff
36,frog,rabbit,,hard_cutoff
37,frog,toadeater,,hard_cutoff
38,frog,grasshopper,,hard_cutoff
39,frog,lizard,,hard_cutoff
40,frog,froe,,hard_cutoff
41,frog,hop,,hard_cutoff
42,frog,jug,,hard_cutoff
43,frog,jump,,hard_cutoff
44,frog,morph,,hard_cutoff
45,frog,toadish,,hard_cutoff
46,frog,sprite,,hard_cutoff
47,frog,webfoot,,hard_cutoff
48,frog,roach,,hard_cutoff
49,frog,turtle,,hard_cutoff
50,frog,croaky,,hard_cutoff
51,frog,frore,,hard_cutoff
52,frog,lobber,,hard_cutoff
53,frog,rot,,hard_cutoff
54,frog,treehopper,,hard_cutoff
55,frog,fogger,,hard_cutoff
56,frog,slug,,hard_cutoff
