rank,secret_word,word,clue,connection_strength
1,garden,garden,This is the *.,secret_word
2,garden,gardening,,hard_cutoff
3,garden,gardened,,hard_cutoff
4,garden,gardener,,hard_cutoff
5,garden,yard,,hard_cutoff
6,garden,gardenful,,hard_cutoff
7,garden,backyard,,hard_cutoff
8,garden,lawn,,hard_cutoff
9,garden,gardenia,,hard_cutoff
10,garden,orchard,,hard_cutoff
11,garden,patio,,hard_cutoff
12,garden,courtyard,,hard_cutoff
13,garden,jardiniere,,hard_cutoff
14,garden,grove,,hard_cutoff
15,garden,kaleyard,,hard_cutoff
16,garden,park,,hard_cutoff
17,garden,nursery,,hard_cutoff
18,garden,botanic,,hard_cutoff
19,garden,garage,,hard_cutoff
20,garden,kitchen,,hard_cutoff
21,garden,yardwork,,hard_cutoff
22,garden,yaird,,hard_cutoff
23,garden,greenhouse,,hard_cutoff
24,garden,dooryard,,hard_cutoff
25,garden,meadow,,hard_cutoff
26,garden,outdoor,,hard_cutoff
27,garden,farm,,hard_cutoff
28,garden,plant,,hard_cutoff
29,garden,gazebo,,hard_cutoff
30,garden,graveyard,,hard_cutoff
31,garden,parterre,,hard_cutoff
32,garden,arboretum,,hard_cutoff
33,garden,pergola,,hard_cutoff
34,garden,conservatory,,hard_cutoff
35,garden,fernery,,hard_cutoff
36,garden,porch,,hard_cutoff
37,garden,greenery,,hard_cutoff
38,garden,dacha,,hard_cutoff
39,garden,farmyard,,hard_cutoff
40,garden,balcony,,hard_cutoff
41,garden,soil,,hard_cutoff
42,garden,barn,,hard_cutoff
43,garden,paradise,,hard_cutoff
44,garden,landscape,,hard_cutoff
45,garden,veranda,,hard_cutoff
46,garden,landscaping,,hard_cutoff
47,garden,glade,,hard_cutoff
48,garden,playground,,hard_cutoff
49,garden,churchyard,,hard_cutoff
50,garden,shed,,hard_cutoff
51,garden,planting,,hard_cutoff
52,garden,glasshouse,,hard_cutoff
53,garden,arbour,,hard_cutoff
54,garden,vineyard,,hard_cutoff
55,garden,arbor,,hard_cutoff
56,garden,bedroom,,hard_cutoff
57,garden,houseplant,,hard_cutoff
58,garden,jungle,,hard_cutoff
59,garden,fence,,hard_cutoff
60,garden,pasture,,hard_cutoff
61,garden,botanica,,hard_cutoff
62,garden,terrace,,hard_cutoff
63,garden,horticulture,,hard_cutoff
64,garden,indoor,,hard_cutoff
65,garden,toolshed,,hard_cutoff
66,garden,herb,,hard_cutoff
67,garden,outdoors,,hard_cutoff
68,garden,zoo,,hard_cutoff
69,garden,landscaped,,hard_cutoff
70,garden,flora,,hard_cutoff
71,garden,cottage,,hard_cutoff
72,garden,grange,,hard_cutoff
73,garden,yardland,,hard_cutoff
74,garden,forest,,hard_cutoff
75,garden,barnyard,,hard_cutoff
76,garden,shrubbery,,hard_cutoff
77,garden,gar,,hard_cutoff
78,garden,village,,hard_cutoff
79,garden,golf,,hard_cutoff
80,garden,flower,,hard_cutoff
81,garden,pavilion,,hard_cutoff
82,garden,gym,,hard_cutoff
83,garden,treelawn,,hard_cutoff
84,garden,deeryard,,hard_cutoff
85,garden,vase,,hard_cutoff
86,garden,shrub,,hard_cutoff
87,garden,planted,,hard_cutoff
88,garden,cemetery,,hard_cutoff
89,garden,greensward,,hard_cutoff
90,garden,orangerie,,hard_cutoff
91,garden,herbier,,hard_cutoff
92,garden,planter,,hard_cutoff
93,garden,pavillon,,hard_cutoff
94,garden,beeyard,,hard_cutoff
95,garden,horticultural,,hard_cutoff
96,garden,veld,,hard_cutoff
97,garden,garni,,hard_cutoff
98,garden,lawny,,hard_cutoff
99,garden,vegetation,,hard_cutoff
100,garden,datcha,,hard_cutoff
101,garden,greengrocery,,hard_cutoff
102,garden,vegetable,,hard_cutoff
103,garden,plantsman,,hard_cutoff
104,garden,parklike,,hard_cutoff
105,garden,salon,,hard_cutoff
106,garden,villa,,hard_cutoff
107,garden,summerhouse,,hard_cutoff
108,garden,trellis,,hard_cutoff
109,garden,hilloaed,,hard_cutoff
110,garden,rosarium,,hard_cutoff
111,garden,turf,,hard_cutoff
112,garden,minipark,,hard_cutoff
113,garden,home,,hard_cutoff
114,garden,beach,,hard_cutoff
115,garden,garth,,hard_cutoff
116,garden,manor,,hard_cutoff
117,garden,aquarium,,hard_cutoff
118,garden,garret,,hard_cutoff
119,garden,parlour,,hard_cutoff
120,garden,kindergarten,,hard_cutoff
121,garden,veldt,,hard_cutoff
122,garden,vivaria,,hard_cutoff
123,garden,farmland,,hard_cutoff
124,garden,apartment,,hard_cutoff
125,garden,flowerpot,,hard_cutoff
126,garden,terrarium,,hard_cutoff
127,garden,plantation,,hard_cutoff
128,garden,sward,,hard_cutoff
129,garden,harvest,,hard_cutoff
130,garden,driveway,,hard_cutoff
131,garden,land,,hard_cutoff
132,garden,bosquet,,hard_cutoff
133,garden,guesthouse,,hard_cutoff
134,garden,herbage,,hard_cutoff
135,garden,cultivate,,hard_cutoff
136,garden,geranium,,hard_cutoff
137,garden,kingdom,,hard_cutoff
