rank,secret_word,word,clue,connection_strength
1,gear,gear,This is the *.,secret_word
2,gear,gearing,I am essential for this process,strong
3,gear,equipment,I am part of this set,medium
4,gear,gearwheel,I am a smaller version of this,medium
5,gear,regear,I can be adjusted for this,weak
6,gear,gearbox,I am contained within this,strong
7,gear,geared,I am dependent on being this,strong
8,gear,gearcase,I am protected by this covering,medium
9,gear,armor,I am not related to this,weak
10,gear,gage,I measure the accuracy of this,medium
11,gear,kit,I am included in this collection,medium
12,gear,ware,I have nothing to do with this,weak
13,gear,gar,I am not associated with this,weak
14,gear,hardware,I am part of this category,medium
15,gear,regearing,I can be adjusted for this again,weak
16,gear,equip,I am necessary to prepare this,strong
17,gear,regeared,I depend on being adjusted again,weak
18,gear,weapon,I am not a part of this,weak
19,gear,tool,I am used alongside this,medium
20,gear,geeing,I am not related to this,weak
21,gear,wear,I have nothing to do with this,weak
22,gear,garb,I am not associated with this,weak
23,gear,gearchange,I am part of this transition,medium
24,gear,gie,I am not related to this,weak
25,gear,gable,I have nothing to do with this,weak
26,gear,headgear,I am worn on top of this,medium
27,gear,footgear,I am worn on the bottom of this,medium
28,gear,arming,I am necessary for this preparation,strong
29,gear,gee,I am not associated with this,weak
30,gear,device,I am often a component of this,medium
31,gear,tinware,I am not made of this material,weak
32,gear,apparel,I am a type of this clothing,medium
33,gear,ager,I am not related to this,weak
34,gear,gismo,I am not sure what this is,weak
35,gear,rack,I am a part of this storage,medium
36,gear,gadget,I am often paired with this,medium
37,gear,equipped,I am ready when this is done,medium
38,gear,gearshift,I enable a change like this,medium
39,gear,gest,I am not associated with this,weak
40,gear,toolbox,I am contained within this,medium
41,gear,gate,I am not related to this,weak
42,gear,quip,I have nothing to do with this,weak
43,gear,wheel,I am a smaller version of this,medium
44,gear,bearing,I rely on this for smooth operation,strong
45,gear,gun,I am not a weapon like this,weak
46,gear,garment,I am a type of this clothing,medium
47,gear,apparatus,I am often part of this setup,medium
48,gear,mesh,I have nothing to do with this,weak
49,gear,instrument,I am often a mechanical one,medium
50,gear,aparejo,I have no connection to this,weak
51,gear,gisarme,I have never heard of this,weak
52,gear,accouterment,"Super close, sizzling hot",strong
53,gear,gizmo,I am a mechanical cousin to this,medium
