guess,clue,ring
universe,Seek my nebula in this infinity,11
multiverse,My home's nebula is in this totality,11
infinity,Find my nebula within this existence,11
eternity,My cluster is held by this cosmos,11
totality,The cluster where I live is in this cosmos,11
existence,My space is held by this cosmos,11
reality,My home's expanse is in this totality,11
galaxy,Seek my world in this nebula,10
system,My territory is held by this system,10
nebula,My territory is held by this system,10
constellation,Seek my orb in this nebula,10
cluster,My territory is contained within this galaxy,10
space,My dwelling's globe is in this expanse,10
cosmos,Find my globe within this cosmos,10
void,My realm is held by this system,10
world,The expanse where I dwell is on this surface,9
globe,My expanse is contained within this world,9
planet,Find my mass within this realm,9
sphere,My dwelling's territory is on this globe,9
orb,My mass is contained within this world,9
realm,Look for my sea on this globe,9
domain,My dwelling's formation is on this globe,9
surface,The continent where I dwell is on this surface,9
continent,Seek my empire on this mass,8
hemisphere,Seek my dominion on this mass,8
landmass,My empire is contained within this continent,8
ocean,My home's dominion is in this region,8
sea,The kingdom where I dwell is on this formation,8
expanse,The dominion where I dwell is on this formation,8
mass,My territory is contained within this continent,8
formation,My dominion is contained within this continent,8
country,The province where I dwell is in this empire,7
nation,My territory is contained within this nation,7
homeland,Seek my state in this kingdom,7
republic,Find my district within this republic,7
kingdom,My province is contained within this nation,7
empire,Find my province within this republic,7
federation,My region is contained within this nation,7
dominion,Seek my canton in this kingdom,7
state,My dwelling's metropolis is in this province,6
province,My dwelling's metropolis is in this province,6
region,Find my township within this district,6
county,Look for my township in this province,6
prefecture,Find my locale within this district,6
canton,Look for my hub in this province,6
territory,The metropolis where I live is in this state,6
division,My home's city is in this territory,6
city,My locality is held by this urban space,5
metropolis,My dwelling's community is in this city,5
capital,My dwelling's village is in this city,5
municipality,My town is contained within this city,5
center,The village where I dwell is in this capital,5
hub,Find my village within this center,5
locale,My dwelling's locality is in this city,5
plaza,Look for my locality in this urban area,5
town,My precinct is held by this community,4
village,Seek my neighborhood in this settlement,4
hamlet,I live in the zone of this community,4
settlement,My zone is held by this community,4
community,Seek my district in this settlement,4
borough,My dwelling's zone is in this place,4
township,The precinct I inhabit is part of this area,4
enclave,My ward belongs to this settlement,4
neighborhood,I live near the boulevard within here,3
district,I dwell by the road in this place,3
quarter,My drive is found in this locality,3
suburb,The boulevard near me passes through this zone,3
ward,Seek my drive in this district,3
precinct,I dwell by the route in this place,3
locality,Find my lane within this region,3
zone,My way is found in this locality,3
area,My home's thoroughfare lies in this area,3
subdivision,My home's drive lies in this area,3
street,I live where you'll find the studio,2
avenue,My home is near the shop,2
road,I inhabit the area around the studio,2
lane,I live where you'll find the storage,2
boulevard,My sanctuary is by the shed,2
pathway,My dwelling sits beside the workbench,2
thoroughfare,My home is near the workshop,2
route,I inhabit the area around the workshop,2
drive,Look for me by the shop,2
way,I dwell close to the studio,2
workshop,You have found where I live,1
garage,You have found where I live,1
shed,You have found where I live,1
toolbox,You have found where I live,1
workbench,You have found where I live,1
basement,You have found where I live,1
storage,You have found where I live,1
shop,You have found where I live,1
studio,You have found where I live,1
facility,You have found where I live,1
