rank,secret_word,word,clue,connection_strength
1,hat,hat,This is the *.,secret_word
2,hat,that,,hard_cutoff
3,hat,hatting,,hard_cutoff
4,hat,hatter,,hard_cutoff
5,hat,vat,,hard_cutoff
6,hat,hatted,,hard_cutoff
7,hat,hath,,hard_cutoff
8,hat,bat,,hard_cutoff
9,hat,shat,,hard_cutoff
10,hat,ha,,hard_cutoff
11,hat,kat,,hard_cutoff
12,hat,hap,,hard_cutoff
13,hat,tat,,hard_cutoff
14,hat,thing,,hard_cutoff
15,hat,had,,hard_cutoff
16,hat,cat,,hard_cutoff
17,hat,than,,hard_cutoff
18,hat,hatsful,,hard_cutoff
19,hat,chapeaux,,hard_cutoff
20,hat,wat,,hard_cutoff
21,hat,phat,,hard_cutoff
22,hat,pat,,hard_cutoff
23,hat,haet,,hard_cutoff
24,hat,hatteria,,hard_cutoff
25,hat,cap,,hard_cutoff
26,hat,haw,,hard_cutoff
27,hat,hut,,hard_cutoff
28,hat,chapeaus,,hard_cutoff
29,hat,woolhat,,hard_cutoff
30,hat,chapeau,,hard_cutoff
31,hat,this,,hard_cutoff
32,hat,mat,,hard_cutoff
33,hat,doat,,hard_cutoff
34,hat,dit,,hard_cutoff
35,hat,it,,hard_cutoff
36,hat,het,,hard_cutoff
37,hat,ghat,,hard_cutoff
38,hat,what,,hard_cutoff
39,hat,habit,,hard_cutoff
40,hat,hit,,hard_cutoff
41,hat,which,,hard_cutoff
42,hat,unhat,,hard_cutoff
43,hat,at,,hard_cutoff
44,hat,something,,hard_cutoff
45,hat,rat,,hard_cutoff
46,hat,bonnet,,hard_cutoff
47,hat,tho,,hard_cutoff
48,hat,he,,hard_cutoff
49,hat,unhatted,,hard_cutoff
50,hat,sombrero,,hard_cutoff
51,hat,haft,,hard_cutoff
52,hat,haj,,hard_cutoff
53,hat,hardhat,,hard_cutoff
54,hat,hatbox,,hard_cutoff
55,hat,hoed,,hard_cutoff
56,hat,shit,,hard_cutoff
57,hat,bate,,hard_cutoff
58,hat,those,,hard_cutoff
59,hat,cate,,hard_cutoff
60,hat,haar,,hard_cutoff
61,hat,loth,,hard_cutoff
62,hat,titfer,,hard_cutoff
63,hat,fedora,,hard_cutoff
64,hat,ting,,hard_cutoff
65,hat,flatcap,,hard_cutoff
66,hat,having,,hard_cutoff
67,hat,hatband,,hard_cutoff
68,hat,tot,,hard_cutoff
69,hat,hatch,,hard_cutoff
70,hat,heck,,hard_cutoff
71,hat,ate,,hard_cutoff
72,hat,topi,,hard_cutoff
73,hat,apt,,hard_cutoff
74,hat,att,,hard_cutoff
75,hat,hant,,hard_cutoff
76,hat,hoot,,hard_cutoff
77,hat,wha,,hard_cutoff
78,hat,hairnet,,hard_cutoff
79,hat,bet,,hard_cutoff
80,hat,coat,,hard_cutoff
81,hat,phut,,hard_cutoff
82,hat,crap,,hard_cutoff
83,hat,khat,,hard_cutoff
84,hat,hint,,hard_cutoff
85,hat,hatless,,hard_cutoff
86,hat,heh,,hard_cutoff
87,hat,bast,,hard_cutoff
88,hat,chap,,hard_cutoff
89,hat,head,,hard_cutoff
90,hat,hast,,hard_cutoff
91,hat,tit,,hard_cutoff
92,hat,have,,hard_cutoff
93,hat,hip,,hard_cutoff
94,hat,ait,,hard_cutoff
95,hat,dot,,hard_cutoff
96,hat,cape,,hard_cutoff
97,hat,haddest,,hard_cutoff
98,hat,whatnot,,hard_cutoff
99,hat,caph,,hard_cutoff
100,hat,aitch,,hard_cutoff
101,hat,nit,,hard_cutoff
102,hat,hic,,hard_cutoff
103,hat,bag,,hard_cutoff
104,hat,let,,hard_cutoff
105,hat,thought,,hard_cutoff
106,hat,haircap,,hard_cutoff
107,hat,heth,,hard_cutoff
108,hat,ho,,hard_cutoff
109,hat,hah,,hard_cutoff
110,hat,topee,,hard_cutoff
111,hat,wit,,hard_cutoff
112,hat,unhatting,,hard_cutoff
113,hat,haik,,hard_cutoff
114,hat,hunh,,hard_cutoff
115,hat,hood,,hard_cutoff
116,hat,hare,,hard_cutoff
117,hat,though,,hard_cutoff
118,hat,heed,,hard_cutoff
119,hat,thae,,hard_cutoff
120,hat,ache,,hard_cutoff
121,hat,doth,,hard_cutoff
122,hat,whatever,,hard_cutoff
123,hat,felt,,hard_cutoff
124,hat,whether,,hard_cutoff
125,hat,stat,,hard_cutoff
126,hat,bout,,hard_cutoff
127,hat,say,,hard_cutoff
128,hat,these,,hard_cutoff
129,hat,hooty,,hard_cutoff
130,hat,vest,,hard_cutoff
131,hat,thus,,hard_cutoff
132,hat,aha,,hard_cutoff
133,hat,hang,,hard_cutoff
134,hat,peat,,hard_cutoff
135,hat,huh,,hard_cutoff
136,hat,want,,hard_cutoff
137,hat,shirt,,hard_cutoff
138,hat,tuque,,hard_cutoff
139,hat,gat,,hard_cutoff
140,hat,khaph,,hard_cutoff
141,hat,qua,,hard_cutoff
142,hat,beret,,hard_cutoff
143,hat,hadj,,hard_cutoff
144,hat,tut,,hard_cutoff
145,hat,mayhap,,hard_cutoff
146,hat,mad,,hard_cutoff
147,hat,posit,,hard_cutoff
148,hat,pot,,hard_cutoff
149,hat,thatch,,hard_cutoff
150,hat,sit,,hard_cutoff
151,hat,stuff,,hard_cutoff
152,hat,top,,hard_cutoff
153,hat,whap,,hard_cutoff
154,hat,hoe,,hard_cutoff
155,hat,hay,,hard_cutoff
156,hat,hin,,hard_cutoff
157,hat,shako,,hard_cutoff
158,hat,pant,,hard_cutoff
159,hat,capelet,,hard_cutoff
160,hat,heap,,hard_cutoff
161,hat,cot,,hard_cutoff
162,hat,ta,,hard_cutoff
163,hat,wich,,hard_cutoff
164,hat,hun,,hard_cutoff
165,hat,hangtag,,hard_cutoff
166,hat,hind,,hard_cutoff
167,hat,set,,hard_cutoff
168,hat,whatsit,,hard_cutoff
169,hat,nite,,hard_cutoff
170,hat,lot,,hard_cutoff
171,hat,got,,hard_cutoff
172,hat,dawt,,hard_cutoff
173,hat,notation,,hard_cutoff
174,hat,fit,,hard_cutoff
175,hat,bun,,hard_cutoff
176,hat,basket,,hard_cutoff
177,hat,hop,,hard_cutoff
178,hat,wear,,hard_cutoff
179,hat,hutch,,hard_cutoff
180,hat,hank,,hard_cutoff
181,hat,tet,,hard_cutoff
182,hat,hereat,,hard_cutoff
183,hat,nut,,hard_cutoff
184,hat,ghi,,hard_cutoff
185,hat,fat,,hard_cutoff
186,hat,ebbet,,hard_cutoff
187,hat,neath,,hard_cutoff
188,hat,cant,,hard_cutoff
189,hat,put,,hard_cutoff
190,hat,hack,,hard_cutoff
191,hat,itch,,hard_cutoff
192,hat,pet,,hard_cutoff
193,hat,topis,,hard_cutoff
194,hat,said,,hard_cutoff
195,hat,her,,hard_cutoff
196,hat,cloth,,hard_cutoff
197,hat,think,,hard_cutoff
198,hat,such,,hard_cutoff
199,hat,tap,,hard_cutoff
200,hat,uh,,hard_cutoff
201,hat,haffet,,hard_cutoff
202,hat,nth,,hard_cutoff
203,hat,thack,,hard_cutoff
204,hat,eat,,hard_cutoff
205,hat,mate,,hard_cutoff
206,hat,whose,,hard_cutoff
207,hat,rant,,hard_cutoff
208,hat,sat,,hard_cutoff
209,hat,drat,,hard_cutoff
210,hat,thong,,hard_cutoff
211,hat,whop,,hard_cutoff
212,hat,et,,hard_cutoff
213,hat,kit,,hard_cutoff
214,hat,strawhat,,hard_cutoff
215,hat,hung,,hard_cutoff
216,hat,lat,,hard_cutoff
217,hat,hup,,hard_cutoff
218,hat,capouch,,hard_cutoff
219,hat,kalpak,,hard_cutoff
220,hat,haded,,hard_cutoff
221,hat,fad,,hard_cutoff
222,hat,oat,,hard_cutoff
223,hat,heading,,hard_cutoff
224,hat,hao,,hard_cutoff
225,hat,quod,,hard_cutoff
226,hat,thesis,,hard_cutoff
227,hat,cup,,hard_cutoff
228,hat,petto,,hard_cutoff
229,hat,plat,,hard_cutoff
230,hat,cathead,,hard_cutoff
231,hat,thereat,,hard_cutoff
232,hat,mach,,hard_cutoff
233,hat,then,,hard_cutoff
234,hat,oft,,hard_cutoff
235,hat,prat,,hard_cutoff
236,hat,hart,,hard_cutoff
237,hat,hater,,hard_cutoff
238,hat,trait,,hard_cutoff
239,hat,tip,,hard_cutoff
240,hat,tag,,hard_cutoff
241,hat,headdress,,hard_cutoff
242,hat,hadst,,hard_cutoff
243,hat,mut,,hard_cutoff
244,hat,headgear,,hard_cutoff
245,hat,haffit,,hard_cutoff
246,hat,haaf,,hard_cutoff
247,hat,anything,,hard_cutoff
248,hat,ither,,hard_cutoff
249,hat,hame,,hard_cutoff
250,hat,hae,,hard_cutoff
251,hat,chit,,hard_cutoff
252,hat,khi,,hard_cutoff
253,hat,oot,,hard_cutoff
254,hat,ament,,hard_cutoff
255,hat,hash,,hard_cutoff
256,hat,swith,,hard_cutoff
257,hat,hoody,,hard_cutoff
258,hat,hackmatack,,hard_cutoff
259,hat,tam,,hard_cutoff
260,hat,hackie,,hard_cutoff
261,hat,tent,,hard_cutoff
262,hat,whaup,,hard_cutoff
263,hat,pattern,,hard_cutoff
264,hat,hading,,hard_cutoff
265,hat,nap,,hard_cutoff
266,hat,cheth,,hard_cutoff
267,hat,fuck,,hard_cutoff
268,hat,ah,,hard_cutoff
269,hat,hatlike,,hard_cutoff
270,hat,tail,,hard_cutoff
271,hat,tad,,hard_cutoff
272,hat,whack,,hard_cutoff
273,hat,did,,hard_cutoff
274,hat,cahoot,,hard_cutoff
275,hat,hipster,,hard_cutoff
276,hat,becapped,,hard_cutoff
277,hat,handle,,hard_cutoff
278,hat,halt,,hard_cutoff
