rank,word,similarity
1,horse,1.00000000
2,horsey,0.71326720
3,ahorse,0.70420771
4,horsy,0.68172560
5,horsed,0.66173359
6,horsing,0.63916751
7,horsiest,0.63597179
8,cockhorse,0.62632634
9,racehorse,0.62436421
10,warhorse,0.60528729
11,horsecar,0.60443498
12,hound,0.60259103
13,studhorse,0.60007349
14,horselike,0.59022037
15,pony,0.58664733
16,unhorse,0.58464193
17,horsewoman,0.57682447
18,hog,0.57183073
19,equine,0.56462520
20,redhorse,0.56193618
21,horseflesh,0.56123057
22,packhorse,0.55691091
23,hobbyhorse,0.55414194
24,stallion,0.54889828
25,horseback,0.54095554
26,steed,0.53658194
27,mustang,0.53564845
28,workhorse,0.53189798
29,hoofbeat,0.52708431
30,hoof,0.52479997
31,cow,0.52079167
32,horsiness,0.51613860
33,ridden,0.51325413
34,equid,0.51306590
35,donkey,0.51230273
36,horsewhip,0.51142118
37,neigh,0.50973457
38,whinny,0.50882213
39,horseman,0.50707780
40,horn,0.50597022
41,horsier,0.50434053
42,bronc,0.50354714
43,horseshod,0.50333959
44,destrier,0.50084768
45,horseshit,0.49914743
46,equinely,0.49899006
47,cavalero,0.49881492
48,mule,0.49620408
49,compony,0.49451034
50,thoroughbred,0.49173573
51,horsily,0.48952256
52,wheelhorse,0.48898704
53,riding,0.48890532
54,horseless,0.48338431
55,saddlebred,0.48280982
56,bloodstock,0.48181936
57,cavalla,0.48155785
58,standardbred,0.48099181
59,horsemanship,0.48063254
60,dog,0.47759083
61,hooved,0.47581647
62,bull,0.47568831
63,whinnied,0.47366935
64,horsepower,0.47175675
65,ride,0.47170262
66,horsewhipper,0.47146499
67,animal,0.47141286
68,hare,0.46864591
69,bronco,0.46863378
70,horselaugh,0.46783367
71,equestrian,0.46731607
72,hippish,0.46722839
73,hoofless,0.46715533
74,neighing,0.46703862
75,sawhorse,0.46604179
76,colt,0.46556390
77,trot,0.46492867
78,buck,0.46412959
79,hora,0.46219411
80,galoping,0.46218141
81,boat,0.46161983
82,unhorsed,0.46145561
83,horsewhipping,0.45905917
84,hoe,0.45880934
85,race,0.45717690
86,dobbin,0.45659962
87,horsemen,0.45518961
88,chariot,0.45459716
89,camel,0.45441071
90,cowboy,0.45375638
91,horseshoer,0.45353486
92,horseshoe,0.45328004
93,truck,0.45134616
94,cattle,0.45059528
95,toro,0.45021816
96,horseplayer,0.44908866
97,cabresta,0.44908189
98,zebra,0.44877182
99,vehicle,0.44850646
100,hawk,0.44757967
101,rider,0.44711073
102,unicorn,0.44706138
103,whinnying,0.44702871
104,hippogriff,0.44633473
105,hon,0.44502830
106,hoarse,0.44496775
107,centaur,0.44435997
108,bred,0.44426064
109,hoofed,0.44413187
110,hoarser,0.44411349
111,hippodrome,0.44403615
112,tractor,0.44186266
113,equitation,0.44184504
114,cavalry,0.44135302
115,hoofprint,0.44087999
116,forehoof,0.44043127
117,saddle,0.43968322
118,hackamore,0.43949984
119,bike,0.43858745
120,carabao,0.43782799
121,foal,0.43761291
122,horsetail,0.43756958
123,palomino,0.43756463
124,horsewomen,0.43692758
125,onager,0.43677149
126,goat,0.43649470
127,trotting,0.43575373
128,wagon,0.43557879
129,riderless,0.43492813
130,palfrey,0.43458174
131,hoofer,0.43458027
132,elephant,0.43428317
133,heifer,0.43351159
134,tarpan,0.43294202
135,pig,0.43280134
136,rideable,0.43254168
137,burro,0.43223918
138,galloping,0.43118996
139,cayuse,0.43038984
140,tahr,0.43037199
141,galoped,0.42972800
142,carriage,0.42950574
143,barn,0.42947399
144,greyhound,0.42935343
145,mare,0.42920552
146,galloper,0.42883024
147,hero,0.42880903
148,ponying,0.42867875
149,horsewhipped,0.42867128
150,galloped,0.42744879
151,longhorn,0.42722837
152,house,0.42685426
153,broodmare,0.42646860
154,neighed,0.42471490
155,beast,0.42462813
156,haul,0.42462770
157,clotheshorse,0.42460377
158,courser,0.42451184
159,jockey,0.42444085
160,bestride,0.42434229
161,horsehair,0.42424839
162,equestrienne,0.42405349
163,herd,0.42404105
164,filly,0.42393222
165,foxhunter,0.42227759
166,bridler,0.42221561
167,hamster,0.42209949
168,hippo,0.42198679
169,prancer,0.42186616
170,cavalier,0.42128384
171,motor,0.42088810
172,hippopotamus,0.42042119
173,hayrack,0.41961995
174,foaled,0.41959540
175,muled,0.41927568
176,hussar,0.41920221
177,horsepox,0.41915792
178,galop,0.41829396
179,horde,0.41814519
180,buckaroo,0.41710371
181,cowpoke,0.41709272
182,swine,0.41667215
183,moose,0.41646497
184,headstall,0.41616225
185,hip,0.41604670
186,monkey,0.41579049
187,bridoon,0.41560519
188,cart,0.41518685
189,rooster,0.41489440
190,caleche,0.41344192
