rank,secret_word,word,clue,connection_strength
1,horse,stallion,"Super close, sizzling hot",strong
2,horse,mare,"Super close, sizzling hot",strong
3,horse,foal,"Super close, sizzling hot",strong
4,horse,pony,"Super close, sizzling hot",strong
5,horse,equestrian,"Super close, sizzling hot",strong
6,horse,gallop,I run fast with this gait,medium
7,horse,trot,I move at a steady pace,medium
8,horse,canter,I have a graceful three-beat gait,medium
9,horse,bridle,Used to control me when ridden,strong
10,horse,saddle,Riders sit on me with this,strong
11,horse,hoof,I have four of these,strong
12,horse,mane,I have hair like this on me,strong
13,horse,tail,I swish this behind me,strong
14,horse,equine,I am of this animal family,strong
15,horse,thoroughbred,"Super close, sizzling hot",strong
16,horse,paddock,I graze in this enclosed area,medium
17,horse,jockey,I am ridden by this professional,strong
18,horse,ranch,I live on this type of farm,medium
19,horse,horseshoe,My hooves wear this protective shoe,strong
20,horse,bit,This is placed in my mouth,strong
21,horse,hay,I eat this dried grass,strong
22,horse,feed,I consume this to survive,strong
23,horse,galloping,I move fast with this gait,medium
24,horse,trotting,I move steadily with this gait,medium
25,horse,riding,I am used for this activity,strong
26,horse,bucking,I kick up my heels in this,medium
27,horse,neighing,I communicate with this sound,medium
28,horse,grazing,I eat grass in this manner,medium
29,horse,horseback,Riders sit on me like this,strong
30,horse,equestrianism,I am part of this sport,strong
31,horse,colt,"Super close, sizzling hot",strong
32,horse,filly,"Super close, sizzling hot",strong
33,horse,mount,Riders sit on me for transport,strong
34,horse,stirrup,Riders place their feet in this,strong
35,horse,maneuver,I perform actions as directed,medium
36,horse,whip,Used to guide and control me,strong
37,horse,stud,"Super close, sizzling hot",strong
38,horse,gelding,"Super close, sizzling hot",strong
39,horse,horse,This is the *.,secret_word
40,horse,steed,"Super close, sizzling hot",strong
41,horse,charger,"Super close, sizzling hot",strong
42,horse,broodmare,I am a female used for breeding,strong
43,horse,dam,"Super close, sizzling hot",strong
44,horse,nag,"Super close, sizzling hot",strong
45,horse,youngster,"Super close, sizzling hot",strong
46,horse,baby,"Super close, sizzling hot",strong
47,horse,offspring,I am the young of parents,strong
48,horse,yearling,"Super close, sizzling hot",strong
49,horse,miniature,"Super close, sizzling hot",strong
50,horse,smallhorse,"Super close, sizzling hot",strong
51,horse,cob,"Super close, sizzling hot",strong
52,horse,horseman,I carry this skilled human rider,strong
53,horse,rider,This human sits on me to travel,strong
54,horse,horsewoman,I bear this female rider companion,strong
55,horse,horsebackrider,I transport this human on my back,strong
56,horse,mounted,I am ridden by someone when,medium
57,horse,cavalier,"Super close, sizzling hot",strong
58,horse,horserider,I am the trusted steed for,strong
59,horse,run,I gallop instead of a human,weak
60,horse,dash,"I move quickly, not like humans",weak
61,horse,race,I compete in speed contests sometimes,medium
62,horse,charge,I move forward swiftly in battle,medium
63,horse,sprint,"I run fast, but not as humans",weak
64,horse,hasten,I accelerate at my own pace,weak
65,horse,speed,I can reach high velocities naturally,weak
66,horse,bolt,I can dash suddenly and swiftly,weak
67,horse,jog,I trot leisurely compared to humans,weak
68,horse,prance,I move gracefully with controlled steps,weak
69,horse,step,I walk with my distinct gait,weak
70,horse,march,I walk in a steady rhythm,weak
71,horse,stride,I take long steps in motion,weak
72,horse,walk,I stroll with a unique walk,weak
73,horse,lope,I canter smoothly at moderate speed,weak
74,horse,amble,I walk casually in my way,weak
75,horse,halter,I wear this to be guided,medium
76,horse,headstall,I need this for human control,strong
77,horse,harness,I wear this to pull loads,medium
78,horse,rein,I respond to guidance through this,strong
79,horse,muzzle,I wear this over my mouth,medium
80,horse,tack,I need various equipment for riding,strong
81,horse,headgear,I wear this for human interaction,strong
82,horse,seat,I provide a place for riders,medium
83,horse,ride,I carry people for transportation,strong
84,horse,girth,I need this to secure saddles,medium
85,horse,pad,I wear this under saddles for comfort,strong
86,horse,hoofprint,I leave marks of my steps,medium
87,horse,cloven,I have divided hooves for support,strong
88,horse,trotter,I trot with rhythmic steps naturally,weak
89,horse,ungulate,I belong to the hoofed mammal group,strong
90,horse,paw,I have hooves instead of this,strong
91,horse,claw,I lack sharp nails like this,strong
92,horse,pedal,I don't use pedals to move,strong
93,horse,digit,"I lack human fingers, only hooves",strong
94,horse,crest,I don't have a decorative one,strong
95,horse,forelock,I lack this distinctive mane feature,strong
96,horse,hair,I have a different type of coat,weak
97,horse,tress,"I have a mane, not human hair",weak
98,horse,lock,I don't have human hair strands,strong
99,horse,manelet,I have a distinct mane feature,strong
100,horse,maneless,"Super close, sizzling hot",strong
101,horse,manelike,I have my own unique mane,strong
102,horse,appendage,I have a long version of this,medium
103,horse,caudal,I have a different type of this,strong
104,horse,dock,I am not related to this,weak
105,horse,flag,I do not wave like this,weak
106,horse,queue,I do not wait in this,weak
107,horse,rump,I do not have a human one,medium
108,horse,tailpiece,I have a more useful one,strong
109,horse,train,I am not used for this,weak
110,horse,equid,I am a specific type of this,strong
111,horse,purebred,I do not have a breed,strong
112,horse,pedigree,I do not have a family tree,strong
113,horse,elite,I am not part of this group,medium
114,horse,highbred,I am not a hybrid like this,strong
115,horse,aristocratic,I am not of noble descent,strong
116,horse,blueblooded,I do not have noble lineage,strong
117,horse,highclass,I am not considered classy,strong
118,horse,topnotch,I am not at the peak,weak
119,horse,field,I graze in this open area,medium
120,horse,enclosure,I am not confined in this,weak
121,horse,pasture,I roam freely in this area,medium
122,horse,corral,I am not penned in this,weak
123,horse,pen,I am not kept in this enclosure,weak
124,horse,stable,I am not housed in this,weak
125,horse,yard,I do not measure in this,weak
126,horse,meadow,I graze in this open space,medium
127,horse,jock,I do not ride on a person,weak
128,horse,racer,I do not run for competition,weak
129,horse,pilot,I am not flown like this,weak
130,horse,competitor,I do not compete like this,weak
131,horse,farm,I may be found on this,medium
132,horse,plantation,I am not grown like crops,weak
133,horse,estate,I am not owned property,weak
134,horse,homestead,I do not live on a farm,weak
135,horse,acreage,I may roam on this vastness,medium
136,horse,property,I am not owned like this,weak
137,horse,range,I may roam in this expanse,medium
138,horse,station,I am not a stopping place,weak
139,horse,shoe,I do not wear this on hooves,weak
140,horse,iron,I am not made of this material,weak
141,horse,footwear,I do not wear shoes like this,weak
142,horse,metal,I am not composed of this,weak
