rank,word,similarity,note
1,stallion,0.54889828,"OpenAI #1, Our rank #24"
2,mare,0.42920552,"OpenAI #2, Our rank #145"
3,foal,0.43761291,"OpenAI #3, Our rank #121"
4,pony,0.58664733,"OpenAI #4, Our rank #15"
5,equestrian,0.46731607,"OpenAI #5, Our rank #71"
6,gallop,0.39994726,"OpenAI #6, Our rank #240"
7,trot,0.46492867,"OpenAI #7, Our rank #77"
8,canter,0.38001620,"OpenAI #8, Our rank #342"
9,bridle,0.40593880,"OpenAI #9, Our rank #220"
10,saddle,0.43968322,"OpenAI #10, Our rank #117"
11,hoof,0.52479997,"OpenAI #11, Our rank #30"
12,mane,0.37195492,"OpenAI #12, Our rank #411"
13,tail,0.31019661,"OpenAI #13, Our rank #2,103"
14,equine,0.56462520,"OpenAI #14, Our rank #19"
15,thoroughbred,0.49173573,"OpenAI #15, Our rank #50"
16,paddock,0.37520009,"OpenAI #16, Our rank #383"
17,jockey,0.42444085,"OpenAI #17, Our rank #159"
18,ranch,0.34477852,"OpenAI #18, Our rank #818"
19,horseshoe,0.45328004,"OpenAI #19, Our rank #92"
20,bit,0.29496099,"OpenAI #20, Our rank #3,329"
21,hay,0.37809401,"OpenAI #21, Our rank #358"
22,feed,0.31449529,"OpenAI #22, Our rank #1,860"
23,galloping,0.43118996,"OpenAI #23, Our rank #138"
24,trotting,0.43575373,"OpenAI #24, Our rank #127"
25,riding,0.48890532,"OpenAI #25, Our rank #53"
26,bucking,0.38767588,"OpenAI #26, Our rank #296"
27,neighing,0.46703862,"OpenAI #27, Our rank #74"
28,grazing,0.30724045,"OpenAI #28, Our rank #2,282"
29,horseback,0.54095554,"OpenAI #29, Our rank #25"
30,equestrianism,0.00000000,"OpenAI #30, Not in our embeddings"
31,colt,0.46556390,"OpenAI #31, Our rank #76"
32,filly,0.42393222,"OpenAI #32, Our rank #164"
33,mount,0.31154743,"OpenAI #33, Our rank #2,022"
34,stirrup,0.32340247,"OpenAI #34, Our rank #1,433"
35,maneuver,0.23687542,"OpenAI #35, Our rank #16,722"
36,whip,0.34728164,"OpenAI #36, Our rank #768"
37,stud,0.37589666,"OpenAI #37, Our rank #375"
38,gelding,0.39700108,"OpenAI #38, Our rank #252"
39,horse,1.00000000,"OpenAI #39, Our rank #1"
40,steed,0.53658194,"OpenAI #40, Our rank #26"
41,charger,0.28802217,"OpenAI #41, Our rank #4,063"
42,broodmare,0.42646860,"OpenAI #42, Our rank #153"
43,dam,0.25091836,"OpenAI #43, Our rank #11,590"
44,nag,0.27339408,"OpenAI #44, Our rank #6,166"
45,youngster,0.28336961,"OpenAI #45, Our rank #4,643"
46,baby,0.35308006,"OpenAI #46, Our rank #659"
47,offspring,0.23730182,"OpenAI #47, Our rank #16,552"
48,yearling,0.36336027,"OpenAI #48, Our rank #507"
49,miniature,0.26812004,"OpenAI #49, Our rank #7,180"
50,smallhorse,0.00000000,"OpenAI #50, Not in our embeddings"
51,cob,0.29260048,"OpenAI #51, Our rank #3,565"
52,horseman,0.50707780,"OpenAI #52, Our rank #39"
53,rider,0.44711073,"OpenAI #53, Our rank #101"
54,horsewoman,0.57682447,"OpenAI #54, Our rank #17"
55,horsebackrider,0.00000000,"OpenAI #55, Not in our embeddings"
56,mounted,0.36222557,"OpenAI #56, Our rank #529"
57,cavalier,0.42128384,"OpenAI #57, Our rank #170"
58,horserider,0.00000000,"OpenAI #58, Not in our embeddings"
59,run,0.35085397,"OpenAI #59, Our rank #700"
60,dash,0.30035516,"OpenAI #60, Our rank #2,805"
61,race,0.45717690,"OpenAI #61, Our rank #85"
62,charge,0.31068092,"OpenAI #62, Our rank #2,063"
63,sprint,0.23910311,"OpenAI #63, Our rank #15,804"
64,hasten,0.24282702,"OpenAI #64, Our rank #14,380"
65,speed,0.31196213,"OpenAI #65, Our rank #1,987"
66,bolt,0.31782166,"OpenAI #66, Our rank #1,681"
67,jog,0.31038883,"OpenAI #67, Our rank #2,086"
68,prance,0.37280134,"OpenAI #68, Our rank #409"
69,step,0.28869471,"OpenAI #69, Our rank #3,989"
70,march,0.24696987,"OpenAI #70, Our rank #12,843"
71,stride,0.37046690,"OpenAI #71, Our rank #425"
72,walk,0.32000130,"OpenAI #72, Our rank #1,580"
73,lope,0.30172945,"OpenAI #73, Our rank #2,686"
74,amble,0.24125244,"OpenAI #74, Our rank #14,977"
75,halter,0.37397560,"OpenAI #75, Our rank #399"
76,headstall,0.41616225,"OpenAI #76, Our rank #184"
77,harness,0.40658166,"OpenAI #77, Our rank #215"
78,rein,0.33799739,"OpenAI #78, Our rank #983"
79,muzzle,0.29314471,"OpenAI #79, Our rank #3,524"
80,tack,0.37070366,"OpenAI #80, Our rank #422"
81,headgear,0.24185327,"OpenAI #81, Our rank #14,736"
82,seat,0.32033056,"OpenAI #82, Our rank #1,563"
83,ride,0.47170262,"OpenAI #83, Our rank #65"
84,girth,0.27720344,"OpenAI #84, Our rank #5,531"
85,pad,0.23808961,"OpenAI #85, Our rank #16,237"
86,hoofprint,0.44087999,"OpenAI #86, Our rank #115"
87,cloven,0.31717764,"OpenAI #87, Our rank #1,711"
88,trotter,0.41115364,"OpenAI #88, Our rank #200"
89,ungulate,0.37565581,"OpenAI #89, Our rank #379"
90,paw,0.30042317,"OpenAI #90, Our rank #2,795"
91,claw,0.23744547,"OpenAI #91, Our rank #16,493"
92,pedal,0.29595151,"OpenAI #92, Our rank #3,220"
93,digit,0.27562213,"OpenAI #93, Our rank #5,781"
94,crest,0.30239424,"OpenAI #94, Our rank #2,621"
95,forelock,0.28881045,"OpenAI #95, Our rank #3,977"
96,hair,0.37112881,"OpenAI #96, Our rank #420"
97,tress,0.27810906,"OpenAI #97, Our rank #5,385"
98,lock,0.27731191,"OpenAI #98, Our rank #5,513"
99,manelet,0.00000000,"OpenAI #99, Not in our embeddings"
100,maneless,0.32812418,"OpenAI #100, Our rank #1,262"
101,manelike,0.00000000,"OpenAI #101, Not in our embeddings"
102,appendage,0.16164112,"OpenAI #102, Our rank #72,586"
103,caudal,0.19617879,"OpenAI #103, Our rank #42,056"
104,dock,0.33600354,"OpenAI #104, Our rank #1,028"
105,flag,0.29121287,"OpenAI #105, Our rank #3,714"
106,queue,0.29272889,"OpenAI #106, Our rank #3,553"
107,rump,0.26315851,"OpenAI #107, Our rank #8,244"
108,tailpiece,0.17744234,"OpenAI #108, Our rank #58,305"
109,train,0.35687569,"OpenAI #109, Our rank #593"
110,equid,0.51306590,"OpenAI #110, Our rank #34"
111,purebred,0.31646477,"OpenAI #111, Our rank #1,749"
112,pedigree,0.29229812,"OpenAI #112, Our rank #3,592"
113,elite,0.28368008,"OpenAI #113, Our rank #4,604"
114,highbred,0.38592249,"OpenAI #114, Our rank #301"
115,aristocratic,0.19280681,"OpenAI #115, Our rank #44,848"
116,blueblooded,0.00000000,"OpenAI #116, Not in our embeddings"
117,highclass,0.00000000,"OpenAI #117, Not in our embeddings"
118,topnotch,0.24274633,"OpenAI #118, Our rank #14,408"
119,field,0.28486282,"OpenAI #119, Our rank #4,439"
120,enclosure,0.24531180,"OpenAI #120, Our rank #13,440"
121,pasture,0.36431513,"OpenAI #121, Our rank #496"
122,corral,0.37988306,"OpenAI #122, Our rank #344"
123,pen,0.28152277,"OpenAI #123, Our rank #4,864"
124,stable,0.33958492,"OpenAI #124, Our rank #942"
125,yard,0.37479069,"OpenAI #125, Our rank #388"
126,meadow,0.29921053,"OpenAI #126, Our rank #2,907"
127,jock,0.34381554,"OpenAI #127, Our rank #837"
