rank,secret_word,word,clue,connection_strength
1,knife,knife,This is the *.,secret_word
2,knife,knifer,I am often mistaken for this tool,medium
3,knife,penknife,I am smaller than this tool,weak
4,knife,couteau,I have nothing to do with this,weak
5,knife,knifed,I am the result of being this,strong
6,knife,scalpel,I am used in surgery like this,strong
7,knife,knifing,I am the action of using me,strong
8,knife,sword,I am different from this weapon,weak
9,knife,pocketknife,I am smaller and foldable unlike this,medium
10,knife,cutlery,I am part of this set,strong
11,knife,couteaux,I have nothing to do with this,weak
12,knife,switchblade,"Super close, sizzling hot",strong
13,knife,blade,I am the sharp part of this,strong
14,knife,stabber,I am not used for this,weak
15,knife,knifelike,I am similar to but not this,medium
16,knife,dagger,I am shorter than this weapon,weak
17,knife,drawknife,I am not used for woodworking,weak
18,knife,cleaver,I am used for chopping unlike this,medium
19,knife,fork,I am different from this utensil,weak
20,knife,scissor,I have nothing to do with this,weak
21,knife,weapon,I am a type of this object,strong
22,knife,knifepoint,I am the tip of this,strong
23,knife,spoon,I am not used for scooping,weak
24,knife,cutlass,I am a type of this sword,strong
25,knife,stabbing,I am the action of being this,strong
26,knife,utensil,I am a type of this tool,strong
27,knife,needle,I am thicker than this object,weak
28,knife,razor,I am used for shaving like this,strong
29,knife,cutter,I am similar to this tool,medium
30,knife,daggerlike,I am similar to but not this,medium
31,knife,machete,I am used for cutting like this,strong
32,knife,tool,I am a type of this instrument,strong
33,knife,spatula,I am not used for flipping,weak
34,knife,killer,I am not used for taking lives,weak
35,knife,kukri,"Super close, sizzling hot",strong
36,knife,poon,I have nothing to do with this,weak
37,knife,stabbed,I am the result of being this,strong
38,knife,cutchery,I am part of this set,strong
39,knife,swordlike,I am similar to but not this,medium
40,knife,cut,I am the action of doing this,strong
41,knife,scythe,I have nothing to do with this,weak
42,knife,bladed,I am a type of this object,strong
43,knife,stab,I am the action of doing this,strong
44,knife,hatchet,I am smaller than this tool,weak
45,knife,flatware,I am part of this set,strong
46,knife,jackknife,"Super close, sizzling hot",strong
47,knife,forklike,I am similar to but not this,medium
48,knife,falchion,I am a type of this sword,strong
49,knife,backsword,I am not used for fencing,weak
50,knife,rapier,I am used for dueling unlike this,medium
51,knife,bayonet,I am attached to a rifle unlike this,medium
52,knife,bladelike,I am similar to this in shape,medium
53,knife,kill,Often used to carry out this action,strong
54,knife,glaive,I am a type of this weapon,strong
55,knife,gun,I am not related to this,weak
56,knife,sharp,Describes my edge or point quality,strong
57,knife,axe,Similar but larger than me,medium
58,knife,slice,One way I am used on objects,strong
59,knife,chisel,I am similar but used differently,medium
60,knife,nock,I have nothing to do with this,weak
61,knife,pitchfork,I have nothing to do with this,weak
62,knife,kukris,Similar shape but different purpose,medium
63,knife,forker,I am not used for eating,strong
64,knife,bodkin,Used for piercing like me,medium
65,knife,spear,Similar in shape but used for throwing,medium
66,knife,spade,"Used for digging, not cutting like me",medium
