rank,secret_word,word,clue,connection_strength
1,meat,meat,This is the *.,secret_word
2,meat,meaty,I am not this adjective,weak
3,meat,meatiness,I lack this quality,weak
4,meat,meatily,I do not do things this way,weak
5,meat,meatman,I am not a human,weak
6,meat,meated,I am not this adjective,weak
7,meat,nonmeat,I am the opposite of this,strong
8,meat,beef,I am from a different animal,medium
9,meat,meatiest,I am not the most of this,weak
10,meat,meateater,I am not a carnivore,strong
11,meat,meatier,I am not as adjective as this,medium
12,meat,meatmen,I am not a human,weak
13,meat,meatless,I do not contain this,strong
14,meat,flesh,I am not this tissue,medium
15,meat,pork,I am not from a pig,medium
16,meat,forcemeat,I am not a mixture,weak
17,meat,steak,"Super close, sizzling hot",strong
18,meat,meatloaf,I am not a dish,medium
19,meat,lunchmeat,I am not a deli item,medium
20,meat,bakemeat,I am not cooked this way,weak
21,meat,mutton,I am not from a sheep,medium
22,meat,sweetmeat,I am not a dessert,medium
23,meat,chicken,I am not a bird,medium
24,meat,meatpacking,I am not involved in this industry,strong
25,meat,fleishig,I am not kosher,strong
26,meat,mincemeat,"Super close, sizzling hot",strong
27,meat,meatball,I am not a round dish,medium
28,meat,sausage,"Super close, sizzling hot",strong
29,meat,nutmeat,I am not a nut product,medium
30,meat,meathead,I am not a foolish person,medium
31,meat,poultry,I am not a bird,medium
32,meat,beefsteak,I am not a cut of beef,medium
33,meat,crabmeat,I am not from a crab,medium
34,meat,lamb,I am not from a lamb,medium
35,meat,butchery,I am not a profession,medium
36,meat,fleshiness,I am not this quality,weak
37,meat,food,I am a type of this,medium
38,meat,muscle,I am not this tissue,medium
39,meat,meal,I am a component of this,medium
40,meat,seafood,I am not from the sea,medium
41,meat,cattle,I am not this livestock,medium
42,meat,gamey,I am not this taste,medium
43,meat,vegetable,I am not a plant,medium
44,meat,fleshy,I do not have this texture,medium
45,meat,melee,I am not a chaotic fight,medium
46,meat,butcher,I am not a profession,medium
47,meat,muttony,I am not from a sheep,medium
48,meat,gristle,I am not this tough tissue,medium
49,meat,cutlet,I am not a breaded dish,medium
50,meat,loin,"Super close, sizzling hot",strong
51,meat,venison,I am not from a deer,medium
52,meat,jerky,I am dried like this,strong
53,meat,bacon,I am made from this,strong
54,meat,horseflesh,I am not made of this,weak
55,meat,protein,I am a source of this,strong
56,meat,fishmeal,I am not used in this,weak
57,meat,marrow,I am inside bones like this,strong
58,meat,cheese,I am not dairy like this,weak
59,meat,dairy,I am not from this,weak
60,meat,offal,I am part of this,strong
61,meat,flesher,I am not a professional like this,weak
62,meat,carn,I am not related to this,weak
63,meat,milk,I am not produced like this,weak
64,meat,carcass,I am not a dead body like this,weak
65,meat,viand,I am not a food like this,weak
66,meat,carcase,I am not a body like this,weak
67,meat,slaughter,I am not involved in this,weak
68,meat,mealy,I am not like this texture,weak
69,meat,leather,I am not used to make this,weak
70,meat,pasta,I am not pasta,weak
71,meat,carnivore,"Super close, sizzling hot",strong
72,meat,livestock,I am not a farm animal like this,weak
73,meat,beefy,I am not beefy,weak
74,meat,butcherly,I am not a butcher like this,weak
75,meat,fleshiest,I am not the most fleshy,weak
76,meat,veggie,I am not a vegetable like this,weak
77,meat,gravy,I am not made with this,weak
78,meat,fleshment,I am not related to this,weak
79,meat,brisket,I am not a brisket,weak
