rank,secret_word,word,clue,connection_strength
1,ocean,sea,I am a part of this,strong
2,ocean,marine,I am related to this environment,medium
3,ocean,water,I am made of this element,strong
4,ocean,wave,I create this movement,strong
5,ocean,beach,I meet the land at this place,strong
6,ocean,coast,I border this geographical feature,strong
7,ocean,abyss,I reach the depths of this,medium
8,ocean,deep,I can be described as this,medium
9,ocean,blue,I reflect this color,weak
10,ocean,saltwater,I have this type of water,strong
11,ocean,aquatic,I support life in this realm,strong
12,ocean,tidal,I am affected by these movements,strong
13,ocean,seashore,I meet the land at this place,strong
14,ocean,brine,I am salty like this solution,medium
15,ocean,nautical,I am related to this field,medium
16,ocean,seafaring,I witness voyages across this,medium
17,ocean,maritime,I am part of this domain,medium
18,ocean,underwater,I envelop things beneath this,strong
19,ocean,current,I flow in these moving streams,strong
20,ocean,surf,I create waves for this activity,strong
21,ocean,horizon,I meet the sky at this point,strong
22,ocean,seabed,I form the ground at this depth,strong
23,ocean,seagull,I am home to this bird,medium
24,ocean,sail,I propel vessels with this force,medium
25,ocean,sailboat,I carry vessels powered by wind,medium
26,ocean,fish,I am habitat for these creatures,strong
27,ocean,coral,I host ecosystems with this structure,strong
28,ocean,shell,I shelter creatures in this casing,medium
29,ocean,seashell,I am a home for this creature,medium
30,ocean,lighthouse,I guide ships with this structure,medium
31,ocean,buoy,I mark locations with this float,medium
32,ocean,sailfish,I am home to this swift swimmer,medium
33,ocean,seaweed,I grow this plant in my depths,strong
34,ocean,tsunami,I unleash this powerful wave,medium
35,ocean,whirlpool,I form this spinning water vortex,medium
36,ocean,tide,I control the rise and fall of this,strong
37,ocean,pelagic,"Super close, sizzling hot",strong
38,ocean,submarine,I hide objects beneath this surface,medium
39,ocean,ship,I carry vessels across me,strong
40,ocean,cruise,I offer vacations on these voyages,medium
41,ocean,yacht,I am a luxury vessel on me,medium
42,ocean,jetty,I provide structure for this docking,medium
43,ocean,dock,I am a place for vessel mooring,strong
44,ocean,port,I serve as an entry point,medium
45,ocean,mariner,I navigate these skilled sailors,medium
46,ocean,captain,I command vessels with this leader,medium
47,ocean,mermaid,I am home to this mythical being,medium
48,ocean,kraken,I hide this legendary sea creature,medium
49,ocean,poseidon,I am associated with this deity,weak
50,ocean,neptune,I am linked to this celestial body,weak
51,ocean,atlantis,I have legends about this lost city,weak
52,ocean,seafloor,I am the ground beneath this,strong
53,ocean,seaplane,I have no use for this aircraft,weak
54,ocean,seaport,I connect ships to this place,strong
55,ocean,seaworthy,I determine if ships are this,strong
56,ocean,seabird,I see these flying above me,strong
57,ocean,seafarer,I witness journeys of these travelers,strong
58,ocean,seagoing,Ships navigate in and out of this,strong
59,ocean,seawater,I am made of this liquid,strong
60,ocean,cyan,Some parts of me look like this,medium
61,ocean,sapphire,My depths resemble this precious gem,medium
62,ocean,cobalt,I contain traces of this element,medium
63,ocean,navy,Ships of this color sail on me,strong
64,ocean,turquoise,Some parts of me reflect this color,medium
65,ocean,sky,Above me is the expanse of this,strong
66,ocean,indigo,I mirror the hue of this color,medium
67,ocean,salty,Some parts of me taste like this,medium
68,ocean,brim,I am the edge of this,strong
69,ocean,saline,Parts of me are similar to this,medium
70,ocean,ocean,This is the *.,secret_word
71,ocean,seaway,I provide a path for this,strong
72,ocean,mare,I am not a moon but this,weak
73,ocean,main,I am a part of the 'this',strong
74,ocean,naval,I am related to the 'this' forces,strong
75,ocean,oceanic,I am the vast expanse of 'this',strong
76,ocean,subaquatic,Beneath me is the realm of this,strong
77,ocean,h2o,I am composed of 'this' molecule,strong
78,ocean,aqua,Some parts of me resemble this color,medium
79,ocean,liquid,I am in the state of 'this',strong
80,ocean,hydration,I provide the basis for this,strong
81,ocean,moisture,I am a source of this,strong
82,ocean,droplet,I contain many of these small forms,medium
83,ocean,fluid,I flow like this substance,strong
84,ocean,wetness,I am the embodiment of this,strong
85,ocean,surge,I create waves of this movement,strong
86,ocean,ripple,I produce gentle waves like this,strong
87,ocean,crest,I form the peak of waves,strong
88,ocean,undulation,I am the rhythm of this motion,strong
89,ocean,swell,I am the rise of waves,strong
90,ocean,breaker,I am the force behind this,strong
91,ocean,billow,I resemble the movement of this,strong
92,ocean,shore,I meet the land at this boundary,strong
93,ocean,sand,I cover the bottom with this,strong
94,ocean,seaside,I am located by the 'this',strong
95,ocean,sandbar,I form this temporary land barrier,strong
96,ocean,littoral,I am part of the 'this' zone,strong
97,ocean,foreshore,I am the area between this,strong
98,ocean,edge,I define the limit of this,strong
99,ocean,waterfront,I am the front of this area,strong
100,ocean,seaboard,I am the side of this region,strong
101,ocean,bank,I am the border of this,strong
102,ocean,chasm,I am as deep as this gap,medium
103,ocean,void,I am vast like this emptiness,medium
104,ocean,gulf,I am not as wide as this,weak
105,ocean,depth,I am endless like this abyss,strong
106,ocean,pit,I am not as narrow as this,weak
107,ocean,precipice,I am deep like this edge,medium
108,ocean,gorge,I am grand like this canyon,medium
109,ocean,canyon,I am vast like this ravine,strong
110,ocean,profound,I am deep like this wisdom,strong
111,ocean,extensive,I am vast like this coverage,strong
112,ocean,thick,I am dense like this substance,strong
113,ocean,intense,I am strong like this feeling,strong
114,ocean,bottomless,I am deep like this pit,strong
115,ocean,farreaching,I am vast like this reach,strong
116,ocean,substantial,I am vast like this amount,strong
117,ocean,immersive,I am deep like this experience,strong
118,ocean,azure,I am blue like this sky,weak
119,ocean,oceanaria,I have nothing to do with this,weak
120,ocean,oceanaut,I have nothing to do with this,weak
121,ocean,oceanography,I have nothing to do with this,weak
122,ocean,oceangoing,I have nothing to do with this,weak
123,ocean,oceanarium,I have nothing to do with this,weak
124,ocean,oceanfront,I have nothing to do with this,weak
125,ocean,oceanographic,I have nothing to do with this,weak
126,ocean,oceanology,I have nothing to do with this,weak
127,ocean,pacific,"Super close, sizzling hot",strong
128,ocean,suboceanic,I have nothing to do with this,weak
129,ocean,oceanologist,I have nothing to do with this,weak
130,ocean,oceanographer,I have nothing to do with this,weak
131,ocean,interocean,I have nothing to do with this,weak
132,ocean,transoceanic,I have nothing to do with this,weak
133,ocean,oceanographical,I have nothing to do with this,weak
134,ocean,oceanographically,I have nothing to do with this,weak
135,ocean,oxygen,I support life unlike this gas,medium
136,ocean,undersea,I am below like this world,medium
137,ocean,ozone,I am not affected by this,weak
138,ocean,oyster,I have pearls unlike this shellfish,medium
139,ocean,seascape,I am vast like this view,strong
140,ocean,interoceanic,I have nothing to do with this,weak
141,ocean,oversea,I am below unlike this direction,weak
142,ocean,aquarium,I have nothing to do with this,weak
143,ocean,ozonic,I have nothing to do with this,weak
144,ocean,oasis,I am not as rare as this,weak
145,ocean,universe,I am vast like this cosmos,medium
146,ocean,oak,I have nothing to do with this,weak
147,ocean,ecosystem,I support life like this system,strong
148,ocean,octopus,I have tentacles unlike this creature,medium
149,ocean,mountain,I am deep unlike this landform,medium
150,ocean,lagoon,I am connected unlike this waterbody,medium
151,ocean,seaward,I am vast unlike this direction,weak
152,ocean,whale,I share the sea with this giant,strong
153,ocean,earth,I am a part of this,medium
154,ocean,seacoast,I shape the edges of this,medium
155,ocean,emeer,I have nothing to do with this,weak
156,ocean,island,I surround this piece of land,strong
157,ocean,coastal,I am part of this region,medium
158,ocean,hydrosphere,I am a critical part of this,strong
159,ocean,seaborne,I carry things that are this,strong
160,ocean,ose,I have nothing to do with this,weak
161,ocean,soil,I meet this at the coast,medium
162,ocean,river,I flow into this body,medium
163,ocean,coastland,I am part of this region,medium
164,ocean,oar,Used by those who cross me,strong
165,ocean,outdoor,I am the ultimate outdoors,medium
166,ocean,seabeach,I touch this sandy shore,strong
167,ocean,oarfish,I am not related to this,weak
168,ocean,odyssey,I am part of this epic,medium
169,ocean,antarctic,I touch the edges of this,strong
170,ocean,aquaria,I am part of these environments,medium
171,ocean,octave,I sound in waves of this,medium
172,ocean,world,I cover most of this planet,strong
173,ocean,galaxy,I am a small part of this,medium
174,ocean,atmosphere,I meet this at the horizon,medium
175,ocean,seawan,I am made of this water,strong
176,ocean,marina,I connect to this for recreation,strong
177,ocean,cove,I form hidden inlets like this,strong
178,ocean,oat,I have nothing to do with this,weak
179,ocean,offshore,I am close to this area,medium
180,ocean,garden,I have nothing to do with this,weak
181,ocean,harbor,I provide shelter like this place,strong
182,ocean,pelagial,I am part of the open,medium
183,ocean,heaven,I am vast like this concept,strong
184,ocean,planet,I surround this celestial body,strong
185,ocean,dolphin,I swim with this intelligent marine,strong
186,ocean,arctic,I touch the icy of this,strong
187,ocean,otic,I have nothing to do with this,weak
188,ocean,coastline,I define the edge of this,strong
189,ocean,seastrand,I shape this sandy strip,strong
190,ocean,volcano,I am not related to this,weak
191,ocean,landmass,I surround these large masses,strong
192,ocean,osmosis,I am part of the process,medium
193,ocean,loch,I am not related to this,weak
194,ocean,otter,I encounter this playful swimmer,strong
195,ocean,bay,I form sheltered bays like this,strong
196,ocean,shark,I share the sea with this predator,strong
197,ocean,reef,I support the life on this,strong
198,ocean,beachboy,I have nothing to do with this,weak
199,ocean,cosmic,I am part of the vast,medium
200,ocean,opah,I have nothing to do with this,weak
201,ocean,science,I am not related to this,weak
202,ocean,land,I meet this at my edge,medium
203,ocean,orgasm,I create waves like this sensation,weak
204,ocean,olive,I have no connection to this,weak
205,ocean,jungle,Different from my watery realm,strong
206,ocean,zoo,Humans keep creatures away from me,weak
207,ocean,seawant,I have nothing to do with this,weak
208,ocean,landscape,I shape the underwater version of this,medium
209,ocean,biome,Different ecosystems from mine,strong
210,ocean,deepwater,Deeper than where I usually reach,weak
211,ocean,terraqueous,I cover part of this world,medium
212,ocean,sun,I reflect its light and warmth,medium
213,ocean,environment,I am part of the aquatic,medium
214,ocean,oboe,Sounds do not travel well underwater,weak
215,ocean,boat,Floats on me but is not alive,medium
216,ocean,solar,Power source for life above me,medium
217,ocean,oblivion,Contrasts with the vibrant life I support,strong
218,ocean,hydrospace,I fill this watery realm completely,medium
219,ocean,biosphere,Interconnected with the life above me,medium
220,ocean,hydrospheric,Related to the watery part of Earth,medium
221,ocean,oath,Humans make promises on my shores,weak
222,ocean,beachy,Touching me with sandy shores,medium
223,ocean,ecology,Study of connections within ecosystems,medium
224,ocean,oxy,Vital element for life in me,medium
225,ocean,fjord,I sometimes connect to this landform,medium
226,ocean,overland,Creatures travel from me onto this,medium
227,ocean,eath,No relationship to this word,weak
228,ocean,octanol,I have no octane or alcohol,weak
229,ocean,oxo,No connection to this chemical compound,weak
230,ocean,forest,Lush greenery contrasts with my blue,strong
231,ocean,fog,Mist sometimes rises from my surface,medium
232,ocean,onshore,Transition zone between me and land,medium
233,ocean,leviathan,Ancient tales of creatures within me,medium
234,ocean,wavey,I create rhythmic patterns like this,medium
235,ocean,desert,Dry lands far from my waters,strong
236,ocean,abyssal,"Deep, dark depths within my realm",medium
237,ocean,octane,"Used in machines, not in me",weak
238,ocean,expanse,I am a vast watery expanse,medium
239,ocean,space,Beyond the skies above me,strong
240,ocean,sora,No connection to this word,weak
241,ocean,bathyal,"Super close, sizzling hot",strong
242,ocean,skyey,I have no sky above me,weak
243,ocean,shoreline,Where I meet the solid earth,medium
244,ocean,briny,"My waters are salty, like this",medium
245,ocean,aquamarine,Color resembling parts of my depths,medium
246,ocean,epipelagic,Upper sunlit zone within my depths,medium
247,ocean,freshwater,Different from my salty composition,strong
248,ocean,flood,I can cause massive watery floods,medium
249,ocean,ology,"Study of everything, including me",medium
250,ocean,odeon,No connection to this word,weak
251,ocean,wind,I can create waves with this force,medium
252,ocean,surfing,I create waves for this activity,strong
253,ocean,trench,I am deeper than this geographical feature,medium
254,ocean,sailing,I provide wind for this mode of travel,medium
255,ocean,nearshore,I am close to this coastal area,strong
256,ocean,seapiece,I am a part of this artistic genre,weak
257,ocean,seafood,I am a source of this cuisine,strong
258,ocean,globe,I cover most of this spherical object,weak
259,ocean,sailor,I am traveled by this seafarer,medium
260,ocean,iceberg,I melt into this floating mass,strong
261,ocean,harbour,I provide shelter for this port,medium
262,ocean,oecumenical,I am beyond the scope of this,weak
263,ocean,lakeshore,I am not connected to this,weak
264,ocean,otherworld,I am part of a different realm,strong
265,ocean,climate,I influence this weather pattern,medium
266,ocean,paradise,I am a dreamy version of this,weak
267,ocean,seamount,I am taller than this underwater mountain,medium
268,ocean,mediterranean,I am connected to this sea,strong
269,ocean,sonic,I transmit sound waves through this,weak
270,ocean,immensity,I am vastness personified compared to this,strong
