rank,word,similarity,note
1,sea,0.57602926,"OpenAI #1, Our rank #12"
2,marine,0.48736871,"OpenAI #2, Our rank #27"
3,water,0.43818861,"OpenAI #3, Our rank #66"
4,wave,0.44218886,"OpenAI #4, Our rank #58"
5,beach,0.50966019,"OpenAI #5, Our rank #21"
6,coast,0.48086400,"OpenAI #6, Our rank #33"
7,abyss,0.50242918,"OpenAI #7, Our rank #24"
8,deep,0.40528811,"OpenAI #8, Our rank #124"
9,blue,0.37719963,"OpenAI #9, Our rank #242"
10,saltwater,0.48232006,"OpenAI #10, Our rank #31"
11,aquatic,0.45265143,"OpenAI #11, Our rank #50"
12,tidal,0.41744476,"OpenAI #12, Our rank #102"
13,seashore,0.52325165,"OpenAI #13, Our rank #18"
14,brine,0.34477187,"OpenAI #14, Our rank #668"
15,nautical,0.38062855,"OpenAI #15, Our rank #223"
16,seafaring,0.40093064,"OpenAI #16, Our rank #139"
17,maritime,0.46088931,"OpenAI #17, Our rank #43"
18,underwater,0.46385989,"OpenAI #18, Our rank #39"
19,current,0.30355636,"OpenAI #19, Our rank #2,370"
20,surf,0.38936128,"OpenAI #20, Our rank #179"
21,horizon,0.43495190,"OpenAI #21, Our rank #73"
22,seabed,0.45109309,"OpenAI #22, Our rank #53"
23,seagull,0.34088911,"OpenAI #23, Our rank #750"
24,sail,0.36152337,"OpenAI #24, Our rank #390"
25,sailboat,0.36158567,"OpenAI #25, Our rank #388"
26,fish,0.00000000,"OpenAI #26, Not in our embeddings"
27,coral,0.39893914,"OpenAI #27, Our rank #150"
28,shell,0.28648217,"OpenAI #28, Our rank #4,049"
29,seashell,0.40003756,"OpenAI #29, Our rank #146"
30,lighthouse,0.35246570,"OpenAI #30, Our rank #531"
31,buoy,0.37623500,"OpenAI #31, Our rank #249"
32,sailfish,0.32968875,"OpenAI #32, Our rank #1,058"
33,seaweed,0.36972472,"OpenAI #33, Our rank #306"
34,tsunami,0.42753078,"OpenAI #34, Our rank #85"
35,whirlpool,0.31753188,"OpenAI #35, Our rank #1,516"
36,tide,0.43683612,"OpenAI #36, Our rank #70"
37,pelagic,0.43060550,"OpenAI #37, Our rank #79"
38,submarine,0.40527210,"OpenAI #38, Our rank #125"
39,ship,0.38567147,"OpenAI #39, Our rank #194"
40,cruise,0.35395231,"OpenAI #40, Our rank #495"
41,yacht,0.40579813,"OpenAI #41, Our rank #122"
42,jetty,0.32887692,"OpenAI #42, Our rank #1,086"
43,dock,0.31088111,"OpenAI #43, Our rank #1,885"
44,port,0.29779971,"OpenAI #44, Our rank #2,867"
45,mariner,0.38512967,"OpenAI #45, Our rank #197"
46,captain,0.29858259,"OpenAI #46, Our rank #2,797"
47,mermaid,0.39908091,"OpenAI #47, Our rank #149"
48,kraken,0.36186598,"OpenAI #48, Our rank #383"
49,poseidon,0.00000000,"OpenAI #49, Not in our embeddings"
50,neptune,0.00000000,"OpenAI #50, Not in our embeddings"
51,atlantis,0.00000000,"OpenAI #51, Not in our embeddings"
52,seafloor,0.50470448,"OpenAI #52, Our rank #22"
53,seaplane,0.29588313,"OpenAI #53, Our rank #3,046"
54,seaport,0.38354377,"OpenAI #54, Our rank #202"
55,seaworthy,0.33718655,"OpenAI #55, Our rank #839"
56,seabird,0.38633761,"OpenAI #56, Our rank #192"
57,seafarer,0.37570024,"OpenAI #57, Our rank #251"
58,seagoing,0.42429013,"OpenAI #58, Our rank #89"
59,seawater,0.49885483,"OpenAI #59, Our rank #25"
60,cyan,0.31188301,"OpenAI #60, Our rank #1,821"
61,sapphire,0.29732678,"OpenAI #61, Our rank #2,905"
62,cobalt,0.26754469,"OpenAI #62, Our rank #7,148"
63,navy,0.42496678,"OpenAI #63, Our rank #88"
64,turquoise,0.32779557,"OpenAI #64, Our rank #1,121"
65,sky,0.38817661,"OpenAI #65, Our rank #183"
66,indigo,0.33731006,"OpenAI #66, Our rank #834"
67,salty,0.40076902,"OpenAI #67, Our rank #141"
68,brim,0.26617889,"OpenAI #68, Our rank #7,470"
69,saline,0.31247239,"OpenAI #69, Our rank #1,777"
70,ocean,1.00000000,"OpenAI #70, Our rank #1"
71,seaway,0.37961544,"OpenAI #71, Our rank #229"
72,mare,0.32868870,"OpenAI #72, Our rank #1,090"
73,main,0.24625844,"OpenAI #73, Our rank #13,190"
74,naval,0.38325807,"OpenAI #74, Our rank #206"
75,oceanic,0.74499503,"OpenAI #75, Our rank #2"
76,subaquatic,0.44022554,"OpenAI #76, Our rank #62"
77,h2o,0.00000000,"OpenAI #77, Not in our embeddings"
78,aqua,0.47606196,"OpenAI #78, Our rank #34"
79,liquid,0.31958857,"OpenAI #79, Our rank #1,423"
80,hydration,0.25709749,"OpenAI #80, Our rank #9,786"
81,moisture,0.32219004,"OpenAI #81, Our rank #1,312"
82,droplet,0.30164808,"OpenAI #82, Our rank #2,533"
83,fluid,0.30395806,"OpenAI #83, Our rank #2,346"
84,wetness,0.27634712,"OpenAI #84, Our rank #5,531"
85,surge,0.26142549,"OpenAI #85, Our rank #8,633"
86,ripple,0.26080697,"OpenAI #86, Our rank #8,807"
87,crest,0.29914669,"OpenAI #87, Our rank #2,743"
88,undulation,0.28536541,"OpenAI #88, Our rank #4,189"
89,swell,0.36634966,"OpenAI #89, Our rank #340"
90,breaker,0.27231942,"OpenAI #90, Our rank #6,257"
91,billow,0.30556625,"OpenAI #91, Our rank #2,224"
92,shore,0.45037745,"OpenAI #92, Our rank #54"
93,sand,0.36899271,"OpenAI #93, Our rank #312"
94,seaside,0.42117664,"OpenAI #94, Our rank #94"
95,sandbar,0.27616016,"OpenAI #95, Our rank #5,560"
96,littoral,0.37080805,"OpenAI #96, Our rank #297"
97,foreshore,0.34317716,"OpenAI #97, Our rank #704"
98,edge,0.25169076,"OpenAI #98, Our rank #11,390"
99,waterfront,0.37082424,"OpenAI #99, Our rank #295"
100,seaboard,0.43815069,"OpenAI #100, Our rank #67"
101,bank,0.28295920,"OpenAI #101, Our rank #4,510"
102,chasm,0.36908726,"OpenAI #102, Our rank #311"
103,void,0.27772590,"OpenAI #103, Our rank #5,300"
104,gulf,0.44024277,"OpenAI #104, Our rank #61"
105,depth,0.37044801,"OpenAI #105, Our rank #300"
106,pit,0.23788149,"OpenAI #106, Our rank #16,426"
