# Recursive Expansion for 'bird'
# Total words: 562
# API calls: 20
# Levels: 2

# Level 1 (Direct): 99 words
avian (similarity: 0.90, source: bird)
feathered (similarity: 0.90, source: bird)
winged (similarity: 0.90, source: bird)
fowl (similarity: 0.90, source: bird)
songbird (similarity: 0.90, source: bird)
raptor (similarity: 0.90, source: bird)
waterfowl (similarity: 0.90, source: bird)
flight (similarity: 0.90, source: bird)
beak (similarity: 0.90, source: bird)
plumage (similarity: 0.90, source: bird)
nest (similarity: 0.90, source: bird)
perch (similarity: 0.90, source: bird)
prey (similarity: 0.90, source: bird)
migration (similarity: 0.90, source: bird)
chirp (similarity: 0.90, source: bird)
tweet (similarity: 0.90, source: bird)
peck (similarity: 0.90, source: bird)
soar (similarity: 0.90, source: bird)
roost (similarity: 0.90, source: bird)
preen (similarity: 0.90, source: bird)
talon (similarity: 0.90, source: bird)
predator (similarity: 0.90, source: bird)
chick (similarity: 0.90, source: bird)
hatchling (similarity: 0.90, source: bird)
fly (similarity: 0.90, source: bird)
caw (similarity: 0.90, source: bird)
owl (similarity: 0.90, source: bird)
eagle (similarity: 0.90, source: bird)
sparrow (similarity: 0.90, source: bird)
seagull (similarity: 0.90, source: bird)
hawk (similarity: 0.90, source: bird)
crow (similarity: 0.90, source: bird)
pelican (similarity: 0.90, source: bird)
duck (similarity: 0.90, source: bird)
goose (similarity: 0.90, source: bird)
swallow (similarity: 0.90, source: bird)
finch (similarity: 0.90, source: bird)
parrot (similarity: 0.90, source: bird)
pigeon (similarity: 0.90, source: bird)
hummingbird (similarity: 0.90, source: bird)
heron (similarity: 0.90, source: bird)
robin (similarity: 0.90, source: bird)
bluebird (similarity: 0.90, source: bird)
woodpecker (similarity: 0.90, source: bird)
cardinal (similarity: 0.90, source: bird)
falcon (similarity: 0.90, source: bird)
vulture (similarity: 0.90, source: bird)
albatross (similarity: 0.90, source: bird)
magpie (similarity: 0.90, source: bird)
kingfisher (similarity: 0.90, source: bird)
warbler (similarity: 0.90, source: bird)
wren (similarity: 0.90, source: bird)
jay (similarity: 0.90, source: bird)
chickadee (similarity: 0.90, source: bird)
osprey (similarity: 0.90, source: bird)
kestrel (similarity: 0.90, source: bird)
tern (similarity: 0.90, source: bird)
puffin (similarity: 0.90, source: bird)
ostrich (similarity: 0.90, source: bird)
emu (similarity: 0.90, source: bird)
flamingo (similarity: 0.90, source: bird)
crane (similarity: 0.90, source: bird)
stork (similarity: 0.90, source: bird)
toucan (similarity: 0.90, source: bird)
kiwi (similarity: 0.90, source: bird)
cassowary (similarity: 0.90, source: bird)
seabird (similarity: 0.90, source: bird)
shorebird (similarity: 0.90, source: bird)
waterbird (similarity: 0.90, source: bird)
aviary (similarity: 0.90, source: bird)
ornithology (similarity: 0.90, source: bird)
feathers (similarity: 0.90, source: bird)
wingspan (similarity: 0.90, source: bird)
flightless (similarity: 0.90, source: bird)
migrate (similarity: 0.90, source: bird)
flock (similarity: 0.90, source: bird)
colony (similarity: 0.90, source: bird)
nesting (similarity: 0.90, source: bird)
foraging (similarity: 0.90, source: bird)
hunting (similarity: 0.90, source: bird)
singing (similarity: 0.90, source: bird)
preening (similarity: 0.90, source: bird)
squawking (similarity: 0.90, source: bird)
gliding (similarity: 0.90, source: bird)
hovering (similarity: 0.90, source: bird)
diving (similarity: 0.90, source: bird)
swooping (similarity: 0.90, source: bird)
puffing (similarity: 0.90, source: bird)
flapping (similarity: 0.90, source: bird)
soaring (similarity: 0.90, source: bird)
pecking (similarity: 0.90, source: bird)
scavenging (similarity: 0.90, source: bird)
regurgitating (similarity: 0.90, source: bird)
camouflage (similarity: 0.90, source: bird)
adaptation (similarity: 0.90, source: bird)
endangered (similarity: 0.90, source: bird)
conservation (similarity: 0.90, source: bird)
habitat (similarity: 0.90, source: bird)
ecosystem (similarity: 0.90, source: bird)

# Level 2 (1-degree): 463 words
bird (similarity: 0.60, source: avian)
flying (similarity: 0.60, source: avian)
plumed (similarity: 0.60, source: avian)
fluffy (similarity: 0.60, source: avian)
downy (similarity: 0.60, source: avian)
quill (similarity: 0.60, source: avian)
flighted (similarity: 0.60, source: avian)
poultry (similarity: 0.60, source: avian)
chicken (similarity: 0.60, source: avian)
turkey (similarity: 0.60, source: avian)
thrush (similarity: 0.60, source: avian)
lark (similarity: 0.60, source: avian)
nightingale (similarity: 0.60, source: avian)
birdofprey (similarity: 0.60, source: raptor)
hunter (similarity: 0.60, source: raptor)
swan (similarity: 0.60, source: raptor)
wader (similarity: 0.60, source: raptor)
migratorybird (similarity: 0.60, source: raptor)
aerial (similarity: 0.60, source: raptor)
aviation (similarity: 0.60, source: raptor)
glide (similarity: 0.60, source: raptor)
journey (similarity: 0.60, source: raptor)
airborne (similarity: 0.60, source: raptor)
bill (similarity: 0.60, source: raptor)
snout (similarity: 0.60, source: raptor)
mouth (similarity: 0.60, source: raptor)
hooked (similarity: 0.60, source: raptor)
mandible (similarity: 0.60, source: raptor)
plumy (similarity: 0.60, source: raptor)
down (similarity: 0.60, source: raptor)
colorful (similarity: 0.60, source: raptor)
avianattire (similarity: 0.60, source: raptor)
covert (similarity: 0.60, source: raptor)
molt (similarity: 0.60, source: raptor)
wingfeather (similarity: 0.60, source: raptor)
den (similarity: 0.60, source: nest)
lair (similarity: 0.60, source: nest)
burrow (similarity: 0.60, source: nest)
shelter (similarity: 0.60, source: nest)
home (similarity: 0.60, source: nest)
restingplace (similarity: 0.60, source: nest)
abode (similarity: 0.60, source: nest)
