# Recursive Expansion for 'fire'
# Total words: 86
# API calls: 5
# Levels: 3

# Level 1 (Direct): 5 words
flame (similarity: 0.90, source: fire)
burn (similarity: 0.90, source: fire)
heat (similarity: 0.90, source: fire)
ignite (similarity: 0.90, source: fire)
blaze (similarity: 0.90, source: fire)

# Level 2 (1-degree): 31 words
fire (similarity: 0.60, source: flame)
inferno (similarity: 0.60, source: flame)
torch (similarity: 0.60, source: flame)
spark (similarity: 0.60, source: flame)
combustion (similarity: 0.60, source: flame)
bonfire (similarity: 0.60, source: flame)
ember (similarity: 0.60, source: flame)
flare (similarity: 0.60, source: flame)
scorch (similarity: 0.60, source: flame)
char (similarity: 0.60, source: flame)
singe (similarity: 0.60, source: flame)
incinerate (similarity: 0.60, source: flame)
sear (similarity: 0.60, source: flame)
toast (similarity: 0.60, source: flame)
consume (similarity: 0.60, source: flame)
warmth (similarity: 0.60, source: flame)
temperature (similarity: 0.60, source: flame)
hot (similarity: 0.60, source: flame)
radiate (similarity: 0.60, source: flame)
boil (similarity: 0.60, source: flame)
roast (similarity: 0.60, source: flame)
sizzle (similarity: 0.60, source: flame)
swelter (similarity: 0.60, source: flame)
kindle (similarity: 0.60, source: flame)
light (similarity: 0.60, source: flame)
start (similarity: 0.60, source: flame)
inflame (similarity: 0.60, source: flame)
enkindle (similarity: 0.60, source: flame)
setablaze (similarity: 0.60, source: flame)
conflagration (similarity: 0.60, source: flame)
wildfire (similarity: 0.60, source: flame)

# Level 3 (2-degree): 50 words
ignition (similarity: 0.40, source: fire)
firestorm (similarity: 0.40, source: fire)
hellfire (similarity: 0.40, source: fire)
flame (similarity: 0.40, source: fire)
cataclysm (similarity: 0.40, source: fire)
holocaust (similarity: 0.40, source: fire)
armageddon (similarity: 0.40, source: fire)
lantern (similarity: 0.40, source: fire)
beacon (similarity: 0.40, source: fire)
brand (similarity: 0.40, source: fire)
glint (similarity: 0.40, source: fire)
flash (similarity: 0.40, source: fire)
kindling (similarity: 0.40, source: fire)
flicker (similarity: 0.40, source: fire)
burning (similarity: 0.40, source: fire)
oxidation (similarity: 0.40, source: fire)
pyrolysis (similarity: 0.40, source: fire)
pyre (similarity: 0.40, source: bonfire)
ash (similarity: 0.40, source: bonfire)
cinder (similarity: 0.40, source: bonfire)
glow (similarity: 0.40, source: bonfire)
smolder (similarity: 0.40, source: bonfire)
coal (similarity: 0.40, source: bonfire)
charcoal (similarity: 0.40, source: bonfire)
burst (similarity: 0.40, source: bonfire)
glare (similarity: 0.40, source: bonfire)
shine (similarity: 0.40, source: bonfire)
illuminate (similarity: 0.40, source: bonfire)
grill (similarity: 0.40, source: bonfire)
blister (similarity: 0.40, source: singe)
charr (similarity: 0.40, source: singe)
charred (similarity: 0.40, source: singe)
scald (similarity: 0.40, source: singe)
cremate (similarity: 0.40, source: singe)
reducetoash (similarity: 0.40, source: singe)
bake (similarity: 0.40, source: singe)
broil (similarity: 0.40, source: singe)
brown (similarity: 0.40, source: singe)
devour (similarity: 0.40, source: singe)
eat (similarity: 0.40, source: singe)
ingest (similarity: 0.40, source: singe)
swallow (similarity: 0.40, source: singe)
gobble (similarity: 0.40, source: singe)
absorb (similarity: 0.40, source: singe)
digest (similarity: 0.40, source: singe)
engulf (similarity: 0.40, source: singe)
cosiness (similarity: 0.40, source: warmth)
warmness (similarity: 0.40, source: warmth)
fervor (similarity: 0.40, source: warmth)
kindness (similarity: 0.40, source: warmth)

