# Recursive Expansion for 'fish'
# Total words: 494
# API calls: 19
# Levels: 2

# Level 1 (Direct): 93 words
seafood (similarity: 0.90, source: fish)
aquatic (similarity: 0.90, source: fish)
marine (similarity: 0.90, source: fish)
piscine (similarity: 0.90, source: fish)
finned (similarity: 0.90, source: fish)
gilled (similarity: 0.90, source: fish)
freshwater (similarity: 0.90, source: fish)
saltwater (similarity: 0.90, source: fish)
oceanic (similarity: 0.90, source: fish)
stream (similarity: 0.90, source: fish)
river (similarity: 0.90, source: fish)
lake (similarity: 0.90, source: fish)
pond (similarity: 0.90, source: fish)
ocean (similarity: 0.90, source: fish)
sea (similarity: 0.90, source: fish)
underwater (similarity: 0.90, source: fish)
swim (similarity: 0.90, source: fish)
scale (similarity: 0.90, source: fish)
gill (similarity: 0.90, source: fish)
hook (similarity: 0.90, source: fish)
bait (similarity: 0.90, source: fish)
reel (similarity: 0.90, source: fish)
catch (similarity: 0.90, source: fish)
angler (similarity: 0.90, source: fish)
fishing (similarity: 0.90, source: fish)
angling (similarity: 0.90, source: fish)
fisherman (similarity: 0.90, source: fish)
fisherwoman (similarity: 0.90, source: fish)
fishery (similarity: 0.90, source: fish)
fishmonger (similarity: 0.90, source: fish)
sushi (similarity: 0.90, source: fish)
sashimi (similarity: 0.90, source: fish)
salmon (similarity: 0.90, source: fish)
tuna (similarity: 0.90, source: fish)
cod (similarity: 0.90, source: fish)
trout (similarity: 0.90, source: fish)
mackerel (similarity: 0.90, source: fish)
herring (similarity: 0.90, source: fish)
bass (similarity: 0.90, source: fish)
catfish (similarity: 0.90, source: fish)
tilapia (similarity: 0.90, source: fish)
carp (similarity: 0.90, source: fish)
swordfish (similarity: 0.90, source: fish)
shark (similarity: 0.90, source: fish)
octopus (similarity: 0.90, source: fish)
squid (similarity: 0.90, source: fish)
shrimp (similarity: 0.90, source: fish)
lobster (similarity: 0.90, source: fish)
crab (similarity: 0.90, source: fish)
shellfish (similarity: 0.90, source: fish)
mollusk (similarity: 0.90, source: fish)
clam (similarity: 0.90, source: fish)
oyster (similarity: 0.90, source: fish)
scallop (similarity: 0.90, source: fish)
mussel (similarity: 0.90, source: fish)
prawn (similarity: 0.90, source: fish)
crustacean (similarity: 0.90, source: fish)
algae (similarity: 0.90, source: fish)
seaweed (similarity: 0.90, source: fish)
coral (similarity: 0.90, source: fish)
kelp (similarity: 0.90, source: fish)
plankton (similarity: 0.90, source: fish)
ecosystem (similarity: 0.90, source: fish)
predator (similarity: 0.90, source: fish)
prey (similarity: 0.90, source: fish)
school (similarity: 0.90, source: fish)
shoal (similarity: 0.90, source: fish)
swarm (similarity: 0.90, source: fish)
flock (similarity: 0.90, source: fish)
group (similarity: 0.90, source: fish)
species (similarity: 0.90, source: fish)
biodiversity (similarity: 0.90, source: fish)
conservation (similarity: 0.90, source: fish)
sustainability (similarity: 0.90, source: fish)
overfishing (similarity: 0.90, source: fish)
aquaculture (similarity: 0.90, source: fish)
aquarium (similarity: 0.90, source: fish)
goldfish (similarity: 0.90, source: fish)
betta (similarity: 0.90, source: fish)
guppy (similarity: 0.90, source: fish)
angelfish (similarity: 0.90, source: fish)
tetra (similarity: 0.90, source: fish)
cichlid (similarity: 0.90, source: fish)
clownfish (similarity: 0.90, source: fish)
discus (similarity: 0.90, source: fish)
gourami (similarity: 0.90, source: fish)
killifish (similarity: 0.90, source: fish)
loach (similarity: 0.90, source: fish)
pleco (similarity: 0.90, source: fish)
rasbora (similarity: 0.90, source: fish)
swordtail (similarity: 0.90, source: fish)
barb (similarity: 0.90, source: fish)
danio (similarity: 0.90, source: fish)

# Level 2 (1-degree): 401 words
fish (similarity: 0.60, source: seafood)
delicacy (similarity: 0.60, source: seafood)
water (similarity: 0.60, source: seafood)
submerged (similarity: 0.60, source: seafood)
watery (similarity: 0.60, source: seafood)
riverine (similarity: 0.60, source: seafood)
maritime (similarity: 0.60, source: seafood)
nautical (similarity: 0.60, source: seafood)
naval (similarity: 0.60, source: seafood)
seafaring (similarity: 0.60, source: seafood)
oceanographic (similarity: 0.60, source: seafood)
piscatorial (similarity: 0.60, source: seafood)
ichthyic (similarity: 0.60, source: seafood)
piscatory (similarity: 0.60, source: seafood)
flippered (similarity: 0.60, source: seafood)
subaqueous (similarity: 0.60, source: gilled)
submersible (similarity: 0.60, source: gilled)
subaquatic (similarity: 0.60, source: gilled)
inland (similarity: 0.60, source: gilled)
potable (similarity: 0.60, source: gilled)
drinkable (similarity: 0.60, source: gilled)
unsalty (similarity: 0.60, source: gilled)
sweetwater (similarity: 0.60, source: gilled)
nonsaline (similarity: 0.60, source: gilled)
nonbrackish (similarity: 0.60, source: gilled)
seawater (similarity: 0.60, source: gilled)
brine (similarity: 0.60, source: gilled)
saline (similarity: 0.60, source: gilled)
brackish (similarity: 0.60, source: gilled)
salty (similarity: 0.60, source: gilled)
seaborne (similarity: 0.60, source: gilled)
seagoing (similarity: 0.60, source: gilled)
pelagic (similarity: 0.60, source: gilled)
seaward (similarity: 0.60, source: gilled)
brook (similarity: 0.60, source: gilled)
creek (similarity: 0.60, source: gilled)
rivulet (similarity: 0.60, source: gilled)
rill (similarity: 0.60, source: gilled)
runnel (similarity: 0.60, source: gilled)
watercourse (similarity: 0.60, source: gilled)
tributary (similarity: 0.60, source: gilled)
channel (similarity: 0.60, source: gilled)
waterway (similarity: 0.60, source: river)
reservoir (similarity: 0.60, source: river)
lagoon (similarity: 0.60, source: river)
loch (similarity: 0.60, source: river)
tarn (similarity: 0.60, source: river)
mere (similarity: 0.60, source: river)
basin (similarity: 0.60, source: river)
pool (similarity: 0.60, source: river)
waterhole (similarity: 0.60, source: river)
wateringhole (similarity: 0.60, source: river)
billabong (similarity: 0.60, source: river)
deep (similarity: 0.60, source: river)
main (similarity: 0.60, source: river)
blue (similarity: 0.60, source: river)
submersed (similarity: 0.60, source: underwater)
belowthesurface (similarity: 0.60, source: underwater)
sunken (similarity: 0.60, source: underwater)
immersed (similarity: 0.60, source: underwater)
submarine (similarity: 0.60, source: underwater)
dive (similarity: 0.60, source: underwater)
stroke (similarity: 0.60, source: underwater)
paddle (similarity: 0.60, source: underwater)
float (similarity: 0.60, source: underwater)
glide (similarity: 0.60, source: underwater)
plunge (similarity: 0.60, source: underwater)
wade (similarity: 0.60, source: underwater)
backstroke (similarity: 0.60, source: underwater)
climb (similarity: 0.60, source: underwater)
ascend (similarity: 0.60, source: underwater)
gradation (similarity: 0.60, source: underwater)
proportion (similarity: 0.60, source: underwater)
range (similarity: 0.60, source: underwater)
ladder (similarity: 0.60, source: underwater)
degree (similarity: 0.60, source: underwater)
size (similarity: 0.60, source: underwater)
respiratory (similarity: 0.60, source: underwater)
breathing (similarity: 0.60, source: underwater)
vent (similarity: 0.60, source: underwater)
lung (similarity: 0.60, source: underwater)
airway (similarity: 0.60, source: underwater)
