# Recursive Expansion for 'horse'
# Total words: 253
# API calls: 8
# Levels: 2

# Level 1 (Direct): 36 words
stallion (similarity: 0.90, source: horse)
mare (similarity: 0.90, source: horse)
foal (similarity: 0.90, source: horse)
pony (similarity: 0.90, source: horse)
equestrian (similarity: 0.90, source: horse)
gallop (similarity: 0.90, source: horse)
trot (similarity: 0.90, source: horse)
canter (similarity: 0.90, source: horse)
bridle (similarity: 0.90, source: horse)
saddle (similarity: 0.90, source: horse)
hoof (similarity: 0.90, source: horse)
mane (similarity: 0.90, source: horse)
tail (similarity: 0.90, source: horse)
equine (similarity: 0.90, source: horse)
thoroughbred (similarity: 0.90, source: horse)
paddock (similarity: 0.90, source: horse)
jockey (similarity: 0.90, source: horse)
ranch (similarity: 0.90, source: horse)
horseshoe (similarity: 0.90, source: horse)
bit (similarity: 0.90, source: horse)
hay (similarity: 0.90, source: horse)
feed (similarity: 0.90, source: horse)
galloping (similarity: 0.90, source: horse)
trotting (similarity: 0.90, source: horse)
riding (similarity: 0.90, source: horse)
bucking (similarity: 0.90, source: horse)
neighing (similarity: 0.90, source: horse)
grazing (similarity: 0.90, source: horse)
horseback (similarity: 0.90, source: horse)
equestrianism (similarity: 0.90, source: horse)
colt (similarity: 0.90, source: horse)
filly (similarity: 0.90, source: horse)
mount (similarity: 0.90, source: horse)
stirrup (similarity: 0.90, source: horse)
maneuver (similarity: 0.90, source: horse)
whip (similarity: 0.90, source: horse)

# Level 2 (1-degree): 217 words
stud (similarity: 0.60, source: stallion)
gelding (similarity: 0.60, source: stallion)
horse (similarity: 0.60, source: stallion)
steed (similarity: 0.60, source: stallion)
charger (similarity: 0.60, source: stallion)
broodmare (similarity: 0.60, source: stallion)
dam (similarity: 0.60, source: stallion)
nag (similarity: 0.60, source: stallion)
youngster (similarity: 0.60, source: stallion)
baby (similarity: 0.60, source: stallion)
offspring (similarity: 0.60, source: stallion)
yearling (similarity: 0.60, source: stallion)
miniature (similarity: 0.60, source: stallion)
smallhorse (similarity: 0.60, source: stallion)
cob (similarity: 0.60, source: stallion)
horseman (similarity: 0.60, source: stallion)
rider (similarity: 0.60, source: stallion)
horsewoman (similarity: 0.60, source: stallion)
horsebackrider (similarity: 0.60, source: stallion)
mounted (similarity: 0.60, source: stallion)
cavalier (similarity: 0.60, source: stallion)
horserider (similarity: 0.60, source: stallion)
run (similarity: 0.60, source: gallop)
dash (similarity: 0.60, source: gallop)
race (similarity: 0.60, source: gallop)
charge (similarity: 0.60, source: gallop)
sprint (similarity: 0.60, source: gallop)
hasten (similarity: 0.60, source: gallop)
speed (similarity: 0.60, source: gallop)
bolt (similarity: 0.60, source: gallop)
jog (similarity: 0.60, source: gallop)
prance (similarity: 0.60, source: gallop)
step (similarity: 0.60, source: gallop)
march (similarity: 0.60, source: gallop)
stride (similarity: 0.60, source: gallop)
walk (similarity: 0.60, source: gallop)
lope (similarity: 0.60, source: gallop)
amble (similarity: 0.60, source: gallop)
halter (similarity: 0.60, source: gallop)
headstall (similarity: 0.60, source: gallop)
harness (similarity: 0.60, source: gallop)
rein (similarity: 0.60, source: gallop)
muzzle (similarity: 0.60, source: gallop)
tack (similarity: 0.60, source: gallop)
headgear (similarity: 0.60, source: gallop)
seat (similarity: 0.60, source: gallop)
ride (similarity: 0.60, source: gallop)
girth (similarity: 0.60, source: gallop)
pad (similarity: 0.60, source: gallop)
hoofprint (similarity: 0.60, source: hoof)
cloven (similarity: 0.60, source: hoof)
trotter (similarity: 0.60, source: hoof)
ungulate (similarity: 0.60, source: hoof)
paw (similarity: 0.60, source: hoof)
claw (similarity: 0.60, source: hoof)
pedal (similarity: 0.60, source: hoof)
digit (similarity: 0.60, source: hoof)
crest (similarity: 0.60, source: hoof)
forelock (similarity: 0.60, source: hoof)
hair (similarity: 0.60, source: hoof)
tress (similarity: 0.60, source: hoof)
lock (similarity: 0.60, source: hoof)
manelet (similarity: 0.60, source: hoof)
maneless (similarity: 0.60, source: hoof)
manelike (similarity: 0.60, source: hoof)
appendage (similarity: 0.60, source: hoof)
caudal (similarity: 0.60, source: hoof)
dock (similarity: 0.60, source: hoof)
flag (similarity: 0.60, source: hoof)
queue (similarity: 0.60, source: hoof)
rump (similarity: 0.60, source: hoof)
tailpiece (similarity: 0.60, source: hoof)
train (similarity: 0.60, source: hoof)
equid (similarity: 0.60, source: hoof)
purebred (similarity: 0.60, source: hoof)
pedigree (similarity: 0.60, source: hoof)
elite (similarity: 0.60, source: hoof)
highbred (similarity: 0.60, source: hoof)
aristocratic (similarity: 0.60, source: hoof)
blueblooded (similarity: 0.60, source: hoof)
highclass (similarity: 0.60, source: hoof)
topnotch (similarity: 0.60, source: hoof)
field (similarity: 0.60, source: paddock)
enclosure (similarity: 0.60, source: paddock)
pasture (similarity: 0.60, source: paddock)
corral (similarity: 0.60, source: paddock)
pen (similarity: 0.60, source: paddock)
stable (similarity: 0.60, source: paddock)
yard (similarity: 0.60, source: paddock)
meadow (similarity: 0.60, source: paddock)
jock (similarity: 0.60, source: paddock)
racer (similarity: 0.60, source: paddock)
pilot (similarity: 0.60, source: paddock)
competitor (similarity: 0.60, source: paddock)
farm (similarity: 0.60, source: paddock)
plantation (similarity: 0.60, source: paddock)
estate (similarity: 0.60, source: paddock)
homestead (similarity: 0.60, source: paddock)
acreage (similarity: 0.60, source: paddock)
property (similarity: 0.60, source: paddock)
range (similarity: 0.60, source: paddock)
station (similarity: 0.60, source: paddock)
shoe (similarity: 0.60, source: paddock)
iron (similarity: 0.60, source: paddock)
footwear (similarity: 0.60, source: paddock)
metal (similarity: 0.60, source: paddock)
farrier (similarity: 0.60, source: paddock)
blacksmith (similarity: 0.60, source: paddock)
mouthpiece (similarity: 0.60, source: paddock)
snaffle (similarity: 0.60, source: paddock)
bite (similarity: 0.60, source: paddock)
control (similarity: 0.60, source: paddock)
curb (similarity: 0.60, source: paddock)
straw (similarity: 0.60, source: hay)
forage (similarity: 0.60, source: hay)
fodder (similarity: 0.60, source: hay)
grass (similarity: 0.60, source: hay)
stalk (similarity: 0.60, source: hay)
bale (similarity: 0.60, source: hay)
crop (similarity: 0.60, source: hay)
haystack (similarity: 0.60, source: hay)
nourish (similarity: 0.60, source: hay)
sustain (similarity: 0.60, source: hay)
supply (similarity: 0.60, source: hay)
fuel (similarity: 0.60, source: hay)
provide (similarity: 0.60, source: hay)
graze (similarity: 0.60, source: hay)
grain (similarity: 0.60, source: hay)
meal (similarity: 0.60, source: hay)
running (similarity: 0.60, source: hay)
speeding (similarity: 0.60, source: hay)
racing (similarity: 0.60, source: hay)
charging (similarity: 0.60, source: hay)
sprinting (similarity: 0.60, source: hay)
bolting (similarity: 0.60, source: hay)
dashing (similarity: 0.60, source: hay)
hurrying (similarity: 0.60, source: hay)
jogging (similarity: 0.60, source: hay)
cantering (similarity: 0.60, source: hay)
prancing (similarity: 0.60, source: hay)
loping (similarity: 0.60, source: hay)
stepping (similarity: 0.60, source: hay)
pacing (similarity: 0.60, source: hay)
moving (similarity: 0.60, source: hay)
mounting (similarity: 0.60, source: hay)
saddling (similarity: 0.60, source: hay)
horsing (similarity: 0.60, source: hay)
cycling (similarity: 0.60, source: hay)
driving (similarity: 0.60, source: hay)
traveling (similarity: 0.60, source: hay)
commuting (similarity: 0.60, source: hay)
journeying (similarity: 0.60, source: hay)
kicking (similarity: 0.60, source: bucking)
rearing (similarity: 0.60, source: bucking)
thrashing (similarity: 0.60, source: bucking)
struggling (similarity: 0.60, source: bucking)
resisting (similarity: 0.60, source: bucking)
fighting (similarity: 0.60, source: bucking)
flailing (similarity: 0.60, source: bucking)
buckling (similarity: 0.60, source: bucking)
whinnying (similarity: 0.60, source: bucking)
snorting (similarity: 0.60, source: bucking)
nicker (similarity: 0.60, source: bucking)
braying (similarity: 0.60, source: bucking)
bleating (similarity: 0.60, source: bucking)
cooing (similarity: 0.60, source: bucking)
hooting (similarity: 0.60, source: bucking)
chirping (similarity: 0.60, source: bucking)
feeding (similarity: 0.60, source: bucking)
foraging (similarity: 0.60, source: bucking)
nibbling (similarity: 0.60, source: bucking)
munching (similarity: 0.60, source: bucking)
chewing (similarity: 0.60, source: bucking)
browsing (similarity: 0.60, source: bucking)
cropping (similarity: 0.60, source: bucking)
gnawing (similarity: 0.60, source: bucking)
horsemanship (similarity: 0.60, source: bucking)
equitation (similarity: 0.60, source: bucking)
dressage (similarity: 0.60, source: bucking)
showjumping (similarity: 0.60, source: bucking)
eventing (similarity: 0.60, source: bucking)
polo (similarity: 0.60, source: bucking)
vaulting (similarity: 0.60, source: bucking)
coltish (similarity: 0.60, source: colt)
