# Recursive Expansion for 'music'
# Total words: 587
# API calls: 18
# Levels: 2

# Level 1 (Direct): 88 words
melody (similarity: 0.90, source: music)
song (similarity: 0.90, source: music)
tune (similarity: 0.90, source: music)
rhythm (similarity: 0.90, source: music)
harmony (similarity: 0.90, source: music)
composition (similarity: 0.90, source: music)
sound (similarity: 0.90, source: music)
beat (similarity: 0.90, source: music)
genre (similarity: 0.90, source: music)
instrument (similarity: 0.90, source: music)
performance (similarity: 0.90, source: music)
concert (similarity: 0.90, source: music)
lyrics (similarity: 0.90, source: music)
notes (similarity: 0.90, source: music)
score (similarity: 0.90, source: music)
record (similarity: 0.90, source: music)
album (similarity: 0.90, source: music)
artist (similarity: 0.90, source: music)
musician (similarity: 0.90, source: music)
band (similarity: 0.90, source: music)
orchestra (similarity: 0.90, source: music)
choir (similarity: 0.90, source: music)
symphony (similarity: 0.90, source: music)
opera (similarity: 0.90, source: music)
jazz (similarity: 0.90, source: music)
rock (similarity: 0.90, source: music)
pop (similarity: 0.90, source: music)
classical (similarity: 0.90, source: music)
folk (similarity: 0.90, source: music)
rap (similarity: 0.90, source: music)
electronic (similarity: 0.90, source: music)
country (similarity: 0.90, source: music)
blues (similarity: 0.90, source: music)
reggae (similarity: 0.90, source: music)
dance (similarity: 0.90, source: music)
tempo (similarity: 0.90, source: music)
pitch (similarity: 0.90, source: music)
key (similarity: 0.90, source: music)
chord (similarity: 0.90, source: music)
progression (similarity: 0.90, source: music)
arrangement (similarity: 0.90, source: music)
improvisation (similarity: 0.90, source: music)
production (similarity: 0.90, source: music)
recording (similarity: 0.90, source: music)
studio (similarity: 0.90, source: music)
stage (similarity: 0.90, source: music)
audience (similarity: 0.90, source: music)
crowd (similarity: 0.90, source: music)
applause (similarity: 0.90, source: music)
fame (similarity: 0.90, source: music)
success (similarity: 0.90, source: music)
creativity (similarity: 0.90, source: music)
expression (similarity: 0.90, source: music)
emotion (similarity: 0.90, source: music)
passion (similarity: 0.90, source: music)
talent (similarity: 0.90, source: music)
skill (similarity: 0.90, source: music)
practice (similarity: 0.90, source: music)
dedication (similarity: 0.90, source: music)
collaboration (similarity: 0.90, source: music)
live (similarity: 0.90, source: music)
tour (similarity: 0.90, source: music)
festival (similarity: 0.90, source: music)
gig (similarity: 0.90, source: music)
venue (similarity: 0.90, source: music)
soundcheck (similarity: 0.90, source: music)
setlist (similarity: 0.90, source: music)
encore (similarity: 0.90, source: music)
equipment (similarity: 0.90, source: music)
microphone (similarity: 0.90, source: music)
amplifier (similarity: 0.90, source: music)
speakers (similarity: 0.90, source: music)
headphones (similarity: 0.90, source: music)
playlist (similarity: 0.90, source: music)
radio (similarity: 0.90, source: music)
streaming (similarity: 0.90, source: music)
download (similarity: 0.90, source: music)
digital (similarity: 0.90, source: music)
analog (similarity: 0.90, source: music)
vinyl (similarity: 0.90, source: music)
cd (similarity: 0.90, source: music)
cassette (similarity: 0.90, source: music)
platform (similarity: 0.90, source: music)
service (similarity: 0.90, source: music)
subscription (similarity: 0.90, source: music)
recommendation (similarity: 0.90, source: music)
discovery (similarity: 0.90, source: music)
algorithm (similarity: 0.90, source: music)

# Level 2 (1-degree): 499 words
music (similarity: 0.60, source: melody)
chorus (similarity: 0.60, source: melody)
air (similarity: 0.60, source: melody)
strain (similarity: 0.60, source: melody)
refrain (similarity: 0.60, source: melody)
ballad (similarity: 0.60, source: melody)
anthem (similarity: 0.60, source: melody)
lyric (similarity: 0.60, source: melody)
hymn (similarity: 0.60, source: melody)
pulse (similarity: 0.60, source: melody)
cadence (similarity: 0.60, source: melody)
meter (similarity: 0.60, source: melody)
accord (similarity: 0.60, source: melody)
concord (similarity: 0.60, source: melody)
symmetry (similarity: 0.60, source: melody)
agreement (similarity: 0.60, source: melody)
piece (similarity: 0.60, source: composition)
creation (similarity: 0.60, source: composition)
work (similarity: 0.60, source: composition)
opus (similarity: 0.60, source: composition)
noise (similarity: 0.60, source: composition)
tone (similarity: 0.60, source: composition)
audio (similarity: 0.60, source: composition)
acoustic (similarity: 0.60, source: composition)
vibration (similarity: 0.60, source: composition)
resonance (similarity: 0.60, source: composition)
clang (similarity: 0.60, source: composition)
groove (similarity: 0.60, source: composition)
thump (similarity: 0.60, source: composition)
style (similarity: 0.60, source: composition)
category (similarity: 0.60, source: composition)
type (similarity: 0.60, source: composition)
classification (similarity: 0.60, source: composition)
form (similarity: 0.60, source: composition)
kind (similarity: 0.60, source: composition)
variety (similarity: 0.60, source: composition)
class (similarity: 0.60, source: composition)
tool (similarity: 0.60, source: composition)
device (similarity: 0.60, source: composition)
implement (similarity: 0.60, source: composition)
apparatus (similarity: 0.60, source: composition)
machine (similarity: 0.60, source: composition)
appliance (similarity: 0.60, source: composition)
show (similarity: 0.60, source: performance)
act (similarity: 0.60, source: performance)
presentation (similarity: 0.60, source: performance)
display (similarity: 0.60, source: performance)
execution (similarity: 0.60, source: performance)
recital (similarity: 0.60, source: performance)
event (similarity: 0.60, source: performance)
word (similarity: 0.60, source: performance)
poetry (similarity: 0.60, source: performance)
vers (similarity: 0.60, source: performance)
rhyme (similarity: 0.60, source: performance)
text (similarity: 0.60, source: performance)
notation (similarity: 0.60, source: performance)
jotting (similarity: 0.60, source: performance)
memoranda (similarity: 0.60, source: performance)
record (similarity: 0.60, source: performance)
minute (similarity: 0.60, source: performance)
reminder (similarity: 0.60, source: performance)
annotation (similarity: 0.60, source: performance)
comment (similarity: 0.60, source: performance)
sheetmusic (similarity: 0.60, source: performance)
musicalnotation (similarity: 0.60, source: performance)
document (similarity: 0.60, source: record)
file (similarity: 0.60, source: record)
log (similarity: 0.60, source: record)
register (similarity: 0.60, source: record)
capture (similarity: 0.60, source: record)
chronicle (similarity: 0.60, source: record)
report (similarity: 0.60, source: record)
history (similarity: 0.60, source: record)
collection (similarity: 0.60, source: record)
compilation (similarity: 0.60, source: record)
release (similarity: 0.60, source: record)
disc (similarity: 0.60, source: record)
lp (similarity: 0.60, source: record)
creator (similarity: 0.60, source: record)
painter (similarity: 0.60, source: record)
sculptor (similarity: 0.60, source: record)
performer (similarity: 0.60, source: record)
artisan (similarity: 0.60, source: record)
craftsman (similarity: 0.60, source: record)
designer (similarity: 0.60, source: record)
maker (similarity: 0.60, source: record)
instrumentalist (similarity: 0.60, source: record)
composer (similarity: 0.60, source: record)
player (similarity: 0.60, source: record)
singer (similarity: 0.60, source: record)
vocalist (similarity: 0.60, source: record)
virtuoso (similarity: 0.60, source: record)
group (similarity: 0.60, source: record)
ensemble (similarity: 0.60, source: record)
combo (similarity: 0.60, source: record)
crew (similarity: 0.60, source: record)
team (similarity: 0.60, source: record)
troupe (similarity: 0.60, source: record)
collective (similarity: 0.60, source: record)
philharmonic (similarity: 0.60, source: orchestra)
musician (similarity: 0.60, source: orchestra)
acapella (similarity: 0.60, source: orchestra)
voice (similarity: 0.60, source: orchestra)
glee (similarity: 0.60, source: orchestra)
conductor (similarity: 0.60, source: orchestra)
theater (similarity: 0.60, source: orchestra)
aria (similarity: 0.60, source: orchestra)
drama (similarity: 0.60, source: orchestra)
ballet (similarity: 0.60, source: orchestra)
swing (similarity: 0.60, source: orchestra)
saxophone (similarity: 0.60, source: orchestra)
trumpet (similarity: 0.60, source: orchestra)
stone (similarity: 0.60, source: orchestra)
boulder (similarity: 0.60, source: orchestra)
pebble (similarity: 0.60, source: rock)
mineral (similarity: 0.60, source: rock)
hard (similarity: 0.60, source: rock)
solid (similarity: 0.60, source: rock)
crumble (similarity: 0.60, source: rock)
formation (similarity: 0.60, source: rock)
soda (similarity: 0.60, source: rock)
fizz (similarity: 0.60, source: rock)
bubble (similarity: 0.60, source: rock)
softdrink (similarity: 0.60, source: rock)
carbonated (similarity: 0.60, source: rock)
beverage (similarity: 0.60, source: rock)
refreshing (similarity: 0.60, source: rock)
sodapop (similarity: 0.60, source: rock)
traditional (similarity: 0.60, source: rock)
timeless (similarity: 0.60, source: rock)
elegant (similarity: 0.60, source: rock)
sophisticated (similarity: 0.60, source: rock)
baroque (similarity: 0.60, source: rock)
orchestral (similarity: 0.60, source: rock)
classic (similarity: 0.60, source: rock)
ethnic (similarity: 0.60, source: rock)
cultural (similarity: 0.60, source: rock)
indigenous (similarity: 0.60, source: rock)
rural (similarity: 0.60, source: rock)
storytelling (similarity: 0.60, source: rock)
hiphop (similarity: 0.60, source: rock)
flow (similarity: 0.60, source: rock)
urban (similarity: 0.60, source: rock)
spokenword (similarity: 0.60, source: rock)
technological (similarity: 0.60, source: rock)
automated (similarity: 0.60, source: rock)
computerized (similarity: 0.60, source: rock)
electric (similarity: 0.60, source: electronic)
virtual (similarity: 0.60, source: electronic)
cyber (similarity: 0.60, source: electronic)
hitech (similarity: 0.60, source: electronic)
agrarian (similarity: 0.60, source: electronic)
pastoral (similarity: 0.60, source: electronic)
countryside (similarity: 0.60, source: electronic)
rustic (similarity: 0.60, source: electronic)
provincial (similarity: 0.60, source: electronic)
backwood (similarity: 0.60, source: electronic)
hinterland (similarity: 0.60, source: electronic)
melancholy (similarity: 0.60, source: electronic)
sorrowful (similarity: 0.60, source: electronic)
depressing (similarity: 0.60, source: electronic)
mournful (similarity: 0.60, source: electronic)
gloomy (similarity: 0.60, source: electronic)
dismal (similarity: 0.60, source: electronic)
