# Recursive Expansion for 'wine'
# Total words: 589
# API calls: 18
# Levels: 2

# Level 1 (Direct): 88 words
grape (similarity: 0.90, source: wine)
vineyard (similarity: 0.90, source: wine)
winery (similarity: 0.90, source: wine)
red (similarity: 0.90, source: wine)
white (similarity: 0.90, source: wine)
rose (similarity: 0.90, source: wine)
champagne (similarity: 0.90, source: wine)
sparkling (similarity: 0.90, source: wine)
merlot (similarity: 0.90, source: wine)
chardonnay (similarity: 0.90, source: wine)
syrah (similarity: 0.90, source: wine)
zinfandel (similarity: 0.90, source: wine)
riesling (similarity: 0.90, source: wine)
malbec (similarity: 0.90, source: wine)
shiraz (similarity: 0.90, source: wine)
tempranillo (similarity: 0.90, source: wine)
prosecco (similarity: 0.90, source: wine)
port (similarity: 0.90, source: wine)
sherry (similarity: 0.90, source: wine)
moscato (similarity: 0.90, source: wine)
sangiovese (similarity: 0.90, source: wine)
gewurztraminer (similarity: 0.90, source: wine)
viognier (similarity: 0.90, source: wine)
nebbiolo (similarity: 0.90, source: wine)
grenache (similarity: 0.90, source: wine)
carignan (similarity: 0.90, source: wine)
mourvedre (similarity: 0.90, source: wine)
vermentino (similarity: 0.90, source: wine)
grapes (similarity: 0.90, source: wine)
vine (similarity: 0.90, source: wine)
cellar (similarity: 0.90, source: wine)
barrel (similarity: 0.90, source: wine)
cork (similarity: 0.90, source: wine)
glass (similarity: 0.90, source: wine)
bottle (similarity: 0.90, source: wine)
decanter (similarity: 0.90, source: wine)
sommelier (similarity: 0.90, source: wine)
tasting (similarity: 0.90, source: wine)
pairing (similarity: 0.90, source: wine)
aroma (similarity: 0.90, source: wine)
bouquet (similarity: 0.90, source: wine)
flavor (similarity: 0.90, source: wine)
body (similarity: 0.90, source: wine)
finish (similarity: 0.90, source: wine)
tannins (similarity: 0.90, source: wine)
acidity (similarity: 0.90, source: wine)
alcohol (similarity: 0.90, source: wine)
oak (similarity: 0.90, source: wine)
fermentation (similarity: 0.90, source: wine)
aging (similarity: 0.90, source: wine)
harvest (similarity: 0.90, source: wine)
terroir (similarity: 0.90, source: wine)
vintage (similarity: 0.90, source: wine)
reserve (similarity: 0.90, source: wine)
estate (similarity: 0.90, source: wine)
varietal (similarity: 0.90, source: wine)
blend (similarity: 0.90, source: wine)
dry (similarity: 0.90, source: wine)
sweet (similarity: 0.90, source: wine)
crisp (similarity: 0.90, source: wine)
smooth (similarity: 0.90, source: wine)
bold (similarity: 0.90, source: wine)
light (similarity: 0.90, source: wine)
fruity (similarity: 0.90, source: wine)
earthy (similarity: 0.90, source: wine)
spicy (similarity: 0.90, source: wine)
herbal (similarity: 0.90, source: wine)
woody (similarity: 0.90, source: wine)
floral (similarity: 0.90, source: wine)
complex (similarity: 0.90, source: wine)
balanced (similarity: 0.90, source: wine)
robust (similarity: 0.90, source: wine)
elegant (similarity: 0.90, source: wine)
aged (similarity: 0.90, source: wine)
fresh (similarity: 0.90, source: wine)
rich (similarity: 0.90, source: wine)
velvety (similarity: 0.90, source: wine)
lively (similarity: 0.90, source: wine)
intense (similarity: 0.90, source: wine)
delicate (similarity: 0.90, source: wine)
bubbly (similarity: 0.90, source: wine)
dryness (similarity: 0.90, source: wine)
sweetness (similarity: 0.90, source: wine)
astringency (similarity: 0.90, source: wine)
minerality (similarity: 0.90, source: wine)
fruitiness (similarity: 0.90, source: wine)
oakiness (similarity: 0.90, source: wine)
spiciness (similarity: 0.90, source: wine)

# Level 2 (1-degree): 501 words
fruit (similarity: 0.60, source: grape)
berry (similarity: 0.60, source: grape)
cluster (similarity: 0.60, source: grape)
seedless (similarity: 0.60, source: grape)
juicy (similarity: 0.60, source: grape)
purple (similarity: 0.60, source: grape)
orchard (similarity: 0.60, source: grape)
plantation (similarity: 0.60, source: grape)
farm (similarity: 0.60, source: grape)
field (similarity: 0.60, source: grape)
garden (similarity: 0.60, source: grape)
distillery (similarity: 0.60, source: grape)
brewery (similarity: 0.60, source: grape)
chateau (similarity: 0.60, source: grape)
tastingroom (similarity: 0.60, source: grape)
productionfacility (similarity: 0.60, source: grape)
crimson (similarity: 0.60, source: grape)
scarlet (similarity: 0.60, source: grape)
ruby (similarity: 0.60, source: grape)
burgundy (similarity: 0.60, source: grape)
maroon (similarity: 0.60, source: grape)
wine (similarity: 0.60, source: grape)
blood (similarity: 0.60, source: grape)
cherry (similarity: 0.60, source: grape)
ivory (similarity: 0.60, source: grape)
cream (similarity: 0.60, source: grape)
pearl (similarity: 0.60, source: grape)
snow (similarity: 0.60, source: grape)
vanilla (similarity: 0.60, source: grape)
pale (similarity: 0.60, source: grape)
alabaster (similarity: 0.60, source: grape)
chalky (similarity: 0.60, source: grape)
pink (similarity: 0.60, source: rose)
flower (similarity: 0.60, source: rose)
blush (similarity: 0.60, source: rose)
bloom (similarity: 0.60, source: rose)
rosy (similarity: 0.60, source: rose)
petal (similarity: 0.60, source: rose)
fizzy (similarity: 0.60, source: rose)
celebration (similarity: 0.60, source: rose)
toast (similarity: 0.60, source: rose)
festive (similarity: 0.60, source: rose)
flute (similarity: 0.60, source: rose)
party (similarity: 0.60, source: rose)
effervescent (similarity: 0.60, source: rose)
carbonated (similarity: 0.60, source: rose)
shimmering (similarity: 0.60, source: rose)
glittering (similarity: 0.60, source: rose)
twinkling (similarity: 0.60, source: rose)
glistening (similarity: 0.60, source: rose)
bordeaux (similarity: 0.60, source: rose)
plum (similarity: 0.60, source: rose)
oaky (similarity: 0.60, source: rose)
butter (similarity: 0.60, source: rose)
citrus (similarity: 0.60, source: rose)
tropical (similarity: 0.60, source: rose)
petitesirah (similarity: 0.60, source: syrah)
hermitage (similarity: 0.60, source: syrah)
grenachenoir (similarity: 0.60, source: syrah)
garnacha (similarity: 0.60, source: syrah)
primitivo (similarity: 0.60, source: syrah)
crljenakkastelanski (similarity: 0.60, source: syrah)
plavacmali (similarity: 0.60, source: syrah)
alicantebouschet (similarity: 0.60, source: syrah)
barbera (similarity: 0.60, source: syrah)
sauvignonblanc (similarity: 0.60, source: syrah)
pinotgris (similarity: 0.60, source: syrah)
cheninblanc (similarity: 0.60, source: syrah)
semillon (similarity: 0.60, source: syrah)
cabernetsauvignon (similarity: 0.60, source: syrah)
cabernetfranc (similarity: 0.60, source: syrah)
carmenere (similarity: 0.60, source: syrah)
rioja (similarity: 0.60, source: tempranillo)
spanish (similarity: 0.60, source: tempranillo)
tinto (similarity: 0.60, source: tempranillo)
spain (similarity: 0.60, source: tempranillo)
italian (similarity: 0.60, source: tempranillo)
veneto (similarity: 0.60, source: tempranillo)
glera (similarity: 0.60, source: tempranillo)
italy (similarity: 0.60, source: tempranillo)
doc (similarity: 0.60, source: tempranillo)
portuguese (similarity: 0.60, source: tempranillo)
fortified (similarity: 0.60, source: tempranillo)
douro (similarity: 0.60, source: tempranillo)
tawny (similarity: 0.60, source: tempranillo)
andalusia (similarity: 0.60, source: tempranillo)
fino (similarity: 0.60, source: tempranillo)
oloroso (similarity: 0.60, source: tempranillo)
manzanilla (similarity: 0.60, source: tempranillo)
jerez (similarity: 0.60, source: tempranillo)
muscat (similarity: 0.60, source: tempranillo)
asti (similarity: 0.60, source: tempranillo)
frizzante (similarity: 0.60, source: tempranillo)
chianti (similarity: 0.60, source: sangiovese)
brunello (similarity: 0.60, source: sangiovese)
montepulciano (similarity: 0.60, source: sangiovese)
morellino (similarity: 0.60, source: sangiovese)
prugnolo (similarity: 0.60, source: sangiovese)
sangiovesegrosso (similarity: 0.60, source: sangiovese)
sangiovesepiccolo (similarity: 0.60, source: sangiovese)
sangiovesediromagna (similarity: 0.60, source: sangiovese)
traminer (similarity: 0.60, source: sangiovese)
tramin (similarity: 0.60, source: sangiovese)
gewurz (similarity: 0.60, source: sangiovese)
gewurztraminerrenano (similarity: 0.60, source: sangiovese)
gewurztraminerrosso (similarity: 0.60, source: sangiovese)
gewurztraminergiallo (similarity: 0.60, source: sangiovese)
condrieu (similarity: 0.60, source: sangiovese)
viognierblanc (similarity: 0.60, source: sangiovese)
viogniernoir (similarity: 0.60, source: sangiovese)
viognierrose (similarity: 0.60, source: sangiovese)
viognieraromatico (similarity: 0.60, source: sangiovese)
viognierdolce (similarity: 0.60, source: sangiovese)
viogniersecco (similarity: 0.60, source: sangiovese)
viognierleggero (similarity: 0.60, source: sangiovese)
barolo (similarity: 0.60, source: sangiovese)
barbaresco (similarity: 0.60, source: sangiovese)
gattinara (similarity: 0.60, source: sangiovese)
spanna (similarity: 0.60, source: sangiovese)
chiavennasca (similarity: 0.60, source: sangiovese)
nebbiolorosso (similarity: 0.60, source: sangiovese)
nebbiolobianco (similarity: 0.60, source: sangiovese)
nebbiolodialba (similarity: 0.60, source: sangiovese)
cannonau (similarity: 0.60, source: sangiovese)
alicante (similarity: 0.60, source: sangiovese)
grenacheblanc (similarity: 0.60, source: sangiovese)
grenachegris (similarity: 0.60, source: sangiovese)
grenacherose (similarity: 0.60, source: sangiovese)
grenachetinto (similarity: 0.60, source: sangiovese)
cinsault (similarity: 0.60, source: carignan)
cabernet (similarity: 0.60, source: carignan)
monastrell (similarity: 0.60, source: carignan)
mataro (similarity: 0.60, source: carignan)
rolle (similarity: 0.60, source: carignan)
pigato (similarity: 0.60, source: carignan)
favorita (similarity: 0.60, source: carignan)
malvasia (similarity: 0.60, source: carignan)
trebbiano (similarity: 0.60, source: carignan)
sauvignon (similarity: 0.60, source: carignan)
winemaking (similarity: 0.60, source: carignan)
juice (similarity: 0.60, source: carignan)
raisin (similarity: 0.60, source: carignan)
grapevine (similarity: 0.60, source: carignan)
plant (similarity: 0.60, source: carignan)
trellis (similarity: 0.60, source: carignan)
basement (similarity: 0.60, source: carignan)
vault (similarity: 0.60, source: carignan)
storage (similarity: 0.60, source: cellar)
underground (similarity: 0.60, source: cellar)
dungeon (similarity: 0.60, source: cellar)
subterranean (similarity: 0.60, source: cellar)
root (similarity: 0.60, source: cellar)
cask (similarity: 0.60, source: cellar)
drum (similarity: 0.60, source: cellar)
keg (similarity: 0.60, source: cellar)
container (similarity: 0.60, source: cellar)
vessel (similarity: 0.60, source: cellar)
barrique (similarity: 0.60, source: cellar)
hogshead (similarity: 0.60, source: cellar)
tun (similarity: 0.60, source: cellar)
stopper (similarity: 0.60, source: cellar)
plug (similarity: 0.60, source: cellar)
seal (similarity: 0.60, source: cellar)
lid (similarity: 0.60, source: cellar)
bung (similarity: 0.60, source: cellar)
cap (similarity: 0.60, source: cellar)
closure (similarity: 0.60, source: cellar)
corkage (similarity: 0.60, source: cellar)
tumbler (similarity: 0.60, source: cellar)
goblet (similarity: 0.60, source: cellar)
crystal (similarity: 0.60, source: cellar)
chalice (similarity: 0.60, source: cellar)
cup (similarity: 0.60, source: cellar)
mug (similarity: 0.60, source: cellar)
flask (similarity: 0.60, source: cellar)
vial (similarity: 0.60, source: cellar)
jar (similarity: 0.60, source: cellar)
jug (similarity: 0.60, source: cellar)
ampoule (similarity: 0.60, source: cellar)
carafe (similarity: 0.60, source: cellar)
pitcher (similarity: 0.60, source: cellar)
server (similarity: 0.60, source: decanter)
