rank,word,similarity
1,queen,1.00000000
2,queened,0.60938285
3,king,0.55522684
4,queenly,0.52084631
5,queening,0.49671097
6,queenliest,0.48711165
7,quean,0.48658553
8,queenliness,0.48375018
9,queenship,0.47671458
10,queendom,0.47260107
11,madonna,0.46257964
12,queenlier,0.42817357
13,empress,0.41957663
14,mother,0.41332468
15,woman,0.41322168
16,prime,0.40756452
17,lady,0.40722858
18,princess,0.40499107
19,diva,0.40250546
20,prince,0.39913085
21,beebee,0.39912525
22,regina,0.39805879
23,majesty,0.39792052
24,maid,0.39662477
25,winner,0.39532309
26,lord,0.39406157
27,bee,0.39283790
28,master,0.39067081
29,crowned,0.38596963
30,boss,0.38439937
31,rose,0.38068686
32,monarch,0.37950560
33,qua,0.37819881
34,witch,0.37816117
35,wife,0.37664171
36,heroine,0.37628060
37,who,0.37583339
38,maiden,0.37427902
39,her,0.37136834
40,madame,0.37135490
41,qaid,0.37095017
42,maharani,0.37047068
43,leader,0.36919981
44,baroness,0.36864697
45,brit,0.36838297
46,legend,0.36638870
47,royal,0.36629931
48,fan,0.36595336
49,quint,0.36519424
50,she,0.36475879
51,goddess,0.36416046
52,royalty,0.36391471
53,quota,0.36390944
54,quoted,0.36382058
55,cream,0.36359760
56,kaiserin,0.36283905
57,hero,0.36249077
58,qualified,0.36214173
59,songstress,0.36122613
60,quote,0.36107140
61,queenside,0.36091384
62,prom,0.36091181
63,quest,0.36053234
64,quin,0.36033369
65,beth,0.36017322
66,quinone,0.35996564
67,sing,0.35943081
68,diamond,0.35805177
69,whose,0.35782459
70,madam,0.35776953
71,golden,0.35762351
72,white,0.35688428
73,ma,0.35656607
74,quare,0.35549375
75,mighty,0.35480946
76,ween,0.35469027
77,elite,0.35417497
78,chief,0.35400899
79,mom,0.35325470
80,rani,0.35304001
81,quant,0.35259449
82,victress,0.35183471
83,dame,0.35138891
84,mony,0.35119208
85,coronated,0.35091018
86,singer,0.35039665
87,icon,0.35027348
88,primer,0.35018540
89,angel,0.35000537
90,votress,0.34964481
91,daughter,0.34936491
92,quad,0.34879663
93,quality,0.34830915
94,quilter,0.34824969
95,pink,0.34800865
96,girl,0.34777423
97,anna,0.34761591
98,duchess,0.34726204
99,wizard,0.34707313
100,heniquen,0.34679857
101,mama,0.34625005
102,superstar,0.34605356
103,monster,0.34598907
104,quiet,0.34517266
105,crownless,0.34489178
106,which,0.34482658
107,queer,0.34459634
108,crown,0.34451241
109,killer,0.34447374
110,flower,0.34424719
111,voice,0.34338725
112,queerer,0.34314119
113,beldame,0.34274712
114,classic,0.34258357
115,auntie,0.34240867
116,ultimate,0.34233640
117,madwoman,0.34218499
118,ewe,0.34206546
119,rapper,0.34159603
120,jane,0.34134316
121,queue,0.34134135
122,quite,0.34089088
123,reigned,0.34067830
124,quiz,0.34060883
125,mania,0.34026687
126,quake,0.34012454
127,song,0.34001201
128,chosen,0.33999864
129,one,0.33987646
130,mad,0.33971447
131,quintette,0.33933385
132,moon,0.33932911
133,regent,0.33924817
134,idol,0.33906081
135,rule,0.33890914
136,gold,0.33879116
137,raja,0.33826510
138,doyenne,0.33811598
139,tiara,0.33811548
140,kingliest,0.33766295
141,granny,0.33743709
142,recrowned,0.33712141
143,quarter,0.33699067
144,ream,0.33660978
145,uncrowned,0.33639684
146,billie,0.33603136
147,judge,0.33580536
148,superwoman,0.33577748
149,countess,0.33566270
150,question,0.33561089
151,throne,0.33541020
152,quit,0.33528605
153,we,0.33506332
154,star,0.33495164
155,queerest,0.33493148
