rank,word,similarity,note
1,monarch,0.37950560,"OpenAI #1, Our rank #32"
2,empress,0.41957663,"OpenAI #2, Our rank #13"
3,ruler,0.32283619,"OpenAI #3, Our rank #234"
4,sovereign,0.29799935,"OpenAI #4, Our rank #653"
5,regent,0.33924817,"OpenAI #5, Our rank #133"
6,princess,0.40499107,"OpenAI #6, Our rank #18"
7,lady,0.40722858,"OpenAI #7, Our rank #17"
8,royalty,0.36391471,"OpenAI #8, Our rank #52"
9,crown,0.34451241,"OpenAI #9, Our rank #108"
10,throne,0.33541020,"OpenAI #10, Our rank #151"
11,majesty,0.39792052,"OpenAI #11, Our rank #23"
12,highness,0.32787875,"OpenAI #12, Our rank #195"
13,queenly,0.52084631,"OpenAI #13, Our rank #4"
14,crowned,0.38596963,"OpenAI #14, Our rank #29"
15,reign,0.29923089,"OpenAI #15, Our rank #618"
16,kingdom,0.28452262,"OpenAI #16, Our rank #1,112"
17,palace,0.28262100,"OpenAI #17, Our rank #1,201"
18,royal,0.36629931,"OpenAI #18, Our rank #47"
19,heir,0.25622170,"OpenAI #19, Our rank #3,308"
20,consort,0.28877399,"OpenAI #20, Our rank #931"
21,noble,0.25135549,"OpenAI #21, Our rank #3,981"
22,aristocrat,0.26132892,"OpenAI #22, Our rank #2,666"
23,court,0.25701832,"OpenAI #23, Our rank #3,192"
24,dynasty,0.19807964,"OpenAI #24, Our rank #24,857"
25,regal,0.29621265,"OpenAI #25, Our rank #697"
26,tiara,0.33811548,"OpenAI #26, Our rank #139"
27,scepter,0.22663309,"OpenAI #27, Our rank #9,910"
28,coronation,0.29044854,"OpenAI #28, Our rank #875"
29,monarchy,0.27614125,"OpenAI #29, Our rank #1,542"
30,queen,1.00000000,Our original rank #1
31,queened,0.60938285,Our original rank #2
32,king,0.55522684,Our original rank #3
33,queening,0.49671097,Our original rank #5
34,queenliest,0.48711165,Our original rank #6
35,quean,0.48658553,Our original rank #7
36,queenliness,0.48375018,Our original rank #8
37,queenship,0.47671458,Our original rank #9
38,queendom,0.47260107,Our original rank #10
39,madonna,0.46257964,Our original rank #11
40,queenlier,0.42817357,Our original rank #12
41,mother,0.41332468,Our original rank #14
42,woman,0.41322168,Our original rank #15
43,prime,0.40756452,Our original rank #16
44,diva,0.40250546,Our original rank #19
45,prince,0.39913085,Our original rank #20
46,beebee,0.39912525,Our original rank #21
47,regina,0.39805879,Our original rank #22
48,maid,0.39662477,Our original rank #24
49,winner,0.39532309,Our original rank #25
50,lord,0.39406157,Our original rank #26
51,bee,0.39283790,Our original rank #27
52,master,0.39067081,Our original rank #28
53,boss,0.38439937,Our original rank #30
54,rose,0.38068686,Our original rank #31
55,qua,0.37819881,Our original rank #33
56,witch,0.37816117,Our original rank #34
57,wife,0.37664171,Our original rank #35
58,heroine,0.37628060,Our original rank #36
59,who,0.37583339,Our original rank #37
60,maiden,0.37427902,Our original rank #38
61,her,0.37136834,Our original rank #39
62,madame,0.37135490,Our original rank #40
63,qaid,0.37095017,Our original rank #41
64,maharani,0.37047068,Our original rank #42
65,leader,0.36919981,Our original rank #43
66,baroness,0.36864697,Our original rank #44
67,brit,0.36838297,Our original rank #45
68,legend,0.36638870,Our original rank #46
69,fan,0.36595336,Our original rank #48
70,quint,0.36519424,Our original rank #49
71,she,0.36475879,Our original rank #50
72,goddess,0.36416046,Our original rank #51
73,quota,0.36390944,Our original rank #53
74,quoted,0.36382058,Our original rank #54
75,cream,0.36359760,Our original rank #55
76,kaiserin,0.36283905,Our original rank #56
77,hero,0.36249077,Our original rank #57
78,qualified,0.36214173,Our original rank #58
79,songstress,0.36122613,Our original rank #59
80,quote,0.36107140,Our original rank #60
81,queenside,0.36091384,Our original rank #61
82,prom,0.36091181,Our original rank #62
83,quest,0.36053234,Our original rank #63
84,quin,0.36033369,Our original rank #64
85,beth,0.36017322,Our original rank #65
86,quinone,0.35996564,Our original rank #66
87,sing,0.35943081,Our original rank #67
88,diamond,0.35805177,Our original rank #68
89,whose,0.35782459,Our original rank #69
90,madam,0.35776953,Our original rank #70
91,golden,0.35762351,Our original rank #71
92,white,0.35688428,Our original rank #72
93,ma,0.35656607,Our original rank #73
94,quare,0.35549375,Our original rank #74
95,mighty,0.35480946,Our original rank #75
96,ween,0.35469027,Our original rank #76
97,elite,0.35417497,Our original rank #77
98,chief,0.35400899,Our original rank #78
99,mom,0.35325470,Our original rank #79
100,rani,0.35304001,Our original rank #80
101,quant,0.35259449,Our original rank #81
102,victress,0.35183471,Our original rank #82
103,dame,0.35138891,Our original rank #83
104,mony,0.35119208,Our original rank #84
105,coronated,0.35091018,Our original rank #85
106,singer,0.35039665,Our original rank #86
107,icon,0.35027348,Our original rank #87
108,primer,0.35018540,Our original rank #88
109,angel,0.35000537,Our original rank #89
110,votress,0.34964481,Our original rank #90
111,daughter,0.34936491,Our original rank #91
112,quad,0.34879663,Our original rank #92
113,quality,0.34830915,Our original rank #93
114,quilter,0.34824969,Our original rank #94
115,pink,0.34800865,Our original rank #95
116,girl,0.34777423,Our original rank #96
117,anna,0.34761591,Our original rank #97
118,duchess,0.34726204,Our original rank #98
119,wizard,0.34707313,Our original rank #99
120,heniquen,0.34679857,Our original rank #100
121,mama,0.34625005,Our original rank #101
122,superstar,0.34605356,Our original rank #102
123,monster,0.34598907,Our original rank #103
124,quiet,0.34517266,Our original rank #104
125,crownless,0.34489178,Our original rank #105
126,which,0.34482658,Our original rank #106
127,queer,0.34459634,Our original rank #107
128,killer,0.34447374,Our original rank #109
129,flower,0.34424719,Our original rank #110
130,voice,0.34338725,Our original rank #111
131,queerer,0.34314119,Our original rank #112
132,beldame,0.34274712,Our original rank #113
133,classic,0.34258357,Our original rank #114
134,auntie,0.34240867,Our original rank #115
135,ultimate,0.34233640,Our original rank #116
136,madwoman,0.34218499,Our original rank #117
137,ewe,0.34206546,Our original rank #118
138,rapper,0.34159603,Our original rank #119
139,jane,0.34134316,Our original rank #120
140,queue,0.34134135,Our original rank #121
141,quite,0.34089088,Our original rank #122
142,reigned,0.34067830,Our original rank #123
143,quiz,0.34060883,Our original rank #124
144,mania,0.34026687,Our original rank #125
145,quake,0.34012454,Our original rank #126
146,song,0.34001201,Our original rank #127
147,chosen,0.33999864,Our original rank #128
148,one,0.33987646,Our original rank #129
149,mad,0.33971447,Our original rank #130
150,quintette,0.33933385,Our original rank #131
151,moon,0.33932911,Our original rank #132
152,idol,0.33906081,Our original rank #134
153,rule,0.33890914,Our original rank #135
154,gold,0.33879116,Our original rank #136
155,raja,0.33826510,Our original rank #137
156,doyenne,0.33811598,Our original rank #138
157,kingliest,0.33766295,Our original rank #140
158,granny,0.33743709,Our original rank #141
159,recrowned,0.33712141,Our original rank #142
160,quarter,0.33699067,Our original rank #143
161,ream,0.33660978,Our original rank #144
162,uncrowned,0.33639684,Our original rank #145
163,billie,0.33603136,Our original rank #146
164,judge,0.33580536,Our original rank #147
165,superwoman,0.33577748,Our original rank #148
166,countess,0.33566270,Our original rank #149
167,question,0.33561089,Our original rank #150
168,quit,0.33528605,Our original rank #152
169,we,0.33506332,Our original rank #153
