rank,secret_word,word,clue,connection_strength
1,rock,rock,This is the *.,secret_word
2,rock,rockwork,I am part of this construction,strong
3,rock,roc,I am different from this bird,weak
4,rock,outrock,I am not involved in this,weak
5,rock,rocked,I am affected by this action,medium
6,rock,punk,I have nothing to do with this,weak
7,rock,rocker,I am not a type of person,weak
8,rock,antirock,I oppose this concept,strong
9,rock,rocky,I share the same texture as this,strong
10,rock,rockery,I am used in this landscaping,strong
11,rock,rocklike,I resemble this in some ways,medium
12,rock,rocket,I am not a type of vehicle,weak
13,rock,rocking,I am not moving like this,weak
14,rock,rockling,I am not a young fish,weak
15,rock,outrocked,I am not affected by this action,weak
16,rock,outrocking,I am not participating in this,weak
17,rock,bedrock,I am a part of this foundation,strong
18,rock,stone,I am similar to this material,medium
19,rock,rockiness,My texture can be described as this,strong
20,rock,prerock,I am not before this era,weak
21,rock,rockier,"Super close, sizzling hot",strong
22,rock,pop,I am not music genre,weak
23,rock,rockiest,"Super close, sizzling hot",strong
24,rock,music,I am not a form of entertainment,weak
25,rock,roll,I do not move like this,weak
26,rock,slickrock,I am not smooth like this,weak
27,rock,rockoon,I am not a type of balloon,weak
28,rock,rap,I am not a music genre,weak
29,rock,rockless,"Super close, sizzling hot",strong
30,rock,road,I am not a type of way,weak
31,rock,rod,I am not a type of stick,weak
32,rock,rough,My surface can be described as this,medium
33,rock,roque,I am not a type of ball game,weak
34,rock,metal,I am not a material type,weak
35,rock,film,I am not a type of movie,weak
36,rock,rockbound,"Super close, sizzling hot",strong
37,rock,rolling,I am not in motion like this,medium
38,rock,solid,I am not a state of matter,weak
39,rock,rockaby,This lullaby has nothing to do with me,weak
40,rock,rocaille,I am not a style of ornamentation,weak
41,rock,stony,I am similar to this in texture,medium
42,rock,rove,I am not wandering like this,weak
43,rock,hard,I am not a soft material,medium
44,rock,rotche,I have nothing to do with this,weak
45,rock,crag,"Super close, sizzling hot",strong
46,rock,rote,I am not a type of learning,weak
47,rock,coal,I am not a type of fuel,weak
48,rock,mudrock,I am not made of mud,medium
49,rock,sand,I have nothing to do with this,weak
50,rock,rolled,I am not in the process of this,weak
51,rock,rob,I am not a type of stealing,weak
52,rock,rockshaft,I have nothing to do with this,weak
53,rock,movie,"I am a solid, not a film",medium
54,rock,rochet,I have nothing to do with this,weak
55,rock,rockhopper,"I am steady, not a penguin",medium
56,rock,rockpigeon,"I am inanimate, not a bird",medium
57,rock,boulder,"Super close, sizzling hot",strong
58,rock,wood,"I am solid, not made of wood",medium
59,rock,rook,I have nothing to do with this,weak
60,rock,rockaway,"I am still, not a location",medium
61,rock,rockfall,"I am unmoving, not a collapse",medium
62,rock,rockrose,"I am solid, not a flower",medium
63,rock,rocketer,"Super close, sizzling hot",strong
64,rock,reenrolling,I have nothing to do with this,weak
65,rock,trock,I have nothing to do with this,weak
66,rock,roup,I have nothing to do with this,weak
67,rock,brick,"I am hard, not a building material",medium
68,rock,bone,I am not a part of you,medium
69,rock,roach,"I am still, not an insect",medium
70,rock,ride,"I don't move, unlike this activity",medium
71,rock,rockabilly,I am not music style,medium
72,rock,rub,I am not used for rubbing,medium
73,rock,grunge,"I am solid, not a music genre",medium
74,rock,roller,I am not a rolling object,medium
75,rock,traprock,"Super close, sizzling hot",strong
76,rock,funk,"I am steady, not a music style",medium
77,rock,folk,"I am solid, not a music genre",medium
78,rock,red,I am not a color,medium
79,rock,pebble,"I am bigger, not a small stone",medium
80,rock,song,"I am silent, not a melody",medium
81,rock,beat,"I am still, not a rhythm",medium
82,rock,track,I don't leave marks like this path,medium
83,rock,band,"I am solo, not a group",medium
84,rock,album,I am not music collection,medium
85,rock,ball,"I am solid, not a sphere",medium
86,rock,rot,"I am strong, not decaying",medium
87,rock,radio,I am not a broadcasting device,medium
88,rock,row,"I am still, not a sequence",medium
89,rock,rose,"I am solid, not a flower",medium
90,rock,role,"I don't act, unlike this function",medium
91,rock,caprock,"Super close, sizzling hot",strong
92,rock,roger,I have nothing to do with this,weak
93,rock,hit,"I don't move, unlike this impact",medium
94,rock,ground,"I am solid, not the earth",medium
95,rock,rockhounding,I am not a hobby,medium
96,rock,mix,I am not a blend,medium
97,rock,jump,"I don't leap, unlike this action",medium
98,rock,smash,"I don't break, unlike this action",medium
99,rock,reggae,I am not a music genre,medium
100,rock,raw,"I am solid, not unprocessed",medium
101,rock,breaking,I am not news or rules,medium
102,rock,crock,I am not related to this,weak
103,rock,rax,I have nothing to do with this,weak
104,rock,wacke,I am not related to this,weak
105,rock,riff,I am not related to this,weak
106,rock,mick,I have nothing to do with this,weak
107,rock,roof,I am made of this material,strong
108,rock,dirt,I am not related to this,weak
109,rock,trocking,I have nothing to do with this,weak
110,rock,gravel,I am related to this by size,medium
111,rock,rip,I am not related to this,weak
112,rock,stoney,I am related to this by texture,medium
113,rock,roe,I have nothing to do with this,weak
114,rock,disco,I am not related to this,weak
115,rock,basalt,I am made of this material,strong
116,rock,guitar,I am not related to this,weak
117,rock,play,I am not related to this,weak
118,rock,breaker,I am related to this by action,medium
119,rock,clay,I am not related to this,weak
120,rock,bouldery,I am related to this by size,medium
121,rock,brock,I have nothing to do with this,weak
122,rock,game,I am not related to this,weak
123,rock,crush,I am related to this by force,medium
124,rock,work,I am not related to this,weak
125,rock,revolution,I have nothing to do with this,weak
126,rock,robe,I have nothing to do with this,weak
127,rock,dance,I am not related to this,weak
128,rock,fieldstone,I am related to this by composition,medium
129,rock,fight,I am not related to this,weak
130,rock,redock,I have nothing to do with this,weak
131,rock,river,I am not related to this,weak
132,rock,granite,I am made of this material,strong
133,rock,sandstone,I am made of this material,strong
134,rock,cobble,I am related to this by size,medium
135,rock,kick,I am not related to this,weak
136,rock,cool,I am not related to this,weak
137,rock,live,I have nothing to do with this,weak
138,rock,poke,I am not related to this,weak
139,rock,stick,I am not related to this,weak
140,rock,earth,I am not related to this,weak
141,rock,rockweed,I have nothing to do with this,weak
142,rock,fish,I have nothing to do with this,weak
143,rock,bomb,I am not related to this,weak
144,rock,surf,I am not related to this,weak
145,rock,crystal,I am not related to this,weak
146,rock,shale,I am made of this material,strong
147,rock,rottenstone,I am not related to this,weak
148,rock,rockhound,I have nothing to do with this,weak
149,rock,rubble,I am related to this by composition,medium
150,rock,grow,I am not related to this,weak
151,rock,riding,I am not related to this,weak
152,rock,rocklobster,I have nothing to do with this,weak
153,rock,soft,I am hard compared to this,strong
154,rock,rack,I can't hold things like this,medium
155,rock,good,I am not bad like this,medium
156,rock,black,I am not this color,strong
157,rock,ruck,I don't move quickly like this,strong
158,rock,sport,I am not played like this,medium
159,rock,paper,I am not made of this,medium
160,rock,real,"I am a solid object, not abstract",strong
161,rock,rule,I am not meant to be followed,medium
162,rock,stack,I don't pile up like this,strong
163,rock,potstone,I have nothing to do with this,weak
164,rock,move,I don't change positions like this,strong
165,rock,rug,I am not used to cover floors,medium
166,rock,stonish,I have nothing to do with this,weak
167,rock,comic,I am not funny like this,medium
168,rock,fun,I don't provide enjoyment like this,strong
169,rock,rig,I don't drill like this,strong
170,rock,stonier,I have nothing to do with this,weak
171,rock,stuff,I am not filled with things,medium
172,rock,riprap,I have nothing to do with this,weak
173,rock,tuff,I have nothing to do with this,weak
174,rock,rail,I don't guide trains like this,strong
175,rock,rope,I don't tie things together like this,strong
176,rock,fuel,I don't power machines like this,strong
177,rock,ridge,I am not a raised line,strong
178,rock,rag,I am not a piece of cloth,strong
179,rock,robot,I am not a mechanical being,strong
180,rock,punkest,I have nothing to do with this,weak
181,rock,marble,I am not a smooth stone,strong
