rank,secret_word,word,clue,connection_strength
1,cat,cat,This is the *.,secret_word
2,cat,pet,connects to that animal for companionship,strong
3,cat,cattie,related to that animal/creature/thing,medium
4,cat,catting,related to that animal's actions,medium
5,cat,dog,commonly kept as a pet animal,strong
6,cat,catcalled,connects to that animal for attention,medium
7,cat,kitten,young version of that animal,medium
8,cat,cot,related to that animal for sleep,medium
9,cat,catling,connects to that animal for control,medium
10,cat,meow,sound produced by that animal/creature,medium
11,cat,feline,refers to that animal species,medium
12,cat,pat,connects to that animal for affection,medium
13,cat,moggy,connects to that animal as a synonym,medium
14,cat,rat,both are small rodents,medium
15,cat,cattish,related to that animal through behavior,medium
16,cat,catlike,resembles behavior or characteristics of that animal,medium
17,cat,cation,connects to that animal for control,medium
18,cat,miaow,sound made by that animal/creature/thing,medium
19,cat,cart,used to transport that animal around,strong
20,cat,car,used to transport that animal around,medium
21,cat,cattalo,connects to that animal for breeding,medium
22,cat,animal,refers to that animal in general,medium
23,cat,cow,both domesticated animals used for farming,medium
24,cat,tabby,type of pattern found on that animal,medium
25,cat,caret,connects to that animal for control,medium
26,cat,miaul,connects to that animal for communication,medium
27,cat,vat,"holds liquid, similar shape to that animal",medium
28,cat,bat,both are nocturnal animals that hunt,strong
29,cat,catalog,connects to that animal for organization,medium
30,cat,catty,relates to that animal through behavior,medium
31,cat,miaou,sound made by that animal/creature/thing,medium
32,cat,cattery,provides shelter for that animal,strong
33,cat,coon,connects to that animal for hunting,medium
34,cat,catface,connects to that animal for identification,medium
35,cat,thecate,relates to that animal for protection,medium
36,cat,cant,connects to that animal for control,medium
37,cat,scat,related to that animal's waste material,medium
38,cat,ka,connects to that animal for control,medium
39,cat,catcall,connects to that animal for attention,medium
40,cat,crap,connects to that animal for waste,medium
41,cat,caterpillar,larval form of butterfly or moth,medium
42,cat,meowing,sound made by that animal/creature,strong
43,cat,pussycat,Connects to that animal for affection,strong
44,cat,miaowed,sound associated with that animal/creature,medium
45,cat,cathead,connects to that animal for identification,medium
46,cat,dit,connects to that animal for communication,medium
47,cat,miaowing,connects to that animal for communication,medium
48,cat,tomcatted,connects to that animal for behavior,medium
49,cat,catnaper,connects to that animal for abduction,medium
50,cat,ceca,connects to that animal for control,strong
51,cat,wildcatted,connects to that animal through behavior,medium
52,cat,catnip,connects to that animal for stimulation,strong
53,cat,cratch,connects to that animal for warmth,medium
54,cat,mate,connects to that animal for control,strong
55,cat,meowed,sound made by that animal/creature/thing,medium
56,cat,sat,connects to that animal for rest,medium
57,cat,cantdog,connects to that animal for control,medium
58,cat,kittening,related to that animal giving birth,medium
59,cat,ate,connects to that animal for consumption,strong
60,cat,moggie,synonym for that animal/creature/thing,medium
61,cat,felid,connects to that animal by classification,medium
62,cat,tomcat,connects to that animal for gender,medium
63,cat,cab,related to that animal for transportation,medium
64,cat,cad,connects to that animal for control,strong
65,cat,caterwaul,connects to that animal's sound behavior,medium
66,cat,korat,connects to that animal as a breed,medium
67,cat,purr,sound made by that animal/creature,medium
68,cat,catfall,related to that animal falling down,medium
69,cat,cattiest,relates to that animal in behavior,medium
70,cat,vet,provides medical care for that animal,strong
71,cat,doggy,common household pets,medium
72,cat,kittened,refers to the action involving that animal,medium
73,cat,chat,connects to that animal for communication,medium
74,cat,it,refers to that animal/creature/thing,medium
75,cat,can,container used for storing food for that animal,medium
76,cat,cake,both associated with treats and indulgence,medium
77,cat,cast,connects to that animal for control,medium
78,cat,rabbit,both are common household pets,medium
79,cat,tag,connects to that animal for control,strong
80,cat,miscatalog,connects to that animal for organization,medium
81,cat,mat,provides comfort for that animal's resting,medium
82,cat,gat,connects to that animal for control,strong
83,cat,kit,contains items used for that animal,medium
84,cat,cane,used for support and guidance for that animal,medium
85,cat,mouse,prey of that animal/creature/thing,strong
86,cat,miaouing,connects to that animal for communication,strong
87,cat,catnapper,connects to that animal for rest,medium
88,cat,chetah,connects to that animal for hunting,strong
89,cat,bobcat,related to that animal/creature/thing,strong
90,cat,pup,baby version of that animal/creature,medium
91,cat,catbird,connects to that animal for prey,medium
92,cat,puppy,"common household pets, companions to humans",strong
93,cat,coat,worn by that animal for warmth,medium
94,cat,catfacing,related to that animal's face appearance,medium
95,cat,cub,young version of that animal/creature,strong
96,cat,caff,connects to that animal for energy,medium
