rank,secret_word,word,clue,connection_strength
1,dog,dog,This is the *.,
2,dog,doggy,connects to that animal for affection,strong
3,dog,doggo,informal term for domesticated animal,weak
4,dog,dogy,informal term for domesticated animal,weak
5,dog,doggie,related to that animal with affection,medium
6,dog,dogie,connects to that animal for control,strong
7,dog,dogey,connects to that animal for identification,medium
8,dog,pet,connects to that animal for companionship,strong
9,dog,animal,related to that animal for classification,medium
10,dog,cat,"common household pets, often compared together",medium
11,dog,doggery,connects to that animal for location,medium
12,dog,cane,used to guide that animal's movement,strong
13,dog,doge,connects to that animal for control,medium
14,dog,doglike,resembling that animal/creature/thing in behavior,strong
15,dog,puppy,baby version of that animal,strong
16,dog,doggiest,having the most dog-like qualities,weak
17,dog,hound,related to that animal for hunting,strong
18,dog,doggish,resembles characteristics of that animal,medium
19,dog,doggier,comparative form related to that animal,medium
20,dog,doggishly,connects to that animal for behavior,strong
21,dog,fido,commonly associated with that animal/creature/thing,medium
22,dog,bandog,breed of that animal bred for guarding,strong
23,dog,hotdog,food item named after that animal,medium
24,dog,cantdog,related to that animal for control,medium
25,dog,woof,sound made by that animal/creature/thing,medium
26,dog,waterdog,dog breed known for water retrieval,weak
27,dog,dogdom,relates to that creature as a domain,medium
28,dog,canid,related to that animal/creature/thing,strong
29,dog,doghouse,shelter for that animal/creature/thing,strong
30,dog,bulldog,specific breed of that animal,medium
31,dog,dogedom,connects to that animal for leadership,medium
32,dog,cow,both domesticated animals used for work,medium
33,dog,canine,related to that animal/creature/thing,strong
34,dog,pooch,synonym for that animal/creature/thing,strong
35,dog,pup,young version of that animal,strong
36,dog,hog,farm animal with similar characteristics,medium
37,dog,doxie,connects to that animal for affection,medium
38,dog,beagle,breed of that animal/creature/thing,medium
39,dog,doll,both can be companions for children,medium
40,dog,wag,movement exhibited by that animal/creature/thing,strong
41,dog,collie,type of herding dog breed,medium
42,dog,poodle,poodle is a type of that animal,strong
43,dog,sheepdog,"herds sheep, relates to that animal",strong
44,dog,pug,specific breed of that animal/creature,strong
45,dog,boat,both used for transportation on water,medium
46,dog,doggishness,related to that animal's characteristics,medium
47,dog,labrador,breed of that animal commonly raised,strong
48,dog,dalmatian,breed of that animal known for spots,strong
49,dog,rottweiler,breed of that animal used for protection,strong
50,dog,dad,family member responsible for training that animal,medium
51,dog,spaniel,breed of dog known for hunting,strong
52,dog,lapdog,connects to that animal for companionship,strong
53,dog,wolf,connects to that animal in ancestry,strong
54,dog,doc,often used for care of that animal,medium
55,dog,dogteeth,connects to that animal for chewing,strong
56,dog,corgi,breed of that animal/creature/thing,strong
57,dog,dachshund,connects to that animal for hunting,strong
58,dog,coydog,related to that animal through breeding,strong
59,dog,terrier,breed of that animal/creature,strong
60,dog,horse,used for riding like that animal,medium
61,dog,dognapper,involves taking that animal for ransom,strong
62,dog,do,action often performed with that animal,medium
63,dog,seadog,connects to that animal on a ship,medium
64,dog,donkey,used in place of that animal,medium
65,dog,dingo,that animal in the wild,medium
66,dog,barking,vocalization associated with that animal,strong
67,dog,kopek,connects to that animal for control,medium
68,dog,kennel,provides shelter for that animal/creature/thing,strong
69,dog,bark,sound made by that animal/creature/thing,medium
70,dog,car,used to transport that animal around,strong
71,dog,dogtrotting,connects to that animal for movement,medium
72,dog,gundog,trained for hunting alongside that animal,strong
73,dog,woofing,sound made by that animal/creature/thing,medium
74,dog,puppylike,describes the behavior of that animal,medium
75,dog,coon,connects to that animal for hunting,medium
76,dog,bot,electronic version of that animal/creature,medium
77,dog,deerhound,both refer to specific type of animal,medium
78,dog,bro,informal term for male friend,weak
79,dog,goat,both animals commonly used in farming,medium
80,dog,hotdogger,connects to that animal for consumption,medium
81,dog,coat,protects that animal from the elements,strong
82,dog,pig,both common domesticated animals on farms,medium
83,dog,dognaper,involves taking that animal without consent,strong
84,dog,dock,provides space for that animal/creature,medium
85,dog,pod,connects to that animal for containment,medium
86,dog,toy,plaything for that animal/creature/thing,medium
87,dog,vehicle,used for transport like that creature,medium
88,dog,borzoi,connects to that animal for hunting,strong
89,dog,dogcart,vehicle used to transport that animal,strong
90,dog,rabbit,connects to that animal for hunting,strong
91,dog,firedog,connects to that animal for protection,medium
92,dog,caninity,related to that animal through characteristics,medium
93,dog,monkey,both are common household pets,medium
94,dog,cate,connects to that animal for control,strong
95,dog,peon,"subordinate role, similar obedience to that animal",medium
96,dog,doggone,expresses frustration towards that creature,medium
97,dog,hangdog,connects to that animal in appearance,medium
98,dog,bloodhound,breed of that animal used for tracking,strong
99,dog,woofed,sound made by that animal/creature/thing,medium
100,dog,mongrel,relates to that animal in breed,strong
101,dog,dognap,relates to that animal through abduction,strong
102,dog,man,connects to that animal for companionship,strong
103,dog,dogfought,connects to that animal for combat,strong
104,dog,dig,related to that animal's behavior,medium
105,dog,god,both are revered and worshipped beings,medium
106,dog,drug,used for control of that creature,strong
107,dog,baby,connects to that animal for care,strong
108,dog,coonhound,type of hound used for hunting,strong
109,dog,paw,part of that animal's anatomy,strong
110,dog,bag,carries items for that animal/creature,medium
111,dog,truck,used for transportation of that animal,medium
112,dog,dogged,relates to that animal persistence or tenacity,strong
113,dog,bowwow,imitates the sound of that animal,medium
114,dog,dag,related to that animal's grooming process,medium
115,dog,dogear,related to that animal's body part,medium
116,dog,dogtrotted,connects to that animal for movement,medium
117,dog,dogwatch,connects to that animal for monitoring,medium
118,dog,mutt,relates to that animal through breed,medium
119,dog,dognaped,connects to that animal for abduction,strong
120,dog,moggy,both refer to domesticated animals,medium
121,dog,bunny,both kept as pets by people,medium
122,dog,lobo,connects to that animal in nature,medium
123,dog,puppydom,pertains to that animal in youth,medium
124,dog,schnauzer,schnauzer is a type of that animal,medium
125,dog,dom,territory or realm controlled,weak
126,dog,wolfhound,breed of dog used for hunting,strong
127,dog,cop,related to that animal for control,medium
128,dog,dragon,mythical creature resembling reptile,weak
129,dog,vet,provides medical care for that animal,strong
130,dog,dit,connects to that animal for control,medium
131,dog,nod,action of moving head downward,weak
132,dog,mastiff,breed of that animal/creature/thing,medium
133,dog,chihuahua,small breed of that animal/creature,strong
134,dog,unkennel,relates to that animal's housing,medium
135,dog,burger,food often associated with that animal,medium
136,dog,cot,provides comfort for that animal/creature/thing,medium
137,dog,vizsla,connects to that animal as breed,medium
138,dog,greyhound,type of that animal/creature/thing,medium
139,dog,zoon,connects to that animal for control,strong
140,dog,snoopy,connects to that animal as a character,medium
141,dog,friend,connects to that animal for companionship,strong
142,dog,doodle,resembles that animal in appearance,medium
143,dog,dogging,connects to that animal for control,strong
144,dog,lover,connects to that animal for companionship,strong
145,dog,girl,commonly found walking or playing with,strong
146,dog,dhole,related to that animal through evolution,medium
147,dog,husky,"breed of that animal, domesticated pet",strong
148,dog,pinscher,breed of that animal/creature/thing,strong
149,dog,doctor,provides care for that animal's health,strong
150,dog,dot,connects to that animal for control,strong
151,dog,robot,connects to that creature for commands,medium
152,dog,overdog,connects to that animal for dominance,medium
153,dog,bullterrier,connects to that animal for companionship,strong
154,dog,rug,common resting place for that animal,medium
155,dog,bo,connects to that animal for control,strong
156,dog,did,connects to that animal for control,strong
157,dog,rod,connects to that animal for control,strong
158,dog,dong,connects to that animal for control,medium
159,dog,bull,both used in certain types of fighting,medium
160,dog,hellhound,mythical creature associated with that animal,medium
161,dog,dogsled,used by that animal for transport,strong
162,dog,mom,nurtures and cares for that creature,strong
163,dog,barked,sound made by that animal/creature/thing,strong
164,dog,bulldogger,connects to that animal for control,strong
165,dog,foxhound,both are breeds of hunting dogs,strong
166,dog,dognaping,related to stealing that animal,medium
167,dog,doggoner,connects to that animal for control,strong
168,dog,whippet,connects to that animal for racing,strong
169,dog,comic,often features that animal as character,medium
170,dog,cub,young of that animal/creature/thing,strong
171,dog,dogsbody,connects to that animal for tasks,medium
172,dog,crate,provides shelter for that animal/creature/thing,strong
173,dog,beast,connects to that animal/creature/thing for control,strong
174,dog,puppyish,descriptive of characteristics of that animal,medium
175,dog,doggrel,poor quality verse about dogs,weak
176,dog,dognapped,connects to that animal for control,strong
177,dog,wog,offensive term for dog,weak
178,dog,rover,connects to that animal for control,medium
179,dog,bird,both found in a pet store,medium
180,dog,yapper,connects to that animal for noise,medium
181,dog,mammal,both are classified as mammals,strong
182,dog,cod,connects to that animal for consumption,medium
183,dog,hotdogged,connects to that animal for consumption,medium
184,dog,boxer,breed of dog known for strength,strong
185,dog,boy,commonly seen playing with that animal,medium
186,dog,agog,excited or eager about dogs,weak
187,dog,dojo,a place for training that animal,medium
188,dog,coyote,connects to that animal as wild counterpart,medium
189,dog,roach,common household pests for that animal,medium
190,dog,good,describes behavior of that animal/creature/thing,strong
191,dog,mog,connects to that animal for control,medium
192,dog,gazehound,relates to that animal for hunting,strong
193,dog,dobber,connects to that animal for control,medium
194,dog,cockapoo,a type of that animal/creature/thing,medium
195,dog,doat,connects to that animal for care,medium
196,dog,dobie,connects to that animal for protection,medium
197,dog,lassie,connects to that animal for companionship,medium
198,dog,dodo,extinct bird species,weak
