rank,secret_word,word,clue,connection_strength
1,tiger,tiger,This is the *.,secret_word
2,tiger,tigerlike,I am similar but not exactly this,medium
3,tiger,tigress,I am the male version of this,strong
4,tiger,tigerish,"Super close, sizzling hot",strong
5,tiger,tigerishly,"Super close, sizzling hot",strong
6,tiger,tigerishness,"Super close, sizzling hot",strong
7,tiger,tiglon,I am not a hybrid like this,strong
8,tiger,leopard,I have different spots than this,medium
9,tiger,tigereye,I do not have this gem,weak
10,tiger,tigon,I am not a hybrid like this,strong
11,tiger,tigrish,"Super close, sizzling hot",strong
12,tiger,panther,I am not all black like this,medium
13,tiger,jaguar,I am not spotted like this,medium
14,tiger,elephant,I am not as big as this,strong
15,tiger,liger,I am not a hybrid like this,strong
16,tiger,tusker,I do not have these large tusks,strong
17,tiger,cheetah,I am not as fast as this,strong
18,tiger,panda,I am not black and white like this,medium
19,tiger,leopardess,I am the male version of this,strong
20,tiger,puma,I am not as agile as this,strong
21,tiger,lioness,I am the male version of this,strong
22,tiger,tapir,I do not have a trunk like this,strong
23,tiger,tahr,I do not live in the mountains,strong
24,tiger,shark,I am not a sea predator like this,strong
25,tiger,wolverine,I am not as fierce as this,strong
26,tiger,lynx,I am not as fluffy as this,medium
27,tiger,tanager,I do not have bright feathers like this,strong
28,tiger,gorilla,I am not a primate like this,strong
29,tiger,alligator,I am not a reptile like this,strong
30,tiger,beast,I am a specific kind of beast,strong
31,tiger,eagle,I am not a bird of prey,strong
32,tiger,thylacine,I am not extinct like this,strong
33,tiger,blackfish,I am not a dark-colored fish,strong
34,tiger,cougar,I am not as elusive as this,strong
35,tiger,zebra,I do not have stripes like this,strong
36,tiger,viper,I am not a snake like this,strong
37,tiger,gator,I am not a reptile like this,strong
38,tiger,lizard,I am not a reptile like this,strong
39,tiger,wolver,I am not as fierce as this,strong
40,tiger,tamarin,I am not a primate like this,strong
41,tiger,toro,I am not a bull like this,strong
42,tiger,cub,I am the adult form of this,strong
43,tiger,crocodile,I am not a reptile like this,strong
44,tiger,rhino,I am not as armored as this,strong
45,tiger,roar,I make a different sound than this,medium
46,tiger,tortoise,I am not a slow-moving reptile,strong
47,tiger,giraffe,I do not have a long neck,strong
48,tiger,ocelot,I am not a wild cat like this,strong
49,tiger,predator,I am a specific type of predator,strong
50,tiger,bobcat,I am not a North American cat,strong
51,tiger,squirrel,I do not store nuts like this,strong
52,tiger,badger,I dig burrows like this creature does,strong
53,tiger,teddy,I am not soft and cuddly,weak
54,tiger,raptor,I am not a flying predator,weak
55,tiger,animal,I am a wild predator too,medium
56,tiger,otter,I swim but not as playful,weak
57,tiger,warrior,I fight for survival in jungle,medium
58,tiger,tui,I am not a bird species,weak
59,tiger,toucan,I don't have a colorful beak,weak
60,tiger,lionlike,I am fierce but not regal,medium
61,tiger,toughy,I am strong but not rough,medium
62,tiger,wolfer,I hunt but not with a pack,medium
63,tiger,wildlife,I am part of the wild,strong
64,tiger,felid,I am a big cat family,strong
65,tiger,lion,I am a predator like this,strong
66,tiger,taipan,I am not a venomous snake,weak
67,tiger,tawny,I have stripes but not golden,medium
68,tiger,jungle,I roam in the wild like this,strong
69,tiger,werewolf,I am fierce but not mythical,medium
70,tiger,junglier,I am wild but not dense,medium
71,tiger,kitty,I am a predator like this,strong
72,tiger,grizzly,I am strong but not a bear,medium
73,tiger,kitten,I am fierce but not small,medium
74,tiger,turtle,I am fierce but not a reptile,medium
75,tiger,wolf,I am a lone hunter too,strong
76,tiger,leonine,I am fierce but not royal,medium
77,tiger,tarzan,I am wild but not human,medium
78,tiger,boxer,I fight for survival like this,strong
79,tiger,tarsier,I have big eyes but not small,weak
80,tiger,redtail,I am fierce but not a hawk,medium
81,tiger,fauve,I am a wild predator too,medium
82,tiger,turtler,I am slow but not shelled,medium
83,tiger,bunny,I am a predator of this,medium
84,tiger,racoon,I am a predator of this,medium
85,tiger,spider,I am not an insect predator,weak
86,tiger,jag,I am a predator like this,strong
87,tiger,iguana,I am a predator of this,medium
88,tiger,scorpion,I am a predator of this,medium
89,tiger,fierce,I am a predator of this,medium
90,tiger,terrier,I am a predator of this,medium
91,tiger,pouncer,I am a predator of this,medium
92,tiger,zoril,I am a predator of this,medium
93,tiger,golfer,I am not playing this game,weak
94,tiger,bulldog,I am a predator of this,medium
95,tiger,butterfly,I am not a delicate insect,weak
96,tiger,piglet,I am a predator of this,medium
97,tiger,raccoon,I am a predator of this,medium
98,tiger,chetah,I am fast but not a cat,medium
99,tiger,tamer,I am wild and untamed,strong
100,tiger,tyrannosaurus,I am fierce but not ancient,medium
101,tiger,tugger,I am fierce but not a puller,medium
102,tiger,jaguarondi,I am not related to this creature,weak
103,tiger,peacock,I have nothing in common with this,weak
104,tiger,gecko,I crawl differently than this reptile,medium
105,tiger,moggy,I am not a domestic companion,weak
106,tiger,jungled,I roam freely unlike this confined place,medium
107,tiger,moose,I am not as large as this,medium
108,tiger,bearcat,I am not a feline like this,medium
109,tiger,elk,I am not as majestic as this,medium
110,tiger,beastie,I am not a mythical creature,weak
111,tiger,dolphin,I do not swim in oceans like,medium
112,tiger,bear,I am not as fierce as this,medium
113,tiger,mustang,I am not a wild horse,weak
114,tiger,lily,I have nothing to do with flowers,weak
115,tiger,panzer,I am not a military vehicle,weak
116,tiger,goat,I am not a mountain climber,weak
117,tiger,cat,I am a larger carnivore than,medium
118,tiger,gazelle,I am not a graceful runner,weak
119,tiger,jaguarondis,I am not related to this cat,weak
120,tiger,tabby,I am a bigger predator than,medium
121,tiger,dinosaur,I am not prehistoric like,medium
122,tiger,puppy,I am not a human's companion,weak
123,tiger,tao,I have nothing in common with,weak
124,tiger,wild,I am a creature of the,medium
125,tiger,toughie,I am not a stubborn one,weak
126,tiger,kangaroo,I am not a marsupial like,medium
127,tiger,rooster,I am not a morning bird,weak
128,tiger,tangerine,I have nothing to do with,weak
129,tiger,leone,I am not part of this,weak
130,tiger,tusking,I am not known for tusks,weak
131,tiger,tammie,I have nothing to do with,weak
132,tiger,shikari,I am not a hunter like,medium
133,tiger,dragon,I am not a mythical creature,weak
134,tiger,lobo,I am not a wolf,weak
135,tiger,tyrannosaur,I am not a dinosaur king,weak
136,tiger,kiang,I am not a wild ass,weak
137,tiger,jungly,I am not confined to jungles,weak
138,tiger,wildcat,I am a larger predator than,medium
139,tiger,taiga,I have nothing to do with,weak
140,tiger,tux,I do not wear formal attire,weak
141,tiger,pangolin,I do not have scales like,medium
142,tiger,tarpan,I am not a wild horse,weak
143,tiger,bison,I am not a large bovine,weak
144,tiger,feline,I am a larger predator than,medium
145,tiger,tussah,I have nothing to do with,weak
146,tiger,trogon,I am not a bird species,weak
147,tiger,firefang,I am not known for fiery teeth,weak
148,tiger,toad,I am not an amphibian,weak
149,tiger,jagger,I have nothing in common with,weak
150,tiger,camelopard,I am not a mythical creature,weak
151,tiger,grison,I have nothing to do with,weak
152,tiger,zootier,I am not as wild as this,weak
153,tiger,margay,I am bigger than this feline,weak
154,tiger,roared,I make a powerful sound like this,strong
155,tiger,poacher,I am hunted by this threat,strong
156,tiger,koala,I have nothing to do with this,weak
157,tiger,requin,I am not a predator like this,weak
158,tiger,tamarau,I am not related to this,weak
159,tiger,dingo,I prowl the same lands as this,medium
160,tiger,tiff,I have nothing to do with this,weak
161,tiger,tae,I have nothing to do with this,weak
162,tiger,tomcat,I am a wilder feline than this,medium
163,tiger,lemur,I have nothing to do with this,weak
164,tiger,fiercest,I am one of the this,weak
165,tiger,titi,I am not as small as this,weak
166,tiger,birdie,I pounce on prey like this,medium
167,tiger,terrapin,I am land-bound unlike this,weak
168,tiger,tyke,I am not as playful as this,weak
169,tiger,titan,I am stronger than this,medium
170,tiger,tabbied,I am not domesticated like this,weak
171,tiger,monkey,I am more fierce than this,medium
172,tiger,swan,I have nothing to do with this,weak
173,tiger,hedgehog,I am not as prickly as this,weak
174,tiger,tussar,I have nothing to do with this,weak
175,tiger,hyaena,I share the same habitat as this,medium
176,tiger,silverback,I am not as strong as this,weak
177,tiger,werwolf,I am a real creature unlike this,weak
178,tiger,piggie,I have nothing to do with this,weak
179,tiger,greatwhite,I am not a shark like this,weak
180,tiger,hippo,I am not as heavy as this,weak
181,tiger,ladybug,I have nothing to do with this,weak
182,tiger,catlike,I am feline but not this,medium
183,tiger,sniper,I am not a human like this,weak
184,tiger,tamarao,I am not related to this,weak
185,tiger,tusk,I have nothing to do with this,weak
186,tiger,trout,I catch fish like this in water,medium
187,tiger,hyena,I share the same habitat as this,medium
188,tiger,cow,I am not as gentle as this,weak
189,tiger,toreador,I am not a bullfighter like this,weak
190,tiger,zoo,I have nothing to do with this,weak
191,tiger,longhorn,I am not a cattle breed,weak
192,tiger,coon,I am not a raccoon like this,weak
193,tiger,dhole,I am not a wild dog,weak
194,tiger,argali,I have nothing to do with this,weak
195,tiger,serval,I am not as agile as this,weak
196,tiger,coyote,I am not a wild dog,weak
197,tiger,thunder,I roar louder than this sound,medium
198,tiger,pussycat,I am wilder than this domestic cat,medium
199,tiger,penguin,I have nothing to do with this,weak
200,tiger,taj,I am not a famous monument,weak
201,tiger,jackal,I am not a scavenger like this,weak
202,tiger,dog,"I am a predator, unlike this",weak
203,tiger,tier,"I am untamed, unlike this level",weak
