rank,word,similarity
1,wine,1.00000000
2,wined,0.63664669
3,vine,0.62364704
4,winery,0.62354593
5,winey,0.62208545
6,wineshop,0.61917881
7,wineless,0.60815406
8,winemaking,0.60324553
9,dwine,0.60117092
10,whine,0.58780309
11,wining,0.57834698
12,wino,0.57775762
13,winemaker,0.55970117
14,vintner,0.55562789
15,beer,0.55435633
16,vinic,0.55238122
17,vinous,0.55203075
18,vinified,0.54354405
19,viniculture,0.54333639
20,vinify,0.53790478
21,wineskin,0.53446801
22,vinously,0.53210781
23,cabernet,0.52875856
24,vina,0.52829094
25,vinosity,0.52542164
26,vineyard,0.52344067
27,winy,0.51979968
28,oenology,0.51925468
29,brew,0.51465531
30,grape,0.51340014
31,wienie,0.51180525
32,winegrower,0.51172837
33,merlot,0.51161255
34,winish,0.50934208
35,vinification,0.50837129
36,viticulture,0.50810279
37,drink,0.50544534
38,oenophile,0.50532212
39,liquor,0.50346056
40,vino,0.50289274
41,sangria,0.50130266
42,winesop,0.49988081
43,enology,0.49871209
44,viniest,0.49815185
45,win,0.49743718
46,wineglass,0.49699865
47,lovevine,0.49606327
48,lauwine,0.49324466
49,whiskey,0.49160020
50,booze,0.48880772
51,enological,0.48879099
52,pinot,0.48838918
53,winepress,0.48645893
54,champagne,0.48377328
55,vinifera,0.48377104
56,alcohol,0.48372065
57,chardonnay,0.47669965
58,vinasse,0.47469186
59,veiniest,0.47468473
60,brandy,0.47262218
61,vinery,0.47243871
62,whisky,0.47234872
63,viticultural,0.47234401
64,vermouth,0.47162307
65,vinifying,0.46922924
66,cider,0.46910893
67,whin,0.46882397
68,winiest,0.46871421
69,vineal,0.46794111
70,riesling,0.46728285
71,cognac,0.46499451
72,eiswein,0.46445186
73,grapey,0.46310162
74,uncorked,0.46096246
75,zinfandel,0.46088033
76,coffee,0.46026705
77,cyder,0.46000440
78,muscadel,0.45744548
79,vined,0.45484469
80,vineyardist,0.45421148
81,sherry,0.45361374
82,vodka,0.45327832
83,gewurztraminer,0.45305560
84,wood,0.45247387
85,wind,0.45229656
86,grappa,0.44974529
87,wyn,0.44964354
88,cantina,0.44959992
89,vinal,0.44892222
90,mead,0.44761145
91,enologist,0.44636909
92,ethanol,0.44567739
93,bordeaux,0.44544423
94,vermuth,0.44542633
95,burgundy,0.44453723
96,whiney,0.44443996
97,viny,0.44404866
98,sommelier,0.44365144
99,uncork,0.44362723
100,water,0.44090850
101,winned,0.43891553
102,retsina,0.43776141
103,muscatel,0.43725557
104,muscadine,0.43689849
105,cellared,0.43680416
106,viticulturally,0.43678243
107,unwooded,0.43668251
108,winnock,0.43308360
109,gin,0.43260143
110,winnow,0.43180537
111,vining,0.43155237
112,bottle,0.43051672
113,soave,0.42873721
114,nonvintage,0.42761718
115,rioja,0.42552316
116,wit,0.42550691
117,winze,0.42457341
118,corkage,0.42453340
119,vinegar,0.42427726
120,windlestraw,0.42327120
121,malvasia,0.42324252
122,recorked,0.42313268
123,chablis,0.42304549
124,liqueur,0.42235294
125,uncorking,0.42172039
126,liquoring,0.42165940
127,marsala,0.42154746
128,muscadet,0.41996391
129,tokay,0.41979295
130,muscat,0.41954342
131,malmsey,0.41899213
132,viticulturist,0.41840518
133,fermented,0.41830360
134,boozy,0.41813697
135,ween,0.41813268
136,claret,0.41786863
137,cellar,0.41642637
