rank,secret_word,word,clue,connection_strength
1,wine,grape,I am made from this fruit,strong
2,wine,vineyard,I come from this cultivated land,strong
3,wine,winery,I am produced in this place,strong
4,wine,red,I share this color spectrum,medium
5,wine,white,I share this color spectrum,medium
6,wine,rose,I am related to this flower,weak
7,wine,champagne,I am similar to this bubbly drink,weak
8,wine,sparkling,"Super close, sizzling hot",strong
9,wine,merlot,I am a type of this grape,strong
10,wine,chardonnay,I am made from this grape variety,strong
11,wine,syrah,I am a variety like this grape,medium
12,wine,zinfandel,I am related to this grape type,medium
13,wine,riesling,"Super close, sizzling hot",strong
14,wine,malbec,I am a type of this grape,strong
15,wine,shiraz,I am similar to this grape variety,weak
16,wine,tempranillo,I am made from this grape,strong
17,wine,prosecco,"Super close, sizzling hot",strong
18,wine,port,"Super close, sizzling hot",strong
19,wine,sherry,"Super close, sizzling hot",strong
20,wine,moscato,"Super close, sizzling hot",strong
21,wine,sangiovese,I am made from this grape,strong
22,wine,gewurztraminer,"Super close, sizzling hot",strong
23,wine,viognier,I am related to this white grape,weak
24,wine,nebbiolo,I am made from this grape,strong
25,wine,grenache,I am related to this grape variety,medium
26,wine,carignan,I am related to this grape variety,medium
27,wine,mourvedre,I am made from this grape,strong
28,wine,vermentino,I am related to this white grape,weak
29,wine,vine,I grow on this plant,medium
30,wine,cellar,I am stored in this underground room,medium
31,wine,barrel,I age in this wooden container,medium
32,wine,cork,I am sealed with this material,weak
33,wine,glass,I am served in this container,weak
34,wine,bottle,I am stored in this vessel,medium
35,wine,decanter,I am poured into this container,weak
36,wine,sommelier,"Super close, sizzling hot",strong
37,wine,tasting,I am experienced in this event,medium
38,wine,pairing,I am matched with this food,medium
39,wine,aroma,I am known for this scent,medium
40,wine,bouquet,I have this complex scent profile,medium
41,wine,flavor,I am defined by this taste,medium
42,wine,body,"Super close, sizzling hot",strong
43,wine,finish,"Super close, sizzling hot",strong
44,wine,tannin,"Super close, sizzling hot",strong
45,wine,acidity,"Super close, sizzling hot",strong
46,wine,alcohol,"Super close, sizzling hot",strong
47,wine,oak,I am aged in this wood,medium
48,wine,fermentation,I undergo this process in production,weak
49,wine,aging,I mature during this process,medium
50,wine,harvest,I am made from this grape picking,strong
51,wine,terroir,I am influenced by this unique location,strong
52,wine,vintage,I am associated with this production year,strong
53,wine,reserve,I am set aside for this special use,strong
54,wine,estate,I come from this exclusive property,strong
55,wine,varietal,I am made from this specific grape,strong
56,wine,blend,I am a mix of different flavors,strong
57,wine,dry,I lack sweetness like this style,strong
58,wine,sweet,I have more sugar than this taste,strong
59,wine,crisp,I am as refreshing as this texture,medium
60,wine,smooth,I am as velvety as this feel,medium
61,wine,bold,I am stronger than this flavor,medium
62,wine,light,I am less intense than this weight,medium
63,wine,fruity,I have hints of this taste,medium
64,wine,earthy,I have notes reminiscent of this,medium
65,wine,spicy,I have a kick like this seasoning,medium
66,wine,herbal,I contain flavors similar to this,medium
67,wine,woody,I have hints of this material,medium
68,wine,floral,I have aromas reminiscent of this,medium
69,wine,complex,I am as intricate as this mixture,medium
70,wine,balanced,I have harmony like this blend,medium
71,wine,robust,I am full-bodied like this,medium
72,wine,elegant,I am refined like this style,medium
73,wine,aged,I am matured like this,medium
74,wine,fresh,I am as new as this,medium
75,wine,rich,I am luxurious like this,medium
76,wine,velvety,I am smooth and soft like this,medium
77,wine,lively,I am vibrant like this energy,weak
78,wine,intense,I am strong and bold like this,weak
79,wine,delicate,I am fragile like this,weak
80,wine,bubbly,I am effervescent like this,weak
81,wine,dryness,I lack moisture like this,weak
82,wine,sweetness,I have sugar like this taste,weak
83,wine,astringency,I have this stringent quality,weak
84,wine,minerality,I have earthy notes like this,weak
85,wine,fruitiness,I have fruity flavors like this,weak
86,wine,oakiness,I have woody tones like this,weak
87,wine,spiciness,I have heat like this seasoning,weak
88,wine,heat,I have warmth like this level,weak
89,wine,pepper,I have spice like this seasoning,weak
90,wine,fruit,I am made from this natural product,weak
91,wine,berry,I have flavors similar to this,weak
92,wine,cluster,I may be found in this arrangement,weak
93,wine,seedless,I do not have seeds like this,weak
94,wine,juicy,I am as succulent as this,weak
95,wine,purple,I have a color like this,weak
96,wine,orchard,I may come from this location,weak
97,wine,plantation,I may be cultivated in this area,weak
98,wine,farm,I may be produced in this setting,weak
99,wine,field,I may be grown in this space,weak
100,wine,garden,I may be tended in this place,weak
101,wine,distillery,I have nothing to do with this,weak
102,wine,brewery,I have nothing to do with this,weak
103,wine,chateau,I have nothing to do with this,weak
104,wine,tastingroom,I am where this is enjoyed,strong
105,wine,productionfacility,I have nothing to do with this,weak
106,wine,crimson,I am deeper than this color,medium
107,wine,scarlet,I am deeper than this color,medium
108,wine,ruby,I am deeper than this gem,medium
109,wine,burgundy,I am deeper than this shade,medium
110,wine,maroon,I am deeper than this color,medium
111,wine,wine,This is the *.,secret_word
112,wine,blood,I am not this liquid,medium
113,wine,cherry,I am made from this fruit,strong
114,wine,ivory,I am not as pale as this,medium
115,wine,cream,I am not this dairy product,medium
116,wine,pearl,I am not as shiny as this,medium
117,wine,snow,I am not as cold as this,medium
118,wine,vanilla,I have hints of this flavor,strong
119,wine,pale,I am deeper than this shade,medium
120,wine,alabaster,I am not as white as this,medium
121,wine,chalky,I am not as dry as this,medium
122,wine,pink,I am deeper than this color,medium
123,wine,flower,I do not bloom like this,medium
124,wine,blush,I do not blush like this,medium
125,wine,bloom,I do not bloom like this,medium
126,wine,rosy,I am deeper than this hue,medium
127,wine,petal,I do not have petals like this,medium
128,wine,fizzy,I am not as bubbly as this,medium
129,wine,celebration,I am enjoyed during this event,strong
130,wine,toast,I am part of this celebration,strong
131,wine,festive,I am enjoyed during this season,strong
132,wine,flute,I am poured into this glass,strong
133,wine,party,I am present at this gathering,strong
134,wine,effervescent,I am not as bubbly as this,medium
135,wine,carbonated,I am not as fizzy as this,medium
136,wine,shimmering,I am not as shiny as this,medium
137,wine,glittering,I am not as sparkly as this,medium
138,wine,twinkling,I do not twinkle like this,medium
139,wine,glistening,I do not glisten like this,medium
140,wine,bordeaux,"Super close, sizzling hot",strong
141,wine,plum,I am not a fruit like this,medium
142,wine,oaky,I have notes of this wood,strong
143,wine,butter,I have hints of this flavor,strong
144,wine,citrus,I have notes of this fruit,strong
145,wine,tropical,I am not from this climate,medium
146,wine,petitesirah,"Super close, sizzling hot",strong
147,wine,hermitage,"Super close, sizzling hot",strong
148,wine,grenachenoir,"Super close, sizzling hot",strong
149,wine,garnacha,"Super close, sizzling hot",strong
150,wine,primitivo,"Super close, sizzling hot",strong
151,wine,crljenakkastelanski,"Super close, sizzling hot",strong
152,wine,plavacmali,"Super close, sizzling hot",strong
153,wine,alicantebouschet,I share characteristics with this red grape,medium
154,wine,barbera,I have nothing to do with this,weak
155,wine,sauvignonblanc,"Super close, sizzling hot",strong
156,wine,pinotgris,I have nothing to do with this,weak
157,wine,cheninblanc,"Super close, sizzling hot",strong
158,wine,semillon,I am not related to this grape,weak
159,wine,cabernetsauvignon,"Super close, sizzling hot",strong
160,wine,cabernetfranc,I have some similarities to this grape,medium
161,wine,carmenere,"Super close, sizzling hot",strong
162,wine,rioja,I am not from the same region,weak
163,wine,spanish,I have nothing to do with this,weak
164,wine,tinto,I am not from the same region,weak
165,wine,spain,I am not from the same country,weak
166,wine,italian,I have nothing to do with this,weak
167,wine,veneto,I am not from the same region,weak
168,wine,glera,I am not related to this grape,weak
169,wine,italy,I have nothing to do with this,weak
170,wine,doc,"Super close, sizzling hot",strong
171,wine,portuguese,I am not from the same country,weak
172,wine,fortified,I am not related to this type,weak
173,wine,douro,I am not from the same region,weak
174,wine,tawny,I have nothing to do with this,weak
175,wine,andalusia,I am not from the same region,weak
176,wine,fino,I have nothing to do with this,weak
177,wine,oloroso,I have nothing to do with this,weak
178,wine,manzanilla,I am not related to this type of sherry,weak
179,wine,jerez,I am not from the same region,weak
180,wine,muscat,I am not related to this grape,weak
181,wine,asti,I have nothing to do with this,weak
182,wine,frizzante,I am not related to this sparkling style,weak
183,wine,chianti,I am not from the same region,weak
184,wine,brunello,I am not from the same region,weak
185,wine,montepulciano,I am not from the same region,weak
186,wine,morellino,I am not from the same region,weak
187,wine,prugnolo,I am not from the same region,weak
188,wine,sangiovesegrosso,I am not related to this grape,weak
189,wine,sangiovesepiccolo,I am not related to this grape,weak
190,wine,sangiovesediromagna,I am not from the same region,weak
191,wine,traminer,I am not related to this grape,weak
192,wine,tramin,I am not related to this grape,weak
193,wine,gewurz,I am not related to this grape,weak
194,wine,gewurztraminerrenano,I am not related to this grape,weak
195,wine,gewurztraminerrosso,I am not related to this grape,weak
196,wine,gewurztraminergiallo,I am not related to this grape,weak
197,wine,condrieu,I am not from the same region,weak
198,wine,viognierblanc,I am not related to this white grape,weak
199,wine,viogniernoir,I am not related to this grape,weak
200,wine,viognierrose,I am not related to this grape,weak
201,wine,viognieraromatico,I am not related to this grape,weak
202,wine,viognierdolce,I am not associated with this,weak
203,wine,viogniersecco,I am not associated with this,weak
204,wine,viognierleggero,I am not associated with this,weak
205,wine,barolo,"Super close, sizzling hot",strong
206,wine,barbaresco,"Super close, sizzling hot",strong
207,wine,gattinara,"Super close, sizzling hot",strong
208,wine,spanna,"Super close, sizzling hot",strong
209,wine,chiavennasca,"Super close, sizzling hot",strong
210,wine,nebbiolorosso,I am not associated with this,weak
211,wine,nebbiolobianco,I am not associated with this,weak
212,wine,nebbiolodialba,I am not associated with this,weak
213,wine,cannonau,"Super close, sizzling hot",strong
214,wine,alicante,"Super close, sizzling hot",strong
215,wine,grenacheblanc,I am not associated with this,weak
216,wine,grenachegris,I am not associated with this,weak
217,wine,grenacherose,I am not associated with this,weak
218,wine,grenachetinto,I am not associated with this,weak
219,wine,cinsault,"Super close, sizzling hot",strong
220,wine,cabernet,"Super close, sizzling hot",strong
221,wine,monastrell,"Super close, sizzling hot",strong
222,wine,mataro,"Super close, sizzling hot",strong
223,wine,rolle,"Super close, sizzling hot",strong
224,wine,pigato,"Super close, sizzling hot",strong
225,wine,favorita,"Super close, sizzling hot",strong
226,wine,malvasia,"Super close, sizzling hot",strong
227,wine,trebbiano,"Super close, sizzling hot",strong
228,wine,sauvignon,"Super close, sizzling hot",strong
229,wine,raisin,I am not associated with this,weak
230,wine,spirit,I am not associated with this,weak
231,wine,wined,I have nothing to do with this,weak
232,wine,winey,I have nothing to do with this,weak
233,wine,wineshop,I have nothing to do with this,weak
234,wine,wineless,I have nothing to do with this,weak
