rank,word,similarity,note
1,grape,0.51340014,"OpenAI #1, Our rank #30"
2,vineyard,0.52344067,"OpenAI #2, Our rank #26"
3,winery,0.62354593,"OpenAI #3, Our rank #4"
4,red,0.37264202,"OpenAI #4, Our rank #314"
5,white,0.39353474,"OpenAI #5, Our rank #206"
6,rose,0.36664574,"OpenAI #6, Our rank #352"
7,champagne,0.48377328,"OpenAI #7, Our rank #54"
8,sparkling,0.34927903,"OpenAI #8, Our rank #513"
9,merlot,0.51161255,"OpenAI #9, Our rank #33"
10,chardonnay,0.47669965,"OpenAI #10, Our rank #57"
11,syrah,0.00000000,"OpenAI #11, Not in our embeddings"
12,zinfandel,0.46088033,"OpenAI #12, Our rank #75"
13,riesling,0.46728285,"OpenAI #13, Our rank #70"
14,malbec,0.00000000,"OpenAI #14, Not in our embeddings"
15,shiraz,0.00000000,"OpenAI #15, Not in our embeddings"
16,tempranillo,0.00000000,"OpenAI #16, Not in our embeddings"
17,prosecco,0.00000000,"OpenAI #17, Not in our embeddings"
18,port,0.31831875,"OpenAI #18, Our rank #1,230"
19,sherry,0.45361374,"OpenAI #19, Our rank #81"
20,moscato,0.00000000,"OpenAI #20, Not in our embeddings"
21,sangiovese,0.00000000,"OpenAI #21, Not in our embeddings"
22,gewurztraminer,0.45305560,"OpenAI #22, Our rank #83"
23,viognier,0.00000000,"OpenAI #23, Not in our embeddings"
24,nebbiolo,0.00000000,"OpenAI #24, Not in our embeddings"
25,grenache,0.00000000,"OpenAI #25, Not in our embeddings"
26,carignan,0.00000000,"OpenAI #26, Not in our embeddings"
27,mourvedre,0.00000000,"OpenAI #27, Not in our embeddings"
28,vermentino,0.00000000,"OpenAI #28, Not in our embeddings"
29,vine,0.62364704,"OpenAI #29, Our rank #3"
30,cellar,0.41642637,"OpenAI #30, Our rank #137"
31,barrel,0.33112436,"OpenAI #31, Our rank #850"
32,cork,0.41321274,"OpenAI #32, Our rank #145"
33,glass,0.41327785,"OpenAI #33, Our rank #144"
34,bottle,0.43051672,"OpenAI #34, Our rank #112"
35,decanter,0.34381386,"OpenAI #35, Our rank #588"
36,sommelier,0.44365144,"OpenAI #36, Our rank #98"
37,tasting,0.35535292,"OpenAI #37, Our rank #454"
38,pairing,0.24606411,"OpenAI #38, Our rank #11,457"
39,aroma,0.30655353,"OpenAI #39, Our rank #1,712"
40,bouquet,0.32980036,"OpenAI #40, Our rank #889"
41,flavor,0.29468695,"OpenAI #41, Our rank #2,449"
42,body,0.28503916,"OpenAI #42, Our rank #3,303"
43,finish,0.32847177,"OpenAI #43, Our rank #920"
44,tannin,0.37729819,"OpenAI #44, Our rank #289"
45,acidity,0.23356606,"OpenAI #45, Our rank #16,316"
46,alcohol,0.48372065,"OpenAI #46, Our rank #56"
47,oak,0.36151376,"OpenAI #47, Our rank #398"
48,fermentation,0.39845062,"OpenAI #48, Our rank #192"
49,aging,0.32181109,"OpenAI #49, Our rank #1,108"
50,harvest,0.29745772,"OpenAI #50, Our rank #2,264"
